path	role	allowed_use	known_limit
CURRENT_SCIENTIFIC_PREMISES.md	current_precedence	founded_phi_pair_action_and_open_assignment	operational_index_not_new_physics
CURRENT_SCIENTIFIC_PREMISES.tsv	exact_current_registry	G01_G02_G04_G08_status	physical_path_assignment_open
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	founding_derivation	reciprocal_c_dual_action_difference_composition_reversal	profile_global_observer_and_path_law_not_derived
UDT_NATIVE_ACTION_COLD_PACKET.md	frozen_founding_ledger	physical_relational_positional_comparison_and_exact_premise_stamps	strong_CSN_row_superseded_by_current_precedence
external.md	early_owner_postulate_exposition	R1_R2_R3_wording_and_metric_structure_scope	later_field_equation_content_not_authority_for_this_audit
udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md	abstract_pair_operator	operator_precedes_path_and_open_physical_pair_map	complete_metric_realization_open
udt_observer_pair_clock_operator_audit_2026-07-24/EXACT_DERIVATION.md	typed_operator_derivation	composition_endpoint_factorization_and_transport_distinctions	factorization_conditional_on_global_section
udt_observer_pair_clock_operator_audit_2026-07-24/PRE_RESULT_CONCEPTUAL_CORRECTION.md	type_correction	path_not_needed_for_abstract_operator	physical_complete_metric_path_role_open
udt_relational_pair_depth_realization_audit_2026-07-24/AUDIT_REPORT.md	global_pair_depth_type	observer_indexed_bilocal_type_and_cut_locus_distinction	F_signed_lift_and_transition_open
udt_metric_pure_frame_rederivation_2026-07-23/AUDIT_REPORT.md	observer_frame_reciprocity	local_covariance_and_nonabelian_angular_composition	no_global_observer_recentering_or_depth_join
udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	current_phi_scope	founded_pair_action_and_open_complete_extension	no_physical_path_assignment
udt_founded_pair_global_alignment_audit_2026-07-26/AUDIT_REPORT.md	local_pair_authority	local_physical_pair_alignment_and_global_open_gate	no_global_pair_field_or path selection
udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/AUDIT_REPORT.md	path_groupoid_realization	typed_path_composition_for_all_lambda_given_inputs	physical_path_semantics_and_depth_open
udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/EXACT_DERIVATION.md	path_groupoid_algebra	vertical_resets_path_composition_and_endpoint_cocycles	given metric_path_pair_and_depth inputs
udt_global_reciprocal_bundle_assembly_audit_2026-07-26/AUDIT_REPORT.md	global_bundle_classification	all_lambda_pathwise_and_lambda_one_parallel_endpoint_stratum	endpoint_only_requirement_open
udt_global_reciprocal_bundle_assembly_audit_2026-07-26/EXACT_DERIVATION.md	global_exact_algebra	parallelism_holonomy_and_collapse_conditions	does_not_found_physical_semantics
udt_reciprocal_transport_naturality_selector_audit_2026-07-23/AUDIT_REPORT.md	transport_authority	composition_character_not_connection_selector	physical_transport_selector_open
udt_global_reciprocal_persistence_selector_audit_2026-07-23/AUDIT_REPORT.md	value_vs_derivative_scope	founding_reciprocity_is_value_level	no_global_derivative_persistence implication
udt_founded_constraint_atlas_p03_2026-07-21/CONSTRAINT_EFFECT_LEDGER.tsv	founded_effect_ledger	ordered_difference_reversal_no_point_local_equation	strong_CSN historical rows superseded where conflicting
udt_three_reciprocity_delta_k_audit_2026-07-23/AUDIT_REPORT.md	observer_covariance_scope	covariance_makes_equations_frame_independent_not_necessary	no_complete_transport_or_path law
udt_two_frame_regime_metric_limit_audit_2026-07-22/PREREGISTRATION_SCOPE_CORRECTION.md	owner_frame_correction	GR_like_macro_frame_reciprocity_as_covariance	micro_global_and_complete observer law open

