catch_id	false_or_overbroad_inference	must_be_rejected_by
F01	abstract_composition_automatically_means_spatial_path_concatenation	typed_domain_check
F02	through_an_intermediate_position_forces_path_independence	exhibit_distinction_between_abstract_character_and_complete_metric_transport
F03	no_preferred_observer_forces_one_global_parallel_field	covariance_not_necessity_control
F04	endpoint_factorization_identity_proves_a_global_physical_section	conditional_input_check
F05	availability_of_a_path_groupoid_makes_path_labels_physical	necessity_vs_consistency_check
F06	cut_locus_multiple_transport_paths_force_basic_scalar_depth_to_be_path_labelled	scalar_vs_full_transport_type_check
F07	metric_Levi_Civita_transport_is_the_founding_dilation	isometric_vs_nonisometric_type_check
F08	curvature_or_nontrivial_holonomy_refutes_endpoint_only_semantics	conditional_collapse_vs_founding_semantics_check
F09	lambda_one_parallelism_derives_endpoint_only_requirement	conclusion_direction_check
F10	observer_indexed_bilocal_survival_selects_the_function_F_or_path law	given_F_scope_check
F11	strong_local_CSN_selects_path_or_endpoint semantics	current_precedence_check
F12	SEMANTICS_OPEN_demotes_ordered_relational_comparison_to_undefined	positive_founded_content_check
F13	SEMANTICS_OPEN_promotes_all_path_groupoid_arrows_to_physical	physical_assignment_open_check
F14	PATH_LABELLED_DERIVED_without_a_source_statement_constituting_path	citation_and_implication_check
F15	ENDPOINT_ONLY_DERIVED_without_a_source_statement_for_path independence	citation_and_implication_check
F16	semantic_ruling_selects_lambda_action_carrier_source_boundary_or dynamics	scope_guard

