cycle	family	posture	condition	verdict	stamps
K4-orbifold / cap-torsion	constants-census massive locus {I_p=0, E0>0} (triad/P1 pairing, INTEGRATED)	all postures	n*P=0 (torsion) => P=0	VACUOUS (identically satisfied)	S0b/S0c; closed real forms; banked proof cited
D_inf translation gamma_T	constants-census massive locus {I_p=0, E0>0} (triad/P1 pairing, INTEGRATED)	quotient	Hom(D_inf,R)=0 => all periods 0	IDENTICALLY SATISFIED (imposes nothing)	C1a-C1c; jet<=2; any census/pairing branch
none (no cycle)	constants-census massive locus {I_p=0, E0>0} (triad/P1 pairing, INTEGRATED)	open / acyclic chain	no nontrivial cycle	VACUOUS	C1d typing
K4-orbifold / cap-torsion	fields-census lock-emergence massive class (P1-4D landing)	all postures	n*P=0 (torsion) => P=0	VACUOUS (identically satisfied)	S0b/S0c; closed real forms; banked proof cited
D_inf translation gamma_T	fields-census lock-emergence massive class (P1-4D landing)	quotient	Hom(D_inf,R)=0 => all periods 0	IDENTICALLY SATISFIED (imposes nothing)	C1a-C1c; jet<=2; any census/pairing branch
none (no cycle)	fields-census lock-emergence massive class (P1-4D landing)	open / acyclic chain	no nontrivial cycle	VACUOUS	C1d typing
K4-orbifold / cap-torsion	massless strata (P2-side; triad-locked; pointwise survivors)	all postures	n*P=0 (torsion) => P=0	VACUOUS (identically satisfied)	S0b/S0c; closed real forms; banked proof cited
D_inf translation gamma_T	massless strata (P2-side; triad-locked; pointwise survivors)	quotient	Hom(D_inf,R)=0 => all periods 0	IDENTICALLY SATISFIED (imposes nothing)	C1a-C1c; jet<=2; any census/pairing branch
none (no cycle)	massless strata (P2-side; triad-locked; pointwise survivors)	open / acyclic chain	no nontrivial cycle	VACUOUS	C1d typing
K4-orbifold / cap-torsion	wall germ data (open-end 2-germ family; glue pins)	all postures	n*P=0 (torsion) => P=0	VACUOUS (identically satisfied)	S0b/S0c; closed real forms; banked proof cited
D_inf translation gamma_T	wall germ data (open-end 2-germ family; glue pins)	quotient	Hom(D_inf,R)=0 => all periods 0	IDENTICALLY SATISFIED (imposes nothing)	C1a-C1c; jet<=2; any census/pairing branch
none (no cycle)	wall germ data (open-end 2-germ family; glue pins)	open / acyclic chain	no nontrivial cycle	VACUOUS	C1d typing
Z translation (cyclic completion)	constants-census massive locus {I_p=0, E0>0} (triad/P1 pairing, INTEGRATED)	two-sided	Sum_i E0_i L_i = 0  (== Sum M-WALL_i = 0 == aF*Sum M-GEN_i = 0); field periods Sum (G_i^-1 c)_f J_i = 0 (both components); whole-completion tie Sum E0_i I_p,i = 0	CUT on all-definite chains (forced massless, C2c); EMPTY at N=1 (C2d); CONDITIONAL with indefinite partners (real conditions, no integers)	C2a-C2f; quadratic class; flux-sealed seams; common aF != 0; INTEGRATED branch
Z translation (cyclic completion)	fields-census lock-emergence massive class (P1-4D landing)	two-sided	oint df = f1*L = 0, oint dh = h1*L = 0	CUT (forced massless, C6c)	fields census BR-M; P1-4D lock landing; [AM-2] stamps inherited
Z translation (cyclic completion)	massless strata (P2-side; triad-locked; pointwise survivors)	two-sided	all derived conditions	SATISFIED identically (constants); nonconstant affine members reduce to constants	C6d
Z translation (cyclic completion)	wall germ data (open-end 2-germ family; glue pins)	two-sided	germs enter only as seam sources J_s in the momentum period law	banked glue germ (B_Q=0): no source (consistency); active germs: supplied J_s	C2b/C6e; arena-transfer premise stamped
J11 chart loop	constants-census massive locus {I_p=0, E0>0} (triad/P1 pairing, INTEGRATED)	any posture (multi-chart completion with a loop)	twisted-cocycle holonomy trivial-or-classified: real-linear hyperplane / real matrix value	REAL classification; NO discrete structure (C3b-C3d)	E08 + diagonal-K twisted law; F-S7 flag; conditional on loop existence (completion data)
J11 chart loop	fields-census lock-emergence massive class (P1-4D landing)	any posture (multi-chart completion with a loop)	twisted-cocycle holonomy trivial-or-classified: real-linear hyperplane / real matrix value	REAL classification; NO discrete structure (C3b-C3d)	E08 + diagonal-K twisted law; F-S7 flag; conditional on loop existence (completion data)
J11 chart loop	massless strata (P2-side; triad-locked; pointwise survivors)	any posture (multi-chart completion with a loop)	twisted-cocycle holonomy trivial-or-classified: real-linear hyperplane / real matrix value	REAL classification; NO discrete structure (C3b-C3d)	E08 + diagonal-K twisted law; F-S7 flag; conditional on loop existence (completion data)
J11 chart loop	wall germ data (open-end 2-germ family; glue pins)	any posture (multi-chart completion with a loop)	twisted-cocycle holonomy trivial-or-classified: real-linear hyperplane / real matrix value	REAL classification; NO discrete structure (C3b-C3d)	E08 + diagonal-K twisted law; F-S7 flag; conditional on loop existence (completion data)
