id	claim	status	exact_regime	what_it_does_not_establish
S01	A nonzero constant-coefficient neutral-angular K2 density is pre-scale CSN invariant	REFUTED_IN_BOUNDED_BRANCH	4D; dimensionless CSN-neutral angular variable; fixed target tensor; no compensator	Does not exclude post-scale, weighted-field, curvature-coupled, or nonlocal quadratic structures
S02	Neutral-angular quartic first-derivative densities are pre-scale CSN compatible	DERIVED_SCOPED	Same neutral branch; two inverse metrics in 4D	Does not select a target, two-form, contraction, sign, normalization, or action
S03	CSN uniquely selects the quartic angular structure and coefficient	REFUTED_AS_SUFFICIENT	Independent quartic contractions and arbitrary normalization survive	Does not preclude a future complete metric reduction from selecting one
S04	Metric-only local parity-even lowest curvature-square bulk direction C2/Bach	UNIQUE_CONDITIONAL_PRESERVED	Exact frozen action-audit premises including 4D, locality, covariance, unrestricted variation, metric-only fields, and boundary/topological quotient	Not a unique complete action, coefficient, boundary, source, or solution
S05	EH or a two-derivative angular term exists before physical scale selection	NOT_DERIVED	Exact pre-scale CSN foundation	Post-scale EH remains CONDITIONAL; other scale-bearing bridges remain open
S06	Selecting or gauge-fixing a CSN representative alone converts C2/K4 into EH/K2	REFUTED_AS_AN_ALGEBRAIC_IMPLICATION	Same fields and functional before/after representative choice	A genuine background-curvature reduction or new scale-bearing content could change the effective derivative inventory
S07	A weight-minus-one compensator can make neutral K2 conformal	CONDITIONAL_COUNTERMODEL	Formal extra-field branch only	Compensator existence, metric origin, law, value, and UDT admissibility are not derived
S08	Conditional reciprocal Hopf connection and Chern flux	DERIVED_CONDITIONAL	Chosen toric S3 completion, diagonal circle, orientation	Does not derive those global premises, a section/carrier, local norm, or action
S09	The reciprocal Hopf orbit pair plus smooth caps/topology fixes local quotient curvature normalization	REFUTED_IN_CONDITIONAL_FAMILY	H_epsilon smooth positive counterfamily with identical orbit pair and Chern flux	Does not rule out a missing native equation selecting H
S10	CSN fixes Hopf base/fiber squashing	REFUTED_AS_SUFFICIENT	Berger family a,b>0 under common homothety	Does not rule out an exact full-metric regularity/bootstrap equation for a/b
S11	Finite-cell static seal fixes the bulk two/four coefficient ratio	NOT_DERIVED	phi=0 at seal; normal derivative free; no angular boundary action	Complete finite-cell variation remains open
S12	Current bootstrap supplies an off-shell coefficient equation	NOT_SUPPLIED	Owner-stated on-shell narrow-window requirement	Future complete global eigenproblem could select a branch or ratio
S13	Xmax reciprocity fixes the two/four coefficient ratio	FORM_ONLY	If both terms/action exist, a4/a2=Xmax^2 f(dimensionless state)	f, sign, term existence, physical Xmax, and action placement remain open
S14	Pre-scale derivative-order separation	VERIFIED_WITH_CAVEATS	Neutral angular branch plus preserved pure-metric comparison; exact algebra and in-package independent verification; no fresh external-model review	Not a universal theorem for arbitrary fields/actions and not a nonzero L2+L4 derivation
S15	A nonzero relative two-/four-derivative weighting is selected by the current foundation	NOT_SELECTED_IN_CURRENT_FOUNDATION	Preregistered bounded invariant, angular, boundary, bootstrap, and Xmax inventory	Does not assert that a future complete metric solution cannot select it
S16	Both effective orders may descend from one scale-free metric invariant after physical scale/background selection	WORKING_CONDITIONAL_ROUTE	Exact cross-term principle plus conditional quotient/submersion geometry	Exact UDT parent invariant, reduction, section/soldering, scale eigenvalue, and matching law remain missing
S17	Round S2 carrier or historical L2+L4 action	EXCLUDED_AS_INPUT_REMAINS_CONDITIONAL	Current carrier clarification and final action adjudication	No carrier/action adoption or scientific-prose rewrite occurred
S18	Complete native action, source, boundary charge, physical Xmax, unconditional mass	OPEN	Current final adjudication and this audit	Nothing in this audit closes these objects
