layer	coverage	status	omission_effect
tracked-source vocabulary	3825 base-tree sources matching the preregistered tokens; 33 load-bearing sources individually adjudicated	COMPLETE_FOR_FROZEN_CENSUS	other vocabulary or untracked user files were not opened
4D neutral angular first-derivative invariants	quadratic contraction; two independent parity-even quartic contractions; conditional pullback-two-form square	BOUNDED_COMPLETE	arbitrary target tensors, torsion, higher derivatives, nonlocality, and extra fields remain open
4D pure-metric local polynomial comparison	zero-, two-, and lowest curvature-square orders; parity/topology/boundary distinguished	BOUNDED_BY_FROZEN_ACTION_AUDIT	nonlocal, higher-derivative, extra-field, and restricted-variation branches defeat universal uniqueness
reciprocal toric quotient	diagonal round-orbit pair, general smooth H depth coefficient, diagonal Hopf quotient, smooth caps, connection, Chern flux	EXACT_CONDITIONAL_FAMILY	other cap matrices, lens spaces, off-diagonal metrics, circle actions, and global soldering remain open
submersion squashing	independent positive base and fiber scales with common homothety	EXACT_CONDITIONAL_FAMILY	general anisotropy, twist, time/radial coupling, and full 4D completion remain open
finite cell	registered static phi seal datum and coefficient-selection implications	SOURCE_COMPLETE_FOR_CURRENT_RULE	angular/matter boundary values, corners, moving wall, primitive, charge, and differentiable action remain open
bootstrap	current owner wording and existing dimensionless fixed-point/scale audits	SOURCE_COMPLETE_FOR_CURRENT_RULE	no action, response functions, native mass/volume, or varied global functional exists to solve
Xmax reciprocity	dimensional form and common-homothety behavior	EXACT_FORM_ONLY	physical Xmax, dimensionless f, local-to-global join, and full observer/coframe realization remain open
two-stage bridge	gauge/representative selection, compensator counterfamily, and single-invariant background-curvature route	CANDIDATE_CENSUS_NOT_UNIQUENESS	no exact full-metric reduction, field census, matching law, boundary action, or bootstrap eigenproblem is currently supplied
numerics	no numerical solution-space search	NOT_RUN_BY_DESIGN	this is an algebraic selector audit; no GPU or long solve was authorized or needed
external adversarial review	no fresh external-model disclosure authorization	NOT_PERFORMED	maximum grade is VERIFIED-WITH-CAVEATS even if in-package independent checks pass
