catch	result
C2-status_overclaim_rejected	PASS
C2_complete_action_promotion_rejected	PASS
K2-status_overclaim_rejected	PASS
X-status_overclaim_rejected	PASS
Xmax_form_overclaim_rejected	PASS
base_source_mutation_rejected	PASS
bootstrap_overclaim_rejected	PASS
boundary_overclaim_rejected	PASS
carrier-action_overclaim_rejected	PASS
carrier_import_rejected	PASS
derivation_Xmax_overclaim_rejected	PASS
derivation_bridge_overclaim_rejected	PASS
dimensionless_state_function_erasure_rejected	PASS
gauge-bridge_overclaim_rejected	PASS
maximum_conclusion_overreach_rejected	PASS
missing_census_row_rejected	PASS
missing_counterfamily_rejected	PASS
missing_invariant_rejected	PASS
missing_source_adjudication_rejected	PASS
missing_status_rejected	PASS
neutral_K2_pre_scale_promotion_rejected	PASS
nonround_depth_family_erasure_rejected	PASS
quartic_uniqueness_invention_rejected	PASS
relative-weight_overclaim_rejected	PASS
roundness_overclaim_rejected	PASS
squash-status_overclaim_rejected	PASS
squashing_freedom_erasure_rejected	PASS
