id	path	role	authority	affirmative_use	prohibition	audit_ruling
R01	CANON.md	owner canon ledger	MIXED_DATE_CONTROL	current owner locks only, cross-checked against LIVE and later clarifications	pre-July scientific prose cannot supply affirmative post-firewall UDT physics	SCOPE_AND_HISTORY_ONLY
R02	LIVE.md	current controlling state	CURRENT_CONTROL	frontier, premise stamps, authority boundary	cannot substitute for load-bearing algebra	CONTROLLING_SCOPE
R03	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	CSN postulate	OWNER_LOCKED_FOUNDATION	pre-scale local conformal equivalence and explicit non-consequences	does not select action, representative, derivative order, boundary, or carrier	FOUNDING_SELECTOR_ONLY
R04	UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	bootstrap principle	OWNER_STATED_WORKING	on-shell global self-consistency and narrow density-window requirement	cannot be inserted as a local coupling or treated as a supplied off-shell equation	ON_SHELL_REQUIREMENT_ONLY
R05	UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	selector audit	CURRENT_POST_FIREWALL_EVIDENCE	pre-/post-scale branch distinction and exact open selector list	does not promote EH or C2 to complete native action	BRANCH_SCOPE
R06	UDT_NATIVE_ACTION_COLD_ARM_DISPATCH.md	exact C0 foundation	HARD_FROZEN_OWNER_PACKET	enumerated foundation and firewall	no unenumerated historical physics may enter	FOUNDATION_INPUT
R07	UDT_NATIVE_ACTION_COLD_PACKET.md	exact C1 clarification	HARD_FROZEN_OWNER_PACKET	premise/status ledger including seal, carrier, bootstrap, Xmax	does not supply action, coefficient, source, or boundary completion	FOUNDATION_INPUT
R08	UDT_S2_CARRIER_STATUS_CLARIFICATION_2026-07-15.md	carrier clarification	OWNER_CURRENT_CLARIFICATION	S2 is reopened historical working posit	round S2 cannot be assumed as native output	CARRIER_EXCLUSION_GATE
R09	UDT_XMAX_STATUS_CLARIFICATION_2026-07-15.md	Xmax clarification	OWNER_CURRENT_CLARIFICATION	universal unattainable Xmax working posit and conditional global-output lead	value, normalization, primitive status, and local insertion remain open	GLOBAL_LENGTH_STATUS
R10	angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	toric closure audit	CURRENT_POST_FIREWALL_EVIDENCE	conditional toric/cap inventory and nonuniqueness	cannot promote toric slots, caps, roundness, or action	CONDITIONAL_ANGULAR_GEOMETRY
