id	failure_mode	present
A01	named edge seam or quotient used as organizing target	ABSENT
A02	branch ranking or preference score	ABSENT
A03	static spherical diagonal or round assumption	ABSENT
A04	angular mixed shifts shear or twist omitted	ABSENT
A05	regularity used as merit filter	ABSENT
A06	finite witness list called exhaustive	ABSENT
A07	unbounded functional remainder hidden	ABSENT
A08	conditional action used to rank configurations	ABSENT
A09	time dependence called physical evolution	ABSENT
A10	GR carrier mass or empirical target loaded	ABSENT
A11	degenerate singular trivial or disconnected family removed	ABSENT
A12	P06 readiness inferred	ABSENT
A13	global topology reduced to toric witnesses	ABSENT
A14	phi zero set reduced to regular hypersurface	ABSENT
A15	unknown global output filled by definition	ABSENT
