id	criterion	covered	open
C01	FIELDS	all ten metric slots plus field-bundle families retained	complete off-shell field content remains open
C02	ACTION_TERMS	conditional statuses indexed only	native bulk boundary bridge and matter action absent
C03	FULL_EQUATIONS	none solved	all global nonlinear equations absent
C04	DOMAIN_COORDINATES	all-coordinate local data and global incidence schema	actual cover and atlas unselected
C05	BOUNDARY_REGULARITY	regular degenerate matching and variation families	complete boundary functional absent
C06	TOPOLOGY	bounded witnesses plus mandatory unenumerated remainders	global topology unclassified
C07	DYNAMICAL_CHARACTER	static stationary moving and type-change configurations	physical evolution law absent
C08	BRANCH_BIFURCATION	configuration-family incidence only	EOM branch graph absent
C09	STABILITY	not entered	complete perturbation operator absent
C10	REGIME_VALIDITY	current-authority configuration/constrained space	future laws and global solutions may regrade map
