pair_id	lane	realization	atlas_role	completion_status	P06_ready
L01_C01	L01_CONDITIONAL_C2	C01_METRIC_ONLY	STATUS_BOOKKEEPING_ONLY	OPEN_OR_CONDITIONAL_UNSOLVED	NO
L01_C02	L01_CONDITIONAL_C2	C02_INDEPENDENT_PHI	STATUS_BOOKKEEPING_ONLY	OPEN_OR_CONDITIONAL_UNSOLVED	NO
L01_C03	L01_CONDITIONAL_C2	C03_COFRAME	STATUS_BOOKKEEPING_ONLY	OPEN_OR_CONDITIONAL_UNSOLVED	NO
L01_C04	L01_CONDITIONAL_C2	C04_PROJECTOR	STATUS_BOOKKEEPING_ONLY	OPEN_OR_CONDITIONAL_UNSOLVED	NO
L01_C05	L01_CONDITIONAL_C2	C05_MULTIPLIER	STATUS_BOOKKEEPING_ONLY	OPEN_OR_CONDITIONAL_UNSOLVED	NO
L01_C06	L01_CONDITIONAL_C2	C06_BRIDGE_FIELDS	STATUS_BOOKKEEPING_ONLY	OPEN_OR_CONDITIONAL_UNSOLVED	NO
L01_C07	L01_CONDITIONAL_C2	C07_CONNECTION_OR_EXTRA_FIELD	STATUS_BOOKKEEPING_ONLY	OPEN_OR_CONDITIONAL_UNSOLVED	NO
L02_C01	L02_CONDITIONAL_EH	C01_METRIC_ONLY	STATUS_BOOKKEEPING_ONLY	OPEN_OR_CONDITIONAL_UNSOLVED	NO
L02_C02	L02_CONDITIONAL_EH	C02_INDEPENDENT_PHI	STATUS_BOOKKEEPING_ONLY	OPEN_OR_CONDITIONAL_UNSOLVED	NO
L02_C03	L02_CONDITIONAL_EH	C03_COFRAME	STATUS_BOOKKEEPING_ONLY	OPEN_OR_CONDITIONAL_UNSOLVED	NO
L02_C04	L02_CONDITIONAL_EH	C04_PROJECTOR	STATUS_BOOKKEEPING_ONLY	OPEN_OR_CONDITIONAL_UNSOLVED	NO
L02_C05	L02_CONDITIONAL_EH	C05_MULTIPLIER	STATUS_BOOKKEEPING_ONLY	OPEN_OR_CONDITIONAL_UNSOLVED	NO
L02_C06	L02_CONDITIONAL_EH	C06_BRIDGE_FIELDS	STATUS_BOOKKEEPING_ONLY	OPEN_OR_CONDITIONAL_UNSOLVED	NO
L02_C07	L02_CONDITIONAL_EH	C07_CONNECTION_OR_EXTRA_FIELD	STATUS_BOOKKEEPING_ONLY	OPEN_OR_CONDITIONAL_UNSOLVED	NO
L03_C01	L03_OPEN_BRIDGE	C01_METRIC_ONLY	STATUS_BOOKKEEPING_ONLY	OPEN_OR_CONDITIONAL_UNSOLVED	NO
L03_C02	L03_OPEN_BRIDGE	C02_INDEPENDENT_PHI	STATUS_BOOKKEEPING_ONLY	OPEN_OR_CONDITIONAL_UNSOLVED	NO
L03_C03	L03_OPEN_BRIDGE	C03_COFRAME	STATUS_BOOKKEEPING_ONLY	OPEN_OR_CONDITIONAL_UNSOLVED	NO
L03_C04	L03_OPEN_BRIDGE	C04_PROJECTOR	STATUS_BOOKKEEPING_ONLY	OPEN_OR_CONDITIONAL_UNSOLVED	NO
L03_C05	L03_OPEN_BRIDGE	C05_MULTIPLIER	STATUS_BOOKKEEPING_ONLY	OPEN_OR_CONDITIONAL_UNSOLVED	NO
L03_C06	L03_OPEN_BRIDGE	C06_BRIDGE_FIELDS	STATUS_BOOKKEEPING_ONLY	OPEN_OR_CONDITIONAL_UNSOLVED	NO
L03_C07	L03_OPEN_BRIDGE	C07_CONNECTION_OR_EXTRA_FIELD	STATUS_BOOKKEEPING_ONLY	OPEN_OR_CONDITIONAL_UNSOLVED	NO
