id	path	sha256	role
S01	UDT_NATIVE_ACTION_COLD_PACKET.md	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0	founding and finite-cell authority
S02	udt_premise_reset_audit_2026-07-19/SHA256SUMS.txt	6123253b9370bce674c626a863dc595c773da3905cb155a7fe2b77c4667fd3a7	corrected phi distance scale and boundary meanings
S03	udt_complete_metric_solution_space_map_2026-07-21/SHA256SUMS.txt	1778e4dcfcf9ac0bd3574fb3ff5248f2990265fa40d0822ff964ac67c434ae38	P00 whole-space protocol
S04	udt_canonical_geometry_evaluator_p01_2026-07-21/SHA256SUMS.txt	b7d8917cb27627c7ad7767fcffbd5b5d7a9dc6da2171b2d8fba329d04014ffad	P01 law-neutral geometry interface
S05	udt_local_jet_atlas_p02_2026-07-21/SHA256SUMS.txt	c56390eb26b80c54a3c3a09f4800086c8dbc00b5bfd40b2038e264e85bec8938	P02 complete registered local marginal strata
S06	udt_founded_constraint_atlas_p03_2026-07-21/SHA256SUMS.txt	b0ec5cbb2be404084e1b1ed4eca98d53c9712a62cf1af0a48eb340b64467c3be	P03 founded constraint effects
S07	udt_global_kinematic_assembly_p03g_2026-07-21/SHA256SUMS.txt	62f9b3f33409b62fb841734e8a91e61d9b859247bf808c4a6cf3740b6a54b6c9	P03G global assembly axes and uncounted moduli
S08	udt_dynamics_branch_ruling_p04_2026-07-21/SHA256SUMS.txt	d01d65fc5abcc35078c961d0d3fc0eec7ad26e205735a77f7d83e2b45121de3f	conditional dynamics status only
S09	udt_full_equation_variation_p05_2026-07-21/SHA256SUMS.txt	5c26d4eb97c4dc370e286469c63d662f182a71a94a6e6899131fd6706c4e7f2e	conditional bulk and boundary-current status
S10	udt_pre_p06_boundary_selector_audit_2026-07-21/SHA256SUMS.txt	45c239639d999c26f2e574592fafc392fbb7c1e6f20ea92e1d260b4784e00e51	boundary-family nonselection evidence
S11	udt_time_live_characteristic_flux_audit_2026-07-21/SHA256SUMS.txt	3089e66d65f85753d45e9e78596dba9ae2b962a015857c969ff6a0492d442f12	time-live causal and flux families
S12	udt_free_global_seal_transversality_audit_2026-07-21/SHA256SUMS.txt	5198a69a1b8a3026af529bccd4d47639d718a21fc1153947b3ebfab8720502d8	free-embedding and transversality families
