path	first_date	provenance_era	family	primary_evidence_grade	affirmative_current_use	surface_identity	action_or_source_provenance	ruling
CANON.md	2026-06-10	PRE_JULY1	CURRENT_FOUNDATION	CANONICAL_STRUCTURE_OR_BOUNDARY_DECLARATION	CONDITIONAL	MULTIPLE_OR_OPEN	owner/canon structure; no complete action	Supplies current meanings and working targets, not a boundary equation.
F4_seal_boundary_MAP.md	2026-06-21	PRE_JULY1	FOLD_CONDITIONAL	DERIVED_CONDITIONAL_ON_STATED_PREMISES	CONDITIONAL	CMB_FOLD	historical round-static Branch-P/G reduced action, mirror and variation-class premises	Exact fold pins and conditional budgets survive; complete action, scale, and native mass do not.
SIMPLE_METRIC_MACRO.md	2026-07-09	JULY1_OR_LATER	WRL_METRIC_LIMIT	DERIVED_METRIC_LIMIT	CONDITIONAL	WRL_WALL	declared reciprocal WR-L representative; time-live specializations add working diagonal premises	Exact proper/optical/clock/redshift behavior survives; native dynamics and terminality do not.
UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	2026-07-17	JULY1_OR_LATER	CURRENT_FOUNDATION	CANONICAL_STRUCTURE_OR_BOUNDARY_DECLARATION	CONDITIONAL	MULTIPLE_OR_OPEN	owner/canon structure; no complete action	Supplies current meanings and working targets, not a boundary equation.
UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	2026-07-17	JULY1_OR_LATER	CURRENT_FOUNDATION	CANONICAL_STRUCTURE_OR_BOUNDARY_DECLARATION	CONDITIONAL	MULTIPLE_OR_OPEN	owner/canon structure; no complete action	Supplies current meanings and working targets, not a boundary equation.
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	2026-07-17	JULY1_OR_LATER	CURRENT_FOUNDATION	CANONICAL_STRUCTURE_OR_BOUNDARY_DECLARATION	CONDITIONAL	MULTIPLE_OR_OPEN	owner/canon structure; no complete action	Supplies current meanings and working targets, not a boundary equation.
UDT_XMAX_STATUS_CLARIFICATION_2026-07-15.md	2026-07-17	JULY1_OR_LATER	CURRENT_FOUNDATION	CANONICAL_STRUCTURE_OR_BOUNDARY_DECLARATION	CONDITIONAL	MULTIPLE_OR_OPEN	owner/canon structure; no complete action	Supplies current meanings and working targets, not a boundary equation.
archive/B1_mass_dilation_cost_results.md	2026-06-19	PRE_JULY1	PRE_FIREWALL	COUNTEREXAMPLE_OR_NEGATIVE_CONTROL	NO	OPEN	pre-2026-07-01 material	May expose old assumptions or failures only; cannot supply affirmative UDT mass dilation.
archive/native_action_chat_2026-07-14_15/UDT_FINITE_CELL_BOUNDARY_DERIVATION_RESULTS.md	2026-07-17	JULY1_OR_LATER	ARCHIVED_BOUNDARY_AUDIT	DERIVED_CONDITIONAL_ON_STATED_PREMISES	CONDITIONAL	MULTIPLE_OR_OPEN	disclosed non-cold archived inverse-action/boundary classes; independent verification was open	Exact algebra may be rerun; supplies counterexamples and object distinctions, not current action authority.
archive/native_action_chat_2026-07-14_15/UDT_WRL_CONFORMAL_CARRIER_SCALE_CLOSURE_DERIVATION_RESULTS.md	2026-07-17	JULY1_OR_LATER	ARCHIVED_BOUNDARY_AUDIT	DERIVED_CONDITIONAL_ON_STATED_PREMISES	CONDITIONAL	MULTIPLE_OR_OPEN	disclosed non-cold archived inverse-action/boundary classes; independent verification was open	Exact algebra may be rerun; supplies counterexamples and object distinctions, not current action authority.
archive/native_action_chat_2026-07-14_15/UDT_WRL_OFFSHELL_PROVENANCE_DERIVATION_RESULTS.md	2026-07-17	JULY1_OR_LATER	ARCHIVED_BOUNDARY_AUDIT	DERIVED_CONDITIONAL_ON_STATED_PREMISES	CONDITIONAL	MULTIPLE_OR_OPEN	disclosed non-cold archived inverse-action/boundary classes; independent verification was open	Exact algebra may be rerun; supplies counterexamples and object distinctions, not current action authority.
archive/native_action_chat_2026-07-14_15/UDT_WRL_SCAFFOLD_NATIVE_ACTION_SEPARATION_DERIVATION_RESULTS.md	2026-07-17	JULY1_OR_LATER	ARCHIVED_BOUNDARY_AUDIT	DERIVED_CONDITIONAL_ON_STATED_PREMISES	CONDITIONAL	MULTIPLE_OR_OPEN	disclosed non-cold archived inverse-action/boundary classes; independent verification was open	Exact algebra may be rerun; supplies counterexamples and object distinctions, not current action authority.
