catch_id	mutation_or_false_claim	result
F01	identify quotient diameter with physical X_max by name alone	PASS_REJECTED_ACTUAL_OUTPUT_MUTATION
F02	call an attained compact maximum an unattained asymptote	PASS_REJECTED_ACTUAL_OUTPUT_MUTATION
F03	treat endpoint clock-depth difference as a symmetric nonnegative distance	PASS_REJECTED_ACTUAL_OUTPUT_MUTATION
F04	let one absolute scalar encode all isotropic centerless pair depths	PASS_REJECTED_ACTUAL_OUTPUT_MUTATION
F05	drop angular dependence from noncollinear composition	PASS_REJECTED_ACTUAL_OUTPUT_MUTATION
F06	choose one minimizing path at a cut locus without a selector	PASS_REJECTED_ACTUAL_OUTPUT_MUTATION
F07	erase stationary twist from directed null-path transport	PASS_REJECTED_ACTUAL_OUTPUT_MUTATION
F08	interpret a metric-null path as physical signal transmission under copresence	PASS_REJECTED_ACTUAL_OUTPUT_MUTATION
F09	promote a one-dimensional projective law to general observer composition	PASS_REJECTED_ACTUAL_OUTPUT_MUTATION
F10	insert X_max as the projective scale and then claim X_max was derived	PASS_REJECTED_ACTUAL_OUTPUT_MUTATION
F11	call a scalar first variation a field-valued closure equation	PASS_REJECTED_ACTUAL_OUTPUT_MUTATION
F12	call a supremum schema a functional before its arrow domain is supplied	PASS_REJECTED_ACTUAL_OUTPUT_MUTATION
F13	use strong local CSN as active metric equivalence	PASS_REJECTED_ACTUAL_OUTPUT_MUTATION
F14	promote comparison-branch phi to a selected independent native scalar	PASS_REJECTED_ACTUAL_OUTPUT_MUTATION
F15	claim c_E and G_obs alone determine a length or density	PASS_REJECTED_ACTUAL_OUTPUT_MUTATION
F16	splice stationary orbit distance with a different branch's asymptote	PASS_REJECTED_ACTUAL_OUTPUT_MUTATION
F17	ignore nonsmooth envelope behavior at multiple extrema or geodesics	PASS_REJECTED_ACTUAL_OUTPUT_MUTATION
F18	claim no bridge can exist outside the frozen five-family universe	PASS_REJECTED_ACTUAL_OUTPUT_MUTATION
F19	promote working bootstrap to a local optimizer or equation	PASS_REJECTED_ACTUAL_OUTPUT_MUTATION
F20	bank without independent replay and fresh adversarial review	PASS_REJECTED_ACTUAL_OUTPUT_MUTATION
