class_id	result_status	exact_result	pattern_consequence	remaining_open
C01	DERIVED_TYPING_ONLY	Z positive; n on one unit observer sky; common u required	no curve selection inside legal support	physical query and endpoint carry
C02	DERIVED_CONDITIONAL_NOT_UNIVERSAL	fixed A-calibrated base plus PSD addition obeys coupled reachability and nondecreasing phi	released J supplies exact lower-phi target	shared physical base/query calibration
C03	DERIVED_LOCAL_SURJECTION	J=E^-1 V realizes every regular target pair coframe	no zero-order local pattern restriction	physical J and global realization
C04	DERIVED_FIRST_JET_SURJECTION	dotJ=E^-1(dotV-dotE J) realizes every target first jet	no first-jet time-live pattern restriction	physical evolution and higher/global jets
C05	DERIVED_REALIZABILITY_ONLY	ambient rank<=4 index<=1; sky Gram PSD diag1 rank<=3	two-source cosine arbitrary in [-1,1]; no histogram selection	global labelled-network consistency
C06	DERIVED_NETWORK_COHERENCE_ONLY	Zij=Zj/Zi composes and reverses	arbitrary positive observer star extends exactly	physical relation-family ownership
C07	OPEN_NOT_UNIVERSAL	branch-safe pushforward admits critical and regular branches	no selected critical support or multiplicity law	physical history branch weights and singular strata
C08	GENERIC_MEASURE_CONSISTENCY_ONLY	positive symmetric measures marginals and selection projections must agree	three exact couplings share one marginal and give distinct angle laws	physical source pair measure
C09	OPEN	no selected topology or completion in frozen sources	no global support or multiplicity restriction	global completion and X_max realization
C10	OPEN_INACTIVE	bootstrap and joint source-history admissibility have no active equation	no current restriction	bootstrap source action matter law
