item	status	boundary
primary metric pair pullback	DERIVED_CONDITIONAL	complete angular Gram enters before terminal readout on every supplied regular pair germ
pair-indexed endpoint density	DERIVED_BOUNDED	Phi_X_given_XY belongs to one completed endpoint pair metric not automatically to observer X alone
endpoint-relative pair response	DERIVED_BOUNDED	delta_XY equals Phi_Y_given_XY minus Phi_X_given_XY
same-pair reversal	DERIVED_BOUNDED	swapping the same endpoint pullbacks reverses the scalar exactly
general three-pair defect	DERIVED_BOUNDED	exact sum of three endpoint incidence mismatches
arbitrary triangle additivity	NOT_DERIVED_NOT_REQUIRED	independently evaluated pair germs need not descend to one observer-only scalar
matched endpoint-readout subfamily	DERIVED_SUFFICIENT	all incident endpoint readings match so scalar responses telescope
shared observer alone	INSUFFICIENT	one observer event and clock tangent can participate in pair germs with distinct angular pullbacks and endpoint densities
scaffolded carrier carry score kernel	EXCLUDED_BY_GATE	not an active derivation input or repair mechanism
pair germ physical realization	OPEN	supplied conditional input and global extendability not proved
positive metric-space distance	NOT_CLAIMED	identity separation triangle inequality and global metric axioms not derived
general ambient time-live completion	OPEN	bounded primary static-spherical local result only
Xmax action source matter bootstrap observations signalling	OUT_OF_SCOPE	none enters G171
fresh external scientific review	PASS_WITH_CAVEATS	all bounded scientific findings retained; physical realization and global boundaries unchanged
sealed packaging repair followup	PASS	42 files and exact scope hash verified; sealed replay 12 source hashes 31 production 108000 independent 14 catches
