row_index	field	expected_sha256	recovered_sha256	match
1	cycle	1774933dc3fb24d86fa18f3f25cb25cf05d5c25e538e0c7a00673d6f2c7d3c19	1774933dc3fb24d86fa18f3f25cb25cf05d5c25e538e0c7a00673d6f2c7d3c19	PASS
1	family	a27aad7c6cba9e102dea52f6228127a220c4a4e0a0cb55dbca43565686fa0f78	a27aad7c6cba9e102dea52f6228127a220c4a4e0a0cb55dbca43565686fa0f78	PASS
1	posture	6a527afef4f8b6a37078da7268782a85708a12d055b0fc4f325323e6ccc76326	6a527afef4f8b6a37078da7268782a85708a12d055b0fc4f325323e6ccc76326	PASS
1	condition	ba2a76dcb7f3d3b29132d3a2d8dd90514fcd176bf08f08145a0f61632153df41	ba2a76dcb7f3d3b29132d3a2d8dd90514fcd176bf08f08145a0f61632153df41	PASS
1	verdict	9a11a53bac4ccdd230ee56e47c20c2ec9fe72ad825b22dafce79ac9905a8a969	9a11a53bac4ccdd230ee56e47c20c2ec9fe72ad825b22dafce79ac9905a8a969	PASS
1	stamps	a868ce1b27fe5248c6363ce00ebc36653bea0716f5708dca980a2db51714136a	a868ce1b27fe5248c6363ce00ebc36653bea0716f5708dca980a2db51714136a	PASS
2	cycle	5de9b73276488ab77ce1073df669cef72ae8154779e2b26b4e92b3cabae9afd4	5de9b73276488ab77ce1073df669cef72ae8154779e2b26b4e92b3cabae9afd4	PASS
2	family	a27aad7c6cba9e102dea52f6228127a220c4a4e0a0cb55dbca43565686fa0f78	a27aad7c6cba9e102dea52f6228127a220c4a4e0a0cb55dbca43565686fa0f78	PASS
2	posture	d861ee362e3823440ae642b3a082d4fe221e226265be2fa63cd13f226e96f0c5	d861ee362e3823440ae642b3a082d4fe221e226265be2fa63cd13f226e96f0c5	PASS
2	condition	637a00f1b89a4b80d3231c3e8079fc4d00a0896dd8b0c74dfcf54539b40f01ac	637a00f1b89a4b80d3231c3e8079fc4d00a0896dd8b0c74dfcf54539b40f01ac	PASS
2	verdict	01c10174c20444efc5f0ac93f62c5d6524069aaf0752c9a750ac45d117979dca	01c10174c20444efc5f0ac93f62c5d6524069aaf0752c9a750ac45d117979dca	PASS
2	stamps	49406076f6a5b594fccb87bc0a76a8b60400fb5d3278a753211038cd3b3c053e	49406076f6a5b594fccb87bc0a76a8b60400fb5d3278a753211038cd3b3c053e	PASS
3	cycle	4fd89fdbc3b4f74fb4f91f95089fa4424e24a828662d70781ce32e3cae9f72f6	4fd89fdbc3b4f74fb4f91f95089fa4424e24a828662d70781ce32e3cae9f72f6	PASS
3	family	a27aad7c6cba9e102dea52f6228127a220c4a4e0a0cb55dbca43565686fa0f78	a27aad7c6cba9e102dea52f6228127a220c4a4e0a0cb55dbca43565686fa0f78	PASS
3	posture	5b082859f9ef103ee76da44dfaf086c1129297e380900344108522adb62c0361	5b082859f9ef103ee76da44dfaf086c1129297e380900344108522adb62c0361	PASS
3	condition	6367d55aadb4a52b2229e9c185b7c2c5e2c24221bcb90b98c2a6b6de79aa634a	6367d55aadb4a52b2229e9c185b7c2c5e2c24221bcb90b98c2a6b6de79aa634a	PASS
3	verdict	49fe4f819c389b515ce1cfff4118a65c88217fcd45012e4a2e86968e9754cdbf	49fe4f819c389b515ce1cfff4118a65c88217fcd45012e4a2e86968e9754cdbf	PASS
3	stamps	73cb657df3f33c705a40750c32d31d344f1f23729e140c7e3f7c8957bde3f8d6	73cb657df3f33c705a40750c32d31d344f1f23729e140c7e3f7c8957bde3f8d6	PASS
4	cycle	1774933dc3fb24d86fa18f3f25cb25cf05d5c25e538e0c7a00673d6f2c7d3c19	1774933dc3fb24d86fa18f3f25cb25cf05d5c25e538e0c7a00673d6f2c7d3c19	PASS
4	family	d0d4be7f4015c2313e89118b685e49e9839c9dfdbd141c13b038d2b6e44b0f51	d0d4be7f4015c2313e89118b685e49e9839c9dfdbd141c13b038d2b6e44b0f51	PASS
4	posture	6a527afef4f8b6a37078da7268782a85708a12d055b0fc4f325323e6ccc76326	6a527afef4f8b6a37078da7268782a85708a12d055b0fc4f325323e6ccc76326	PASS
4	condition	ba2a76dcb7f3d3b29132d3a2d8dd90514fcd176bf08f08145a0f61632153df41	ba2a76dcb7f3d3b29132d3a2d8dd90514fcd176bf08f08145a0f61632153df41	PASS
4	verdict	9a11a53bac4ccdd230ee56e47c20c2ec9fe72ad825b22dafce79ac9905a8a969	9a11a53bac4ccdd230ee56e47c20c2ec9fe72ad825b22dafce79ac9905a8a969	PASS
4	stamps	a868ce1b27fe5248c6363ce00ebc36653bea0716f5708dca980a2db51714136a	a868ce1b27fe5248c6363ce00ebc36653bea0716f5708dca980a2db51714136a	PASS
5	cycle	5de9b73276488ab77ce1073df669cef72ae8154779e2b26b4e92b3cabae9afd4	5de9b73276488ab77ce1073df669cef72ae8154779e2b26b4e92b3cabae9afd4	PASS
5	family	d0d4be7f4015c2313e89118b685e49e9839c9dfdbd141c13b038d2b6e44b0f51	d0d4be7f4015c2313e89118b685e49e9839c9dfdbd141c13b038d2b6e44b0f51	PASS
5	posture	d861ee362e3823440ae642b3a082d4fe221e226265be2fa63cd13f226e96f0c5	d861ee362e3823440ae642b3a082d4fe221e226265be2fa63cd13f226e96f0c5	PASS
5	condition	637a00f1b89a4b80d3231c3e8079fc4d00a0896dd8b0c74dfcf54539b40f01ac	637a00f1b89a4b80d3231c3e8079fc4d00a0896dd8b0c74dfcf54539b40f01ac	PASS
5	verdict	01c10174c20444efc5f0ac93f62c5d6524069aaf0752c9a750ac45d117979dca	01c10174c20444efc5f0ac93f62c5d6524069aaf0752c9a750ac45d117979dca	PASS
5	stamps	49406076f6a5b594fccb87bc0a76a8b60400fb5d3278a753211038cd3b3c053e	49406076f6a5b594fccb87bc0a76a8b60400fb5d3278a753211038cd3b3c053e	PASS
6	cycle	4fd89fdbc3b4f74fb4f91f95089fa4424e24a828662d70781ce32e3cae9f72f6	4fd89fdbc3b4f74fb4f91f95089fa4424e24a828662d70781ce32e3cae9f72f6	PASS
6	family	d0d4be7f4015c2313e89118b685e49e9839c9dfdbd141c13b038d2b6e44b0f51	d0d4be7f4015c2313e89118b685e49e9839c9dfdbd141c13b038d2b6e44b0f51	PASS
6	posture	5b082859f9ef103ee76da44dfaf086c1129297e380900344108522adb62c0361	5b082859f9ef103ee76da44dfaf086c1129297e380900344108522adb62c0361	PASS
6	condition	6367d55aadb4a52b2229e9c185b7c2c5e2c24221bcb90b98c2a6b6de79aa634a	6367d55aadb4a52b2229e9c185b7c2c5e2c24221bcb90b98c2a6b6de79aa634a	PASS
6	verdict	49fe4f819c389b515ce1cfff4118a65c88217fcd45012e4a2e86968e9754cdbf	49fe4f819c389b515ce1cfff4118a65c88217fcd45012e4a2e86968e9754cdbf	PASS
6	stamps	73cb657df3f33c705a40750c32d31d344f1f23729e140c7e3f7c8957bde3f8d6	73cb657df3f33c705a40750c32d31d344f1f23729e140c7e3f7c8957bde3f8d6	PASS
7	cycle	1774933dc3fb24d86fa18f3f25cb25cf05d5c25e538e0c7a00673d6f2c7d3c19	1774933dc3fb24d86fa18f3f25cb25cf05d5c25e538e0c7a00673d6f2c7d3c19	PASS
7	family	49f762aa1e1586c5a30383002ad22b779a07099714d24ce1c193037ca4322749	49f762aa1e1586c5a30383002ad22b779a07099714d24ce1c193037ca4322749	PASS
7	posture	6a527afef4f8b6a37078da7268782a85708a12d055b0fc4f325323e6ccc76326	6a527afef4f8b6a37078da7268782a85708a12d055b0fc4f325323e6ccc76326	PASS
7	condition	ba2a76dcb7f3d3b29132d3a2d8dd90514fcd176bf08f08145a0f61632153df41	ba2a76dcb7f3d3b29132d3a2d8dd90514fcd176bf08f08145a0f61632153df41	PASS
7	verdict	9a11a53bac4ccdd230ee56e47c20c2ec9fe72ad825b22dafce79ac9905a8a969	9a11a53bac4ccdd230ee56e47c20c2ec9fe72ad825b22dafce79ac9905a8a969	PASS
7	stamps	a868ce1b27fe5248c6363ce00ebc36653bea0716f5708dca980a2db51714136a	a868ce1b27fe5248c6363ce00ebc36653bea0716f5708dca980a2db51714136a	PASS
8	cycle	5de9b73276488ab77ce1073df669cef72ae8154779e2b26b4e92b3cabae9afd4	5de9b73276488ab77ce1073df669cef72ae8154779e2b26b4e92b3cabae9afd4	PASS
8	family	49f762aa1e1586c5a30383002ad22b779a07099714d24ce1c193037ca4322749	49f762aa1e1586c5a30383002ad22b779a07099714d24ce1c193037ca4322749	PASS
8	posture	d861ee362e3823440ae642b3a082d4fe221e226265be2fa63cd13f226e96f0c5	d861ee362e3823440ae642b3a082d4fe221e226265be2fa63cd13f226e96f0c5	PASS
8	condition	637a00f1b89a4b80d3231c3e8079fc4d00a0896dd8b0c74dfcf54539b40f01ac	637a00f1b89a4b80d3231c3e8079fc4d00a0896dd8b0c74dfcf54539b40f01ac	PASS
8	verdict	01c10174c20444efc5f0ac93f62c5d6524069aaf0752c9a750ac45d117979dca	01c10174c20444efc5f0ac93f62c5d6524069aaf0752c9a750ac45d117979dca	PASS
8	stamps	49406076f6a5b594fccb87bc0a76a8b60400fb5d3278a753211038cd3b3c053e	49406076f6a5b594fccb87bc0a76a8b60400fb5d3278a753211038cd3b3c053e	PASS
9	cycle	4fd89fdbc3b4f74fb4f91f95089fa4424e24a828662d70781ce32e3cae9f72f6	4fd89fdbc3b4f74fb4f91f95089fa4424e24a828662d70781ce32e3cae9f72f6	PASS
9	family	49f762aa1e1586c5a30383002ad22b779a07099714d24ce1c193037ca4322749	49f762aa1e1586c5a30383002ad22b779a07099714d24ce1c193037ca4322749	PASS
9	posture	5b082859f9ef103ee76da44dfaf086c1129297e380900344108522adb62c0361	5b082859f9ef103ee76da44dfaf086c1129297e380900344108522adb62c0361	PASS
9	condition	6367d55aadb4a52b2229e9c185b7c2c5e2c24221bcb90b98c2a6b6de79aa634a	6367d55aadb4a52b2229e9c185b7c2c5e2c24221bcb90b98c2a6b6de79aa634a	PASS
