premise_id	object	status	use	forbidden_promotion
P01	complete Lorentzian metric from coframe	DERIVED	active parent geometry	metric identity called dynamics
P02	founded reciprocal block D(phi)	DERIVED	active reduction of B	phi profile or evolution called selected
P03	complete pair state kappa phi beta	CONDITIONAL_DERIVED_ON_SUPPLIED_REGULAR_PAIR	active in B	bare endpoints called a supplied pair family
P04	general invertible angular screen Q	FREE_AND_EXPLORED	all four entries live	round diagonal or stationary screen silently imposed
P05	complete mixing S	FREE_AND_EXPLORED	all four entries live	mixing frozen or reduced to one amplitude
P06	pair-adapted reciprocal/angular split	CONDITIONAL	declared chart scope	R17 conditional split called universal
P07	observer-query motion	FREE_AND_SEPARATED	independent source term	query motion folded into coframe evolution
P08	c_E	OBSERVED_CALIBRATION	units and terminal readout only	frequency trajectory or weight selected by c_E
P09	strong local CSN	INACTIVE	none	common scale removed
P10	bootstrap background	WORKING_HYPOTHESIS_INACTIVE_THIS_AUDIT	later tuning test only	density or curvature inserted into current equations
P11	native evolution action source boundary	OPEN	maximum conclusion guard	identity promoted to on-shell physics
P12	physical regime labels	OPEN	none	algebraic family named micro terrestrial cosmic particle force or background
