item	status	role	forbidden_promotion
c_E	OBSERVED	clock-ruler unit calibration	local signal law or history selector
complete_metric	CONDITIONAL_SUPPLIED	full Lorentzian history and all time-live metric jets	selected physical universe
completed_pair_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	normalize after complete pullback	bare-metric theorem
pair_family_and_endpoint_clocks	CONDITIONAL_SUPPLIED_QUERY	owns observer clock/ruler germs	universal observer population
ruler_orientation	CHOSE_QUERY	select outgoing versus ingoing null line	continuous path coefficient
affine_null_geodesic	DERIVED_CONDITIONAL_FROM_INITIAL_GERM	metric propagation on regular branch	signalling law or unique global route
frequency_ratio	DERIVED_CONDITIONAL	endpoint clock contraction on one ray	universal equality to completed depth
quotient_screen_jacobi	DERIVED_CONDITIONAL	finite screen response on same ray	radiative transfer or source law
transparent_transfer	IMPORTED_CONDITIONAL_OPTIONAL	downstream luminosity bridge	native UDT Maxwell law
G116	POST_RESULT_CONTROL_ONLY	local central series specialization	input decomposition or kernel foundation
G189	POST_RESULT_CONTROL_ONLY	static specialization	input phi(R) or P1 profile
P1	OMITTED	no role in core derivation	screen kernel or native history
X_max	OMITTED	possible later asymptotic consequence	input scale or response constructor
