design_id	method_class	object	live_content	explicit_reduction_or_limit	method	certification	cannot_conclude
A01	ALGEBRAIC	metric_parameterization	All ten conditional 2+2 metric slots plus abstract-coframe parent and all four coordinate dependencies.	A 2+2 split is supplied only for this representation; alternate/type-changing splits retained.	Exact block algebra and invertible coframe/metric transformations.	Forward/inverse reconstruction determinant signature and random exact witnesses.	Physical split representative dynamics or solution.
A02	ALGEBRAIC	zero_jet_strata	Metric signature screen positivity reciprocal-readout branches CSN orbit and degeneracy surfaces.	Pointwise only.	Real algebraic inequalities rank and discriminant decomposition.	Exact rational/algebraic witnesses for every nonempty stratum; no zero division.	Regular continuation global topology or dynamics.
A03	ALGEBRAIC	first_jet_strata	Signed dphi causal classes expansion both shears twist/integrability frame transport and boundary-normal jets.	Local first jets modulo declared gauge only.	Tensor decomposition exterior algebra and polynomial rank conditions.	Independent coordinate/coframe reconstruction and type-change catches.	Field equations propagation or stability.
A04	ALGEBRAIC	second_jet_strata	Full curvature mixed phi-angular terms Cartan/Bianchi identities algebraic curvature types and singular-order changes.	Local second jets; no EOM.	Exact symbolic tensors plus numeric/rational anchors and invariant reconstruction.	Independent tensor implementation and identity mutation catches.	A curvature component must vanish or source matter.
A05	ALGEBRAIC	founded_constraint_ideal	Only cited Reciprocity CSN signature finite-cell and limited static seal relations.	Each off-shell realization branch separate.	Elimination dependency rank real-solvability and countermodel census.	Every equation traced to a current source; unconstrained dimensions counted.	Native dynamics branch ranking or global bootstrap result.
A06	ALGEBRAIC	full_variational_operator	Every field metric component constraint multiplier and boundary channel in one authorized law lane.	Law-specific; no symmetry reduction before full variation unless equivalence theorem supplied.	Symbolic/automatic variation differential identities principal symbol and boundary current.	Independent derivation full-component residual and reduced-action false-pass catches.	Authority beyond the named conditional law.
A07	ALGEBRAIC	EOM_branch_ideal	Leading coefficients constraints zero-curvature zero-twist repeated-root and order-changing strata of the full equations.	Local analytic branches in one named law.	Differential algebra Groebner/resultant/rank tools where sound; never divide by candidate zero factors.	Exact substitution real-domain witnesses and branch-union coverage proof.	Global existence completeness or preferred branch.
O01	ODE	static_cohomogeneity_one_general_slots	All ten metric slots as functions of one spatial coordinate when the chosen orbit structure permits; boundary data branched.	Staticity and cohomogeneity one are CHOSE strata; intrinsic orbit functions/topology separately supplied.	Multiple shooting collocation and pseudo-arclength continuation after P05-P06.	Raw full-equation residual including omitted component checks convergence and gauge reconstruction.	Complete metric or time-live solution space.
O02	ODE	stationary_cohomogeneity_one_with_shifts	Lapse/base tilt both time-screen shifts screen area/shear and spatial twist functions live.	Stationarity and one-coordinate dependence are CHOSE; no static or diagonal default.	Collocation plus continuation through ergosurface/horizon/turning strata with chart changes.	Invariant signature causal and full residual checks across charts.	Generic angular dependence nonlinear time dynamics or physical rotation label.
O03	ODE	homogeneous_time_live	Every allowed metric/state component depends on time only with spatial structure parameters branched.	Spatial homogeneity is CHOSE and cannot host localized geometry.	Constraint-respecting nonlinear initial-value ODE after a law is selected.	Constraint propagation time-step convergence conserved/monitored identities and alternate integrator.	Spatial structure particles cells or global universe solution.
O04	ODE	boundary_and_regular_series	All local Frobenius/Taylor/Puiseux branches at centers axes seals caps horizons and degeneracy surfaces.	Local neighborhoods only; analyticity class declared.	Exact recurrence and interval/series matching without choosing smooth preferred branch.	Residual order free-parameter count and every indicial root preserved.	Which local branch closes globally or is physical.
O05	ODE	continuation_graph	All P06-compatible initial-data branches including trivial singular oscillatory and disconnected seeds.	Registered finite parameter/domain bounds.	Deflated/multi-start continuation fold tracking and branch switching with look-elsewhere accounting.	Bidirectional continuation grid/basis convergence raw backward error and unresolved-cell ledger.	Absence outside bounds or merit of any branch.
T01	TIME_LIVE_KINEMATIC	exact_time_jets	Time derivatives of all ten slots phi realization and boundary data without an EOM.	Finite jet order only.	P01 evaluator and algebraic causal/principal diagnostics.	Gauge/CSN reconstruction exact identities and no evolution language.	Physical history propagation speed or stability.
T02	TIME_LIVE_DYNAMIC	cohomogeneity_two_t_r_or_t_angle	Full nonlinear fields in a selected law with one spatial symmetry only.	One frozen coordinate is a CHOSE stratum and must have a release test.	Constraint-preserving PDE or boundary-value solve; method-of-lines is numerical ODE only.	Raw field-equation residual constraint propagation refinement and independent CPU anchors.	Full 3+1 solution space.
T03	TIME_LIVE_DYNAMIC	full_three_plus_one	All fields coordinates shifts shear twist and boundaries live in a selected well-posed law.	Finite numerical domain/resolution only; physics reductions prohibited.	Gauge-fixed nonlinear PDE with checkpoint/restart unbiased data and one GPU process if later authorized.	Multi-resolution multi-gauge invariant comparison raw constraints and alternate method spot checks.	Infinite-resolution/global completion or physical interpretation before P11-P13.
G01	GLOBAL	finite_cell_completion	Local branches plus chart cover transitions seals caps corners boundary polarizations topology and scale unknowns.	Enumerated global class; no spatial infinity.	Multiple-domain continuation cocycle and simultaneous closure equation counting.	All patch residuals transition identities boundary variations and noncircular rank audit.	Unique topology Xmax mass representative or bootstrap closure if required objects are absent.
