id	layer	object	metric_slot_count	current_status	dependence	whole_space_treatment	silent_reduction_forbidden
M01	CONDITIONAL_2_PLUS_2_METRIC	base_g_00	1	FREE_METRIC_SLOT	x0 x1 y2 y3	Retain general sign-compatible base component before choosing lapse or static clock.	Setting g01 zero and fixing g00 by a profile.
M02	CONDITIONAL_2_PLUS_2_METRIC	base_g_01	1	FREE_METRIC_SLOT	x0 x1 y2 y3	Retain base tilt/shift; classify coordinate versus invariant content only after gauge audit.	Diagonal base ansatz presented as complete.
M03	CONDITIONAL_2_PLUS_2_METRIC	base_g_11	1	FREE_METRIC_SLOT	x0 x1 y2 y3	Retain independently until a cited reciprocal realization constrains a base ratio.	Imposing g00*g11 constant outside a declared adapted branch.
M04	CONDITIONAL_2_PLUS_2_METRIC	screen_q_22	1	FREE_POSITIVE_SCREEN_SLOT	x0 x1 y2 y3	Retain screen area and shape dependence.	Round or constant-curvature screen by default.
M05	CONDITIONAL_2_PLUS_2_METRIC	screen_q_23	1	FREE_POSITIVE_SCREEN_SLOT	x0 x1 y2 y3	Retain off-diagonal screen shape and moving eigendirections.	Diagonalizing q globally without transition/gauge accounting.
M06	CONDITIONAL_2_PLUS_2_METRIC	screen_q_33	1	FREE_POSITIVE_SCREEN_SLOT	x0 x1 y2 y3	Retain independent second angular scale.	Equal angular legs or fixed squashing by default.
M07	CONDITIONAL_2_PLUS_2_METRIC	mixed_shift_A2_0	1	FREE_MIXED_SLOT	x0 x1 y2 y3	Retain time-to-first-screen shift and its curvature.	Zero time-angular shift.
M08	CONDITIONAL_2_PLUS_2_METRIC	mixed_shift_A3_0	1	FREE_MIXED_SLOT	x0 x1 y2 y3	Retain time-to-second-screen shift and its curvature.	Zero rotation/fiber-time coupling.
M09	CONDITIONAL_2_PLUS_2_METRIC	mixed_shift_A2_1	1	FREE_MIXED_SLOT	x0 x1 y2 y3	Retain base-to-first-screen connection including twist.	Integrable screen or zero radial-angular shift.
M10	CONDITIONAL_2_PLUS_2_METRIC	mixed_shift_A3_1	1	FREE_MIXED_SLOT	x0 x1 y2 y3	Retain base-to-second-screen connection including twist.	Twist-free product metric.
O01	ABSTRACT_WHOLE_FRAME	coframe_eI_mu	0	CONDITIONAL_4D_CONFORMAL_LORENTZIAN_READOUT	all four coordinates	Primary whole representation: 16 coframe components before Lorentz gauge; metric has ten components.	Promoting any chosen coordinate coframe to a unique physical frame.
O02	FOUNDING_INTERNAL	phi_signed_local_field_or_character	0	FOUNDING_FIELD_MEANING_METRIC_JOIN_OPEN	all four coordinates	Keep signed local phi distinct from distance observer comparison and metric-slot realization.	Replacing phi by nonnegative distance or assuming it is always radial.
O03	REALIZATION	spacetime_reciprocal_plane_or_slot_map	0	OPEN_CONDITIONAL_REALIZATION	may vary and type-change	Treat the choice of 2+2 split/projector/soldering as atlas data; retain an abstract-coframe lane above it.	Calling one supplied plane globally derived.
O04	CSN	common_scale_representative	0	FOUNDATIONAL_EQUIVALENCE_PHYSICAL_SECTION_OPEN	all four coordinates	Quotient pre-scale common calibration while preserving representative-specific diagnostics separately.	Fixing Omega=1 and calling it physical.
O05	CONNECTION	connection_torsion_nonmetricity	0	LEVI_CIVITA_DERIVED_PER_REPRESENTATIVE_OTHER_CLASSES_OPEN	all four coordinates	Use LC for metric-derived geometry; do not erase the open independent-connection field census.	Calling torsion-free Weyl or LC the selected UDT dynamics.
O06	DOMAIN	coordinate_chart_and_atlas	0	FREE_WITH_FINITE_CELL_CONSTRAINT	global cover and local coordinates	Retain chart transitions axes degeneracies and multiple patches.	Areal radius global chart or one rectangular box by default.
O07	DEPENDENCE	time_dependence	0	FREE_AND_REQUIRED_FOR_WHOLE_MAP	x0	Keep time jets live even when a static stratum is separately catalogued.	Reading a static null as a whole-theory no-go.
O08	DEPENDENCE	base_spatial_dependence	0	FREE_AND_REQUIRED_FOR_WHOLE_MAP	x1	Retain full base dependence and nonmonotone/type-changing profiles.	Monotone radial depth by default.
O09	DEPENDENCE	first_screen_dependence	0	FREE_AND_REQUIRED_FOR_WHOLE_MAP	y2	Retain non-round angular structure and moving screen shape.	Axisymmetry or one harmonic.
O10	DEPENDENCE	second_screen_dependence	0	FREE_AND_REQUIRED_FOR_WHOLE_MAP	y3	Retain nonaxisymmetric structure and full local screen dependence.	Suppressing azimuthal dependence.
O11	GLOBAL	finite_cell_seal_caps_corners_cover	0	PARTIAL_CANON_PLUS_OPEN_COMPLETION	global	Branch over allowed covers topologies caps corners and boundary variation classes.	Spatial infinity or ordinary mirror reflection.
O12	GLOBAL	Xmax_mass_volume_density_scale	0	OPEN_GLOBAL_OUTPUTS	whole solution	Keep simultaneous unknowns; use c_E and G_obs only in calibrated readout layer.	Supplying Xmax density center mass or absolute scale to close a local solve.
O13	DYNAMICS	offshell_fields_action_equations_variation_domain	0	OPEN_BRANCH_CENSUS	whole configuration	Separate all action/equation branches and require full variation before reduction.	Calling curvature identities or familiar GR equations native dynamics.
O14	MATTER	carrier_source_and_additional_fields	0	OPEN_CARRIER_AGNOSTIC	whole configuration	Keep a carrier-agnostic metric lane; add conditional carrier lanes only downstream.	Using S2 Hopf or L2+L4 as native atlas inputs.
