id	sectors	metric_native_object	status	atlas_observable	not_an_equation
K01	phi and reciprocal base	base coframe derivatives connection and curvature	DERIVED_PER_SUPPLIED_REALIZATION	all zero first and second phi/base jets including causal type and degeneracy	No profile or eikonal branch is selected.
K02	phi and screen area	mixed connection trace and warped-product curvature	DERIVED_GEOMETRY	cross-expansion mean curvature and CSN weights	Uniform angular scaling does not select an angular direction.
K03	phi and screen shear	trace-free mixed connection and curvature	DERIVED_GEOMETRY	both shear components eigenvalue degeneracy and type-change loci	No shear value or vanishing law follows.
K04	phi and intrinsic angular shape	exact mixed curvature components such as G0A or equivalent Cartan blocks	DERIVED_GEOMETRY	full invariant mixed-curvature tensors before contractions	A curvature component is not zero or a source equation.
K05	base and mixed shifts	twist curvature H^A_ij and algebraic cross terms	DERIVED_GEOMETRY	twist rank norm orientation and distribution integrability	Zero shift or zero twist is not founded.
K06	screen and mixed shifts	covariant derivatives of q along the horizontal distribution	DERIVED_GEOMETRY	area shear and frame-rotation transport including reflection parity	A local gauge zero does not remove global Wilson or cap data.
K07	time and every metric slot	time connection extrinsic-curvature and curvature jets	DERIVED_PER_REPRESENTATIVE	exact time-jet ranks causal character and constraint identities	Time dependence is not physical evolution without a law.
K08	finite-cell normal and phi	odd static phi value with free normal derivative	CANONIZED_LIMITED_SECTOR	seal value normal jets and branch parity	The full induced metric extrinsic curvature and charge are not fixed.
K09	finite-cell and screen/mixed sectors	boundary pullbacks normal jets caps periods corners	OPEN_GEOMETRIC_COMPLETION	branch-specific boundary data and variational tangent spaces	Ordinary reflection smooth cap or spatial infinity cannot be inserted.
K10	CSN and all sectors	conformal weights zero sets and representative orbit	FOUNDATIONAL_EQUIVALENCE_PLUS_DERIVED_WEIGHTS	invariant versus representative-dependent observables	CSN does not select a physical section or action.
K11	global cover and reciprocal transitions	Z2-graded transition algebra with open cover and lift	DERIVED_CONDITIONAL_GLOBAL_CONSTRAINT	cocycle parity moduli incidence and topology class	Transition algebra does not create the global cover.
K12	metric curvature and conditional action contractions	C2/Bach EH and other contractions of the same geometry	CONDITIONAL_DYNAMICS_BRANCHES	full Euler operators boundary terms and variation domains kept separate	Common geometric origin is not action selection or a two-stage bridge.
