id	item	premise_stamp	source	atlas_effect	disallowed_inference
P01	positional_dilation	pinned-by-THEORY	UDT_NATIVE_ACTION_COLD_PACKET.md section 1.1	Founding relational structure remains present in every branch.	Does not choose metric action profile boundary or matter.
P02	reciprocal_c_identity	pinned-by-THEORY	UDT_NATIVE_ACTION_COLD_PACKET.md section 1.2	Clock/time-per-length and ruler/length-per-time channels remain coequal.	Arithmetic inversion alone does not give dual action or metric.
P03	dual_UDT_reciprocity	pinned-by-THEORY	UDT_NATIVE_ACTION_COLD_PACKET.md section 1.2	Enforce determinant-one internal comparison in the supplied faithful formalization.	Does not automatically select a spacetime plane or transverse response.
P04	additive_composition_and_regular_exponential	pinned-by-THEORY	UDT_NATIVE_ACTION_COLD_PACKET.md sections 1.1 and 2	Use reciprocal exponentials for the named positive regular comparison branch.	Does not derive nontriviality sign unit or physical distance mapping.
P05	realized_nonzero_dilation	pinned-by-OWNER_CLARIFICATION	UDT_NATIVE_ACTION_COLD_PACKET.md section 1.1	Include nonzero realized branches while retaining mathematical phi=0 branch.	Cannot delete the trivial branch from the mathematical atlas.
P06	phi_sign_and_unit	free-and-explored	UDT_NATIVE_ACTION_COLD_PACKET.md section 2	Record convention per branch and compare invariant content.	No numerical normalization or sign orientation is physical by default.
P07	local_Lorentzian_quadratic_readout	CONDITIONAL_BRANCH	UDT_NATIVE_ACTION_COLD_PACKET.md section 2	Defines the conditional four-dimensional metric arena.	Cannot be relabeled a theorem of reciprocal-c alone.
P08	Common_Scale_Neutrality	pinned-by-THEORY	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	Quotient local common calibration before physical scale selection.	Does not select representative derivative order locality or action.
P09	four_dimensionality_and_Lorentz_signature	CONDITIONAL_BRANCH	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv S11-S14	Maintain a named 4D Lorentzian action/readout arena and signature strata.	Not a uniquely derived complete manifold topology or dynamics.
P10	spacetime_reciprocal_slot_or_plane	free-and-explored	UDT_NATIVE_ACTION_COLD_PACKET.md section 2 and metric_cartan_holonomy_audit_2026-07-19/AUDIT_REPORT.md	Branch over slot maps projectors coframe reductions and type-change.	Gradient radial or projector realization may not be universalized.
P11	finite_mirrored_cell_no_spatial_infinity	pinned-by-THEORY	UDT_NATIVE_ACTION_COLD_PACKET.md section 3	All global branches use finite closure; local tiles must state missing global embedding.	No ADM infinity hard wall numerical box or cap follows.
P12	static_phi_seal_value_parity	pinned-by-THEORY	UDT_NATIVE_ACTION_COLD_PACKET.md section 3	In the static phi branch impose phi=0 and parity-preserving delta phi=0 at the seal.	Normal derivative and every other field datum remain free.
P13	complete_boundary_variation	free-and-explored	finite_cell_seal_boundary_phase_join_2026-07-20/AUDIT_REPORT.md	Census inequivalent allowed-variation polarizations caps corners and normal jets.	The word mirror does not give K=0 or a full coframe involution.
P14	finite_ordinary_regime_c_E	pinned-by-OWNER_CLARIFICATION	udt_premise_reset_audit_2026-07-19/OWNER_MEANING_LEDGER.tsv O01	Use only in downstream calibrated readouts after the pre-scale atlas is frozen.	Not infinite foundational speed or a local varying scalar by itself.
P15	measured_G_obs	pinned-by-OWNER_CLARIFICATION	udt_premise_reset_audit_2026-07-19/OWNER_MEANING_LEDGER.tsv O14	Use only in downstream calibrated gravitational readouts.	Does not select EH source law action normalization or scale.
P16	global_Xmax	free-and-explored	udt_premise_reset_audit_2026-07-19/OWNER_MEANING_LEDGER.tsv O06-O07	Treat as simultaneous global output unknown in closure stages.	Never supply it as a local ruler branch score or proof of frame invariance.
P17	global_bootstrap_narrow_density_window	pinned-by-OWNER_CLARIFICATION	UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	Use only as a final complete-solution admissibility condition once mass volume and stability exist.	No local density coupling center width cutoff or branch rank is inserted.
P18	physical_CSN_representative	free-and-explored	boundary_bootstrap_representative_selector_audit_2026-07-19/AUDIT_REPORT.md	Retain representative orbit and endpoint-flat counterfamilies until a scale-bearing selector exists.	No gauge representative is physical because it is convenient.
P19	C2_Bach_bulk	CONDITIONAL_BRANCH	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv S11-S13	Eligible later dynamics lane only with every unique-conditional class premise and full boundary/variation audit.	Not complete native action or authority to rank all metric configurations.
P20	EH_bulk_and_GR_constraints	COMPARISON_READOUT_ONLY	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv S14	EH may become a separately authorized conditional post-scale lane; before that GR tensors are readouts only.	No Einstein equation lapse constraint or source may organize native branch acceptance.
P21	round_S2_carrier	CONDITIONAL_BRANCH	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv S15	Excluded from the carrier-agnostic metric atlas; optional frozen downstream diagnostic.	Celestial S2 or Hopf compatibility does not derive the carrier.
P22	static_L2_plus_L4_functional	CONDITIONAL_BRANCH	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv S16-S18	Separate particle/carrier lane only after metric atlas freeze and explicit authorization.	Cannot supply the complete metric action coefficients source or time sector.
P23	angular_topology_periods_caps	free-and-explored	udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	Census cover transition lift cap period quotient and no-cap branches.	Do not default to round sphere torus S3 Hopf or spatial infinity.
P24	Levi_Civita_torsion_free_connection	CONDITIONAL_BRANCH	metric_cartan_holonomy_audit_2026-07-19/AUDIT_REPORT.md	Derived per supplied representative for the metric-geometry evaluator.	Does not close the independent connection field census or become an EOM.
P25	staticity_stationarity_time_periodicity	free-and-explored	UDT_NATIVE_ACTION_COLD_PACKET.md section 2	Catalog as separate dynamical-character strata with time-live lane retained.	A static result cannot become a whole-space conclusion.
P26	spherical_axisymmetric_or_other_symmetry	free-and-explored	metric_cartan_holonomy_audit_2026-07-19/AUDIT_REPORT.md	Use only to label strata and require a relaxation path to less symmetric tiers.	No symmetry is accepted because it makes ODEs possible.
P27	diagonal_zero_shift_zero_twist_zero_shear	pinned-by-HABIT / BLOCKED	metric_cartan_holonomy_audit_2026-07-19/AUDIT_REPORT.md	Allowed only as an explicitly named regression stratum; never as unqualified atlas input.	No diagonal/product result is the complete metric verdict.
P28	areal_radial_or_gradient_adapted_chart	pinned-by-HABIT / BLOCKED	UDT_NATIVE_ACTION_COLD_PACKET.md section 2	Allowed only as a charted stratum with invertibility degeneracy and alternate-chart checks.	Cannot turn a slot identification or monotone phi into physics.
P29	boundary_values_beyond_static_phi_seal	free-and-explored	finite_cell_seal_boundary_phase_join_2026-07-20/AUDIT_REPORT.md	Branch over mathematically admissible polarizations and preserve natural boundary residuals.	No private wall may hold a preferred configuration together.
