rule_id	trigger	affected_records	mandatory_regrade	rollback_or_preservation_action	prohibited_response
R01	A founding premise or owner clarification changes.	Every branch whose premise_row_ids include the changed row, recursively through parent_record_ids.	Recompute status, admissibility, equations, boundary data, and conclusions; negatives become premise-scoped until rerun.	Keep prior frozen records and add a correction layer with old/new premise hashes.	Silently editing old evidence or retaining its verdict under new premises.
R02	The spacetime reciprocal realization changes.	All 2+2, projector, phi-slot, twist, screen, and reduced records.	Return to the abstract-coframe parent and rebuild the realization mapping before comparing branches.	Preserve old realization as a conditional historical lane.	Calling the old slot map false or the new one derived merely because it is preferred.
R03	Off-shell field content changes.	Variation, equation, constraint, boundary, and stability records in that dynamics lane.	Repeat full unrestricted variation and boundary audit before any reduced solve.	Invalidate downstream execution authority while retaining raw artifacts.	Reusing equations derived after a field was frozen or eliminated.
R04	An action or admissibility law changes.	All P05-P13 records for that law.	Restart at P04/P05 with a new immutable law manifest and independent derivation.	Keep branch identifiers namespaced by law and do not merge outputs.	Treating nearby coefficients or derivative order as a numerical continuation of the same theory.
R05	A boundary, topology, or regularity class changes.	Every local/global branch using that class, including spectra and conserved charges.	Recompute free-data counts, variational residuals, continuation, and global closure.	Retain the prior class as a separate branch if mathematically admissible.	Repairing closure with an unregistered wall, cap, cutoff, or parity condition.
R06	A gauge, chart, frame, field redefinition, or CSN representative becomes singular.	Records crossing the singular locus or using the failed reconstruction.	Open an alternate representation branch and compare invariant overlap.	Freeze the failure locus and preserve both chart records.	Deleting the locus or interpreting coordinate divergence as invariant singularity.
R07	A reduced solution fails a full omitted-equation residual.	The reduced branch and every continuation descendant.	Reclassify as REDUCED_FALSE_PASS and return to P05/P07 reduction derivation.	Preserve raw output as a regression catch.	Adding a mechanism or retuning tolerance to force acceptance.
R08	Raw residual, backward error, convergence, or independent method fails.	The numerical record and downstream interpretations.	Label UNRESOLVED_NUMERICAL or SOLVER_FAILURE_OR_BUG_SUSPECT and rerun only under a new preregistered method audit.	Preserve stdout, stderr, checkpoints, fields, and hashes.	Reporting a no-go, truncating the branch, or substituting a preconditioned residual.
R09	A previously omitted sector is released.	Every negative or uniqueness claim made in the frozen-sector parent.	Regrade to the exact old slice and explore the new parent space without target seeding.	Maintain parent-child links and unchanged old artifacts.	Generalizing the old negative to the enlarged space.
R10	A GR, empirical, carrier, mass, or stability readout suggests a preferred branch.	Comparison layer only; the frozen atlas candidate set remains immutable.	Record compatibility/departure without upstream reranking; any new exploration requires a blind preregistration.	Preserve frozen identifiers and comparison disclosure.	Retuning, deleting, or reseeding upstream branches for a win.
R11	A solver finds an unregistered singular, disconnected, or type-changing branch.	Coverage census and neighboring continuation records.	Add an append-only branch identity and audit whether the original coverage proof was incomplete.	Freeze the discovery and its search path before extending bounds.	Absorbing it into a smooth branch or hiding it as failure.
R12	A downstream stage exposes circular bootstrap or missing native object.	Global and interpretive descendants of the circular dependency.	Mark closure OPEN, identify the exact missing object, and return only to the earliest logically affected gate.	Preserve all noncircular local results with narrower scope.	Inventing a scale, density, source, coupling, or selector to close the loop.
