id	path	first_commit_date	authority_class	permitted_use	map_role
S01	LIVE.md	2026-06-23	CURRENT_CONTROL	CURRENT_STATUS_ONLY	Topmost current-state and authority boundary; later edits control despite early path creation.
S02	HANDOFF.md	2026-06-10	CURRENT_CONTROL_SUBORDINATE_TO_LIVE	CURRENT_ORIENTATION_ONLY	Lean current resume context; cannot overrule LIVE.
S03	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	2026-07-19	CURRENT_FRONTIER_THROUGH_LATER_OVERLAYS	AFFIRMATIVE_WITH_EXPLICIT_STATUS	Current reciprocal/angular/action distinctions after applying LIVE and premise-reset overlays.
S04	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	2026-07-17	FOUNDING_PLUS_DERIVED_KINEMATICS	AFFIRMATIVE_WITH_PREMISE_STAMPS	Internal dual pair determinant-one/exponential character and conditional local metric readout.
S05	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	2026-07-17	FOUNDATIONAL_POSTULATE_LOCKED	AFFIRMATIVE	Pre-scale conformal class and explicit undecided action/scale/dynamics list.
S06	UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	2026-07-17	OWNER_STATED_WORKING_PRINCIPLE	AFFIRMATIVE_AS_GLOBAL_ADMISSIBILITY_ONLY	Whole-solution matter window with no local equation or fitted density insertion.
S07	UDT_NATIVE_ACTION_COLD_PACKET.md	2026-07-17	BINDING_FOUNDATION_PACKET	AFFIRMATIVE_WITH_STATUS_LABELS	Full C0/C1 premise ledger; static seal datum; fields/action/transverse/time-live objects left open.
S08	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	2026-07-18	FINAL_ACTION_STATUS_LEDGER	AFFIRMATIVE_CLASSIFICATION	Off-shell configuration domain and complete action open; C2/Bach unique-conditional; EH and carrier branches conditional.
S09	udt_premise_reset_audit_2026-07-19/AUDIT_REPORT.md	2026-07-19	CURRENT_CORRECTION_OVERLAY	AFFIRMATIVE_CORRECTION	Separates signed local phi nonnegative distance observer comparison c_E G_obs and global-output Xmax.
S10	metric_cartan_holonomy_audit_2026-07-19/AUDIT_REPORT.md	2026-07-19	VERIFIED_WITH_CAVEATS	AFFIRMATIVE_BOUNDED_GEOMETRY	Abstract coframe and complete local 2+2 sector inventory; shift twist shear and screen remain live.
S11	reciprocal_metric_null_line_selector_2026-07-19/AUDIT_REPORT.md	2026-07-19	VERIFIED_WITH_CAVEATS	AFFIRMATIVE_BOUNDED_GEOMETRY	General positive screen phi-jet census and exact round/anisotropic counterfamilies.
S12	rung2_weld_postjuly_regrade_2026-07-19/AUDIT_REPORT.md	2026-07-19	VERIFIED_WITH_CAVEATS_CORRECTION	AFFIRMATIVE_PROVENANCE_AND_GEOMETRIC_COUPLING	Exact nonlinear phi-angular curvature interaction is geometry not an equation; historical weld imports separated.
S13	complete_coframe_seal_involution_2026-07-20/AUDIT_REPORT.md	2026-07-20	VERIFIED_WITH_CAVEATS	AFFIRMATIVE_BOUNDED_CLASSIFICATION	Complete seal lift is not selected; reciprocal block angular time-on and boundary tangent completions remain multiple.
S14	udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	2026-07-20	VERIFIED_WITH_CAVEATS	AFFIRMATIVE_BOUNDED_GLOBAL_CONSTRAINTS	Mixed readout and transition algebra constrain but do not select cover topology lift modulus or polarization.
