audit_id	risk_or_shortcut	map_control	audit_status	failure_if_violated
X01	Treating one familiar coordinate ansatz as the complete UDT metric.	Abstract coframe parent plus conditional 2+2 realization; no single ansatz is authoritative.	PASS	Reject any package that calls a diagonal, spherical, static, or 2+2 form the whole metric without a derivation.
X02	Counting only the visible diagonal components.	The conditional 2+2 ledger contains exactly ten independent metric slots, including four mixed shifts and screen shear.	PASS	Fail on a missing, duplicated, or silently fixed slot.
X03	Suppressing coordinate dependence to obtain an ODE.	All ten slots accept all four coordinates at the parent layer; every reduction has a separate ledger entry.	PASS	Fail if staticity, stationarity, homogeneity, spherical symmetry, or cohomogeneity is unstamped.
X04	Turning the signed field phi into signed distance.	Phi is a signed dilation field; physical separation remains nonnegative and any observer-relative mapping is a separate open realization.	PASS	Fail if negative distance or a universal phi-distance identity enters.
X05	Forgetting the reciprocal-c observational anchor.	Reciprocal clock/ruler identity is retained as founding structure while its spacetime realization remains conditional.	PASS	Fail if arithmetic reciprocity is either discarded or promoted directly into a unique metric/action.
X06	Promoting the conditional reciprocal plane into a selected global distribution.	Projector, plane, screen, integrability, and global patching are explicit open fields/branches.	OPEN_BLOCKER_VISIBLE	Fail if a global reciprocal plane is assumed from local null-line algebra.
X07	Assuming phi is independent or metric-derived without an off-shell ruling.	Seven off-shell configuration branches are carried separately.	OPEN_BLOCKER_VISIBLE	Fail if field content is collapsed before variation.
X08	Calling C2/Bach the native action.	C2/Bach remains UNIQUE-CONDITIONAL only for the pre-scale local metric-only four-derivative premise class.	PASS	Fail on an unconditional native-action label.
X09	Calling EH native because GR is successful.	EH remains a conditional post-scale/minimality or comparison lane, never an imported field equation.	PASS	Fail if familiarity supplies authority.
X10	Letting action terms be selected by desired solutions.	Dynamics enter only after configuration/founded-constraint atlases freeze and Charles authorizes exact lanes.	PASS	Fail if a soliton, cosmology, GR match, or stability target feeds candidate selection.
X11	Varying a symmetry-reduced action and mistaking it for the full equations.	P05 derives every full equation and boundary current before P07/P08 reductions.	PASS	Fail if reduced variation precedes full variation without an equivalence theorem.
X12	Calling an ODE scan the complete solution space.	ODE work is explicitly a family of lower-dimensional strata; unrestricted completion requires PDE and global stages.	PASS	Fail if P08 or P09 closes all-coordinate dependence, topology, or global completeness.
X13	Calling an arbitrary time-dependent configuration physical evolution.	P10 is forbidden until a full authorized operator and principal/constraint structure exist.	PASS	Fail if coordinate time dependence is equated with a native time law.
X14	Assuming round angular geometry or a fixed S2 carrier.	Screen area, shear, off-diagonal shape, twist, topology, and section remain independent; the null-direction S2 is only a conditional fiber.	OPEN_BLOCKER_VISIBLE	Fail if roundness, fixed target, section, transport, or carrier follows from the fiber alone.
X15	Eliminating mixed phi-angular geometry as gauge.	Mixed shifts, their curvature, transverse phi gradients, screen shear, and reciprocal twist are load-bearing atlas axes.	PASS	Fail if zero shift/twist/shear is the default rather than one stratum.
X16	Treating finite-cell language as a complete boundary condition.	Seal ontology, static seal datum, boundary regularity, phase, variation, charge, and time-live completion are separate fields.	OPEN_BLOCKER_VISIBLE	Fail if the limited static seal selects a universal boundary.
X17	Selecting a physical CSN representative silently.	Pre-scale conformal class, gauge bookkeeping, and post-scale representative-selection branches are distinct.	OPEN_BLOCKER_VISIBLE	Fail if a scale or representative appears without c/G/owner/theory provenance.
X18	Dropping trivial, singular, degenerate, divergent, disconnected, or solver-failed branches.	The controlled outcome vocabulary retains all sixteen outcome classes and forbids merit filtering.	PASS	Fail if only smooth particle-like or converged branches count.
X19	Using a stable Hopfion as a selector for the metric law.	Carrier/stability work is a downstream conditional readout after the metric atlas freezes.	PASS	Fail if the S2 posit or L2+L4 action enters the parent map.
X20	Using GR or observations to sculpt the explored equations.	GR, empirical, matter, and stability readouts occur only after P12 freezes the atlas.	PASS	Fail if a comparison edge precedes the frozen atlas.
X21	Using pre-July material as affirmative UDT physics.	Pre-July sources are marked failure/candidate/tooling only under the provenance firewall.	PASS	Fail if a pre-July path supplies an affirmative premise or equation.
X22	Letting generated audit records influence their own candidate universe.	Source lineage marks package records as audit control only; the map is reconstructed from prior authority.	PASS	Fail on selection feedback from generated tables.
X23	Launching computation because the plan is detailed.	P00 stops at owner review; each later stage has a distinct entry gate, falsification contract, and maximum conclusion.	PASS	Fail if this package itself authorizes P01 or a scientific solve.
X24	Claiming completeness from one verification dimension.	Ten independent completeness criteria must all close within a named regime; the current table leaves their scientific closures open.	PASS	Fail if syntax, tests, algebra, ODE coverage, or numerical convergence alone earns COMPLETE.
