stage_id	allowed_compute	processor_and_bound	preregistered_certification	mandatory_stop	forbidden_upgrade
P00	Table generation, graph/schema validation, source/hash checks, repository gates.	CPU only; seconds to minutes; no equation solve.	Deterministic verifier, exercised mutations, clean manifest replay.	Stop after owner-review package is frozen and pushed.	A plan is not a solution-space result.
P01	Exact and numerical differential-geometry evaluator regressions.	CPU first; bounded unit/regression grids only.	All slots/dependencies, reconstruction, identities, independent implementation.	Stop on omitted slot, failed identity, or representation mismatch.	Verified evaluator is not UDT dynamics.
P02	Exact/local numerical jet stratification.	CPU symbolic/rational first; bounded sampling only to find witnesses.	Discriminant/rank coverage, exact witnesses, mutation catches.	Stop if a stratum is found only by floating-point clustering or zero division.	Local kinematics is not on-shell physics.
P03	Founded constraint elimination and countermodel census.	CPU symbolic; finite branch ledger.	Every relation cites current theory; surviving dimensions independently counted.	Stop on uncited constraint or hidden branch ranking.	Founded constraints are not an action.
P04	No compute; owner dynamics ruling.	None.	Exact immutable dispatch and law/premise manifest.	Stop without Charles's explicit authorization.	Conditional or familiar action cannot become native.
P05	Full symbolic/automatic variation and operator tests.	CPU first; bounded exact/numerical regression.	Two derivations where practical, all field/boundary equations, raw residual identities.	Stop on missing field, boundary channel, principal term, or failed reduced-action scar.	Operator completeness in one lane is not unique native dynamics.
P06	Algebraic/differential branch decomposition.	CPU exact methods with registered resource caps.	No divided-away strata, real witnesses, branch-union accounting.	Stop before continuation while branch completeness is unresolved.	Local EOM structure is not global existence.
P07	Reduced equations derived from the full equations, followed by small ODE pilots on several preregistered strata.	CPU symbolic and bounded CPU integration only; fixed domains, tolerances, branches, timeout, and no retuning.	Direct substitution into the full residual, omitted-equation audit, raw residual/backward error, independent integrator where practical, and singular-event ledger.	Stop if reduced/full equations disagree, raw residual fails, a branch is lost, or completeness is ambiguous.	Tool validation or pilot behavior is OBSERVED and never the whole space.
P08	Cohomogeneity-one ODE branch atlas after the pilot audit.	CPU first; at most one GPU process only if separately dispatched; float64; named memory/time/output/checkpoints.	Continuation coverage, folds/endpoints, independent CPU anchors, unchanged continuum operator, and all failure branches retained.	Stop at the registered resource or coverage contract; never overwrite outputs.	ODE strata do not cover unrestricted PDE or global space.
P09	Nonlinear time-live principal, constraint, gauge, and initial/boundary-data analysis before evolution.	CPU symbolic/exact first; bounded local numerical checks only.	Principal character, constraint propagation identities, admissible data manifold, exact time jets, and failure modes.	Stop if physical evolution law, well-posedness, constraint propagation, or time boundary remains undefined.	A time-dependent configuration is not yet physical evolution.
P10	Time-live constrained PDE exploration.	CPU pilot; GPU only by separate written dispatch, one process, explicit device/dtype/grid/memory/checkpoints.	Constraint propagation, raw residual, convergence, independent saved-field recomputation, boundary flux.	Stop if full physical evolution law/domain is not established or constraints drift beyond preregistered tolerance.	Time dependence or relaxation is not automatically physical time.
P11	Global patching, topology, seal, and bootstrap consistency tests.	CPU exact/topological first; numerical continuation only under a new bound.	Transition cocycles, invariants, boundary completion, no circular parameter definitions.	Stop on local-to-global gap or bootstrap circularity.	A global candidate is not uniquely selected.
P12	Immutable atlas assembly and completeness audit.	CPU indexing/hashing only.	Ten-criterion table, raw evidence manifests, independent load-bearing rerun.	Stop before any empirical or desired-outcome comparison.	Frozen atlas is complete only in its explicit regime.
P13	Downstream GR, empirical, matter, or stability readouts.	Separate future dispatches; resources registered per readout.	Comparison never modifies upstream candidate set; claims retain upstream premises.	Stop if readout feeds back without a newly preregistered exploration.	Agreement, disagreement, or phenomenology cannot manufacture a native law.
