criterion_id	criterion	current_map_coverage	future_closure_stage	currently_dropped_or_open	gate_before_complete_claim
Q01	FIELDS	Abstract conformal-Lorentzian coframe parent; conditional ten-slot 2+2 metric realization; independent-phi, projector, multiplier, two-stage, and connection branches enumerated.	P01 then P03	Whether phi is independent or metric-derived; whether a reciprocal plane/screen split exists globally; independent connection and boundary fields.	Every varied and constrained field, redundancy, transition function, and boundary variable must appear in one verified configuration registry.
Q02	ACTION_TERMS	No action is selected; conditional C2/Bach, post-scale EH, S2 carrier, and two-stage possibilities are kept separate and status-stamped.	P04	Complete native bulk action, matter source, bridge, derivative order, relative weights, boundary completion, and scale selection.	Charles must authorize exact dynamics lanes and each lane must have a complete term/provenance census; elegance or familiarity cannot close this row.
Q03	FULL_EQUATIONS	The protocol requires unrestricted full variation before any symmetry reduction and records constraints, principal type, identities, and boundary currents.	P05	No complete native equation set exists; action-dependent equations are not generated in this map.	Every field and boundary variation must be derived twice or independently checked, with the reduced-action false-pass catch exercised.
Q04	DOMAIN_COORDINATES	All four local dependencies and nonzero mixed slots are retained; charts, coordinate ranges, gauge, CSN representative, and type-changing splits are registered rather than fixed.	P01 then P08 then P10	Global atlas, chart transitions, coordinate ranges, representative selection, and unrestricted four-dimensional domain.	Local and global chart coverage plus gauge/representative reconstruction must be demonstrated; ODE strata cannot close this row.
Q05	BOUNDARY_REGULARITY	Finite-cell ontology, limited static phi seal datum, candidate causal boundaries, and boundary variables are separated from imposed boundary conditions.	P03 then P05 then P11	General time-live seal, inner regularity classes, boundary phase, charges, variational completion, matching, and asymptotic versus finite-cell alternatives.	All admissible boundary components and regularity classes must be classified with variational flux/charge accounting and no habit-pinned condition.
Q06	TOPOLOGICAL_SECTOR	Topology is an explicit branch field; no round S2, carrier section, or spatial topology is assumed from the metric null-direction fiber.	P02 then P11	Base/screen bundle topology, transition cocycles, orientation/time-orientation branches, carrier emergence, and global section existence.	Every claimed connected component must have verified invariants and transition data; local curvature or a fiber type cannot substitute for global topology.
Q07	DYNAMICAL_CHARACTER	Static, stationary, cohomogeneity-reduced, time-live, elliptic, hyperbolic, mixed, constrained, and type-changing possibilities are kept distinct.	P05 then P10	Native principal symbol and whether the physical law propagates, constrains, diffuses, or changes type.	The full authorized operator's principal/constraint structure must be established before time-live data are called physical evolution.
Q08	BRANCH_BIFURCATION	The future record schema retains trivial, singular, degenerate, disconnected, type-changing, solver-failure, and boundary-controlled outcomes without merit filtering.	P06 then P08 then P10	Actual EOM branch loci, global connectedness, continuation completeness, and bifurcations in any authorized law.	Algebraic branch union and registered continuation/PDE coverage must close with unresolved and failed branches still counted.
Q09	STABILITY_SPECTRUM	No relaxation, finite-box Hessian, or familiar particle criterion is promoted into a metric-wide stability claim.	P12 then later separately authorized stability work	Physical time generator, admissible perturbation space, constraints, boundary domain, essential spectrum, infinite-volume limit, and nonlinear stability.	A dynamics-specific full perturbation operator and domain must exist; raw residual/backward error and spectral/global gates must be preregistered.
Q10	REGIME_VALIDITY	Every planned return carries law, scale, chart, topology, symmetry, boundary, source, and numerical premise stamps.	P12 then P13	Relation among local jet, reduced ODE, time-live PDE, global bootstrap, terrestrial/solar readout, cosmological limits, and matter lane.	A claim may be complete only within a named regime whose exclusions are empty or explicit; downstream GR/empirical comparison cannot expand its scope.
