candidate_id	candidate	final_status	what_the_candidate_establishes	missing_gate_or_obstruction	final_effect
CM0-A	Arm-A no-action/no-operator sketch	INCOMPLETE	No stationarity postulate is explicit in C0/C1	No update law; solution concept; nontrivial realized solution; finite boundary; carrier/global Xmax-density closure	Cannot serve as a complete uniqueness countermodel
CM0-C	Zero variational action plus separate coordinate-neutral nonvariational/global rules	CONDITIONAL-COMPLETABLE	Action existence is logically not entailed if a separate complete update/selection system can be built	Concrete equations; boundary data; nontrivial solution; carrier/density content remain unwritten	Live completion project; not present countermodel proof
C2-VAC	Metric-only Weyl C2 vacuum action	INCOMPLETE	Exact 4D CSN bulk and Bach equation exist conditionally	Reciprocal implementation; fourth-order finite boundary; matter; nontrivial solution; stability; global closure	Strong conditional branch only
C2-X2	C2 plus independent weight-zero scalar X2	INCOMPLETE	C2 is not unique once an independent scalar is allowed	Independent-phi status chosen; coupled finite solution; boundary/source/global closure absent	Conditional class counterexample only
C2-CLASS	C2 unique modulo Euler/boundary in named curvature-square class	CONDITIONAL-COMPLETABLE	Unique-conditional bulk classification is sound	Metric-only; locality/covariance; parity; lowest-order; unrestricted variation; boundary and solution are additional premises	Supports UNIQUE-CONDITIONAL status; not complete action
S2-MIN	Corrected minimal covariant round-S2 L2+L4 action	INCOMPLETE	Correct static reduction and conditional stress tensor	Carrier is a posit; constant L2 is not pre-scale CSN; carrier boundary; coupled solution; global closure absent	Conditional carrier completion only
S2-FOL	Foliation S2 completion with free time coefficients	INCOMPLETE	Same static energy permits distinct chosen time sectors	Preferred foliation; CSN behavior; hyperbolicity/stability; boundary; coupled solution; global closure absent	Shows static-extension freedom; not complete theory
KER-R	Affine family S_min+ker(R)	CONDITIONAL-COMPLETABLE	Static restriction cannot determine all four-dimensional terms	Needs completed base model; admissible nontrivial kernel deformation; boundary differentiability; solution persistence	Exact restriction theorem; conditional countermodel force
EH-LOVE	EH plus Lambda under Lovelock premises	INCOMPLETE	Conditional post-scale metric-only second-order branch exists	Exact pre-scale CSN tension; representative/scale; G/Lambda; finite boundary; reciprocal solution; global closure absent	Conditional comparison only
EH-H3	EH plus minimal S2 local-room H3 dispatch	INADMISSIBLE	Provides a scoped conditional comparison and source algebra	Uses spatial-infinity normalization; is a dispatch without native finite-cell/global solution	Not a complete native-cell countermodel
EH-RED	EH restricted early to reciprocal spherical one-function family	INADMISSIBLE	Shows the reduced radial bulk is a boundary primitive	Restrict-then-vary loses normal equations; restoring Einstein equation is circular/imported	Cannot derive native dynamics
BDY-TD	Actions differing by total derivative/boundary primitive	CONDITIONAL-COMPLETABLE	Bulk equation can remain while momentum and charge shift	Needs a completed differentiable base action and admissible topology/data	Strong boundary-nonuniqueness route after base completion
NONLOCAL	Symmetric finite-cell bilocal relational scalar action	INCOMPLETE	Locality is not explicitly forced by the foundation	Concrete CSN kernel; mirror behavior; differentiability; solution; global closure absent	Live logical family; no complete countermodel
GLOBAL-AVG	Local action with fitted global-average density coupling	INADMISSIBLE	Nothing admissible	Explicitly violates C1 prohibition on fitted global average as local coupling	Excluded countermodel
GLOBAL-CONSTRAINT	Local CSN action plus separate proper-density/Xmax constraint	CONDITIONAL-COMPLETABLE	A global constraint could coexist with nonunique local dynamics	Proper volume/charge; carrier; coupled variation; root existence/uniqueness; boundary and solution absent	Promising completeness route; not constructed
WRL-C2	WR-L metric admitted by conditional C2/Bach branch	INCOMPLETE	Bach-flat/conformally flat admission witness	Profile not selected; no carrier; endpoint boundary/charge; stability; X selection; global matter-bearing solution absent	Admission is not action or solution selection
