source_id	material_date	source	firewall_class	allowed_use	affirmative_use_in_final	note
P01	2026-07-17	UDT_NATIVE_ACTION_DERIVATION_DISPATCH.md	CURRENT_CONTROLLER	Process; challenge framing; current -2.7 percent and supersession statements	Process and scoped current-status authority only	Does not itself bank physics
P02	2026-07-17	UDT_NATIVE_ACTION_COLD_ARM_DISPATCH.md and UDT_NATIVE_ACTION_COLD_PACKET.md	CURRENT_FOUNDATION	Affirmative owner ledger and exact cold premises	Yes for founding/canon/working statuses and supplied kinematic premises	Primary affirmative foundation
P03	2026-07-18	Stage-I Arm A and Arm B frozen D0-D5 packages	CURRENT_INDEPENDENT_DERIVATION	Affirmative only where both agree; Arm C survives; replay passes	Yes for reciprocal algebra and exact static-restriction facts	Conditional examples are not complete models
P04	2026-07-18	Stage-II Arm A and Arm B frozen D6 packages	CURRENT_CHALLENGE_ADDENDA	Affirmative only for newly encoded algebra surviving Arm C; historical citations retain original dates	Yes for corrected S2 conventions; source-channel algebra; three-part bookkeeping	Cannot launder older history into authority
P05	2026-07-18	Arm-C frozen adversarial package	CURRENT_BLIND_AUDIT	Affirmative audit/correction authority after replay	Yes for completeness correction; conditional C2 classification; priority correction; algebraic audits	User accepted Arm-C audit before adjudication
P06	Mixed; includes 2026-06-10 and 2026-06-18 entries	CANON.md	MIXED_DATE	Pre-July content may identify failures/counterexamples only; later entries remain status-scoped	No pre-July affirmative dependence; current C1 restatement supplies finite-cell and kinematic authority	Old canon is not used to bypass the firewall
P07	2026-06-18	udt_field_equations_derivation_results.md	PRE_FIREWALL_NEGATIVE_ONLY	Identify GR-form import; exponent/source smuggle; superseded route	No	May not affirm UDT field equations
P08	2026-07-01	native_geometric_action_results.md	POST_FIREWALL_CHALLENGE	Eligible by date but still conditional and challenged	No standalone affirmative use	Its early-restriction/EH rhetoric is bounded by Arm C
P09	2026-07-09	simple_metric_S9_native_action_honesty_results.md	POST_FIREWALL_CHALLENGE	Identify open action/domain forks	No standalone affirmative use	Current A/B/C supply the final classification
P10	2026-07-10	matter_carrier_provenance_audit_results.md	POST_FIREWALL_CHALLENGE	Negative provenance finding that S2 was not derived	No affirmative S2 physics	Final S2 status comes from C1 plus A/B/C
P11	2026-07-11	noNull_energy.py and H3 static-mass dispatch	POST_FIREWALL_CHALLENGE	Operator-failure audit; conditional EH/S2 challenge only	Only through current A/B/C re-derivation and replay	H3 is a dispatch and uses non-native asymptotic local-room premises
P12	2026-07-06	pre_native_era_census.md and macro_spine_provenance_2026-07-06.md	DATED_CONTAINER_WITH_OLDER_CONTENT	Negative provenance; quarantine; counterexample census	No affirmative pre-July physics	Container date cannot launder earlier content
P13	2026-07-14/15	archive/native_action_chat_2026-07-14_15	POST_FIREWALL_QUARANTINED	Conditional challenge/counter-derivation; algebra-only scripts under README	Only where independently re-derived by current Arm C and final replay	Archive status banners remain binding
P14	Before 2026-07-01	Any scientific claim regardless of later copy/container	PRE_FIREWALL_NEGATIVE_ONLY	Failure; counterexample; circularity; import; supersession; question to test	None	Global content-date rule controlling every source above
P15	2026-07-18	Final adjudication algebra replay and mechanical tables	CURRENT_SYNTHESIS	Mechanical implications only; no new physical premise	Yes within exact stated premises	Passing algebra does not certify completeness or physical selection
