sequence	group	script	frozen_output	replay_output	compile	exit_code	stderr_bytes	stdout_exact_match	script_sha256	frozen_output_sha256	replay_output_sha256	result
1	stage1_A	native_action_stage1_2026-07-18/arm_A/cold_output/cas_common_scale.py	native_action_stage1_2026-07-18/arm_A/cold_output/cas_common_scale_out.txt	ALGEBRA_RERUN_OUTPUTS/01_stage1_A_cas_common_scale_out.txt	PASS	0	0	PASS	e0ba1d74fd237c76d4cc63cfe49595a01defa26ec0ee8f74b5740f65387d6c7e	2c8d1a6ec8af9a00b47d08c70b73e9bce96fc338379351d6132c31c6e042f5fb	2c8d1a6ec8af9a00b47d08c70b73e9bce96fc338379351d6132c31c6e042f5fb	PASS
2	stage1_A	native_action_stage1_2026-07-18/arm_A/cold_output/cas_completion_fork.py	native_action_stage1_2026-07-18/arm_A/cold_output/cas_completion_fork_out.txt	ALGEBRA_RERUN_OUTPUTS/02_stage1_A_cas_completion_fork_out.txt	PASS	0	0	PASS	6999822b95e02ba9b1a8e36b4cdce55f3580b804b65a57bc242e07d881ca22fa	8ab541cc36fcefb53fec4a37742f621ae96931fa4e0ee938a5edf503520ed9fe	8ab541cc36fcefb53fec4a37742f621ae96931fa4e0ee938a5edf503520ed9fe	PASS
3	stage1_A	native_action_stage1_2026-07-18/arm_A/cold_output/cas_conformal_weights.py	native_action_stage1_2026-07-18/arm_A/cold_output/cas_conformal_weights_out.txt	ALGEBRA_RERUN_OUTPUTS/03_stage1_A_cas_conformal_weights_out.txt	PASS	0	0	PASS	914311e8408396413bbe333479f7c737f6e00e06e5c51b94519f681b9c927721	52dcdf34bbf277a68146e7d364887c6fa45f55a9e11a13f97a5012cbd827adfb	52dcdf34bbf277a68146e7d364887c6fa45f55a9e11a13f97a5012cbd827adfb	PASS
4	stage1_A	native_action_stage1_2026-07-18/arm_A/cold_output/cas_metric_block.py	native_action_stage1_2026-07-18/arm_A/cold_output/cas_metric_block_out.txt	ALGEBRA_RERUN_OUTPUTS/04_stage1_A_cas_metric_block_out.txt	PASS	0	0	PASS	d9a6a9bec08ab6bdd3a259a0f673f4c5d88e3698d55115f9d837fd7ecd917820	87c4cfd486f67695845b80b08d5523e8b4017e748ecb43cab7c8bb8e1a56950e	87c4cfd486f67695845b80b08d5523e8b4017e748ecb43cab7c8bb8e1a56950e	PASS
5	stage1_A	native_action_stage1_2026-07-18/arm_A/cold_output/cas_p4_stress.py	native_action_stage1_2026-07-18/arm_A/cold_output/cas_p4_stress_out.txt	ALGEBRA_RERUN_OUTPUTS/05_stage1_A_cas_p4_stress_out.txt	PASS	0	0	PASS	0c204ca0278653444309d0e285a39e94b8fcf53c5fa9e0d63417f6c7184e5b06	1a93ba5f3a2340c89e4fda2817c7e30f3f4135dab83fbd8769a2e549f5bb3d62	1a93ba5f3a2340c89e4fda2817c7e30f3f4135dab83fbd8769a2e549f5bb3d62	PASS
6	stage1_A	native_action_stage1_2026-07-18/arm_A/cold_output/cas_p4_variation.py	native_action_stage1_2026-07-18/arm_A/cold_output/cas_p4_variation_out.txt	ALGEBRA_RERUN_OUTPUTS/06_stage1_A_cas_p4_variation_out.txt	PASS	0	0	PASS	80236d2e5759362ffb8fcbce73257c7d42c084db856e45712daa81674b7f344f	4a66eb893bfb82a36e6400a5e926dc9e89129abcddd00859bc44ba205874d0c7	4a66eb893bfb82a36e6400a5e926dc9e89129abcddd00859bc44ba205874d0c7	PASS
7	stage1_A	native_action_stage1_2026-07-18/arm_A/cold_output/cas_radial_flux.py	native_action_stage1_2026-07-18/arm_A/cold_output/cas_radial_flux_out.txt	ALGEBRA_RERUN_OUTPUTS/07_stage1_A_cas_radial_flux_out.txt	PASS	0	0	PASS	34f0caef8a79d532304ec79f85eda6ae351db39eefff44efbd972edb3e5ec90d	c7f650e7866145aa40a385490442747ba1488125ad0a15e7d2d0886522fde7f5	c7f650e7866145aa40a385490442747ba1488125ad0a15e7d2d0886522fde7f5	PASS
8	stage1_A	native_action_stage1_2026-07-18/arm_A/cold_output/cas_reciprocity.py	native_action_stage1_2026-07-18/arm_A/cold_output/cas_reciprocity_out.txt	ALGEBRA_RERUN_OUTPUTS/08_stage1_A_cas_reciprocity_out.txt	PASS	0	0	PASS	1315a98fc693b6b303c6f1d1ba914c5f634d46d2c7ebede55399991f33d17522	11f73a9b83af2323287e2643d925dddce735c1f2edfc6ad751c7c104c133ee96	11f73a9b83af2323287e2643d925dddce735c1f2edfc6ad751c7c104c133ee96	PASS
9	stage1_A	native_action_stage1_2026-07-18/arm_A/cold_output/cas_s2_static_completion.py	native_action_stage1_2026-07-18/arm_A/cold_output/cas_s2_static_completion_out.txt	ALGEBRA_RERUN_OUTPUTS/09_stage1_A_cas_s2_static_completion_out.txt	PASS	0	0	PASS	afc89b80cf9b855fb8a993a2c9d426f8a02d31c9af3dc63cb74624632e54a8ac	4e3dbb36657b050f445b57bcaf0bee7106b7d05c459472268543e5bf64efe9b5	4e3dbb36657b050f445b57bcaf0bee7106b7d05c459472268543e5bf64efe9b5	PASS
10	stage1_A	native_action_stage1_2026-07-18/arm_A/cold_output/cas_s2_stress.py	native_action_stage1_2026-07-18/arm_A/cold_output/cas_s2_stress_out.txt	ALGEBRA_RERUN_OUTPUTS/10_stage1_A_cas_s2_stress_out.txt	PASS	0	0	PASS	bbd33e41380065edf429697fb4472a4e6fe94cf28f9c5d4c591a839c54087c5e	c30a13e489d4b11c828f68d57199483b221b6e666b17c154b806e6a62b5f4eb4	c30a13e489d4b11c828f68d57199483b221b6e666b17c154b806e6a62b5f4eb4	PASS
11	stage1_A	native_action_stage1_2026-07-18/arm_A/cold_output/cas_weak_metric_expansion.py	native_action_stage1_2026-07-18/arm_A/cold_output/cas_weak_metric_expansion_out.txt	ALGEBRA_RERUN_OUTPUTS/11_stage1_A_cas_weak_metric_expansion_out.txt	PASS	0	0	PASS	6c8142354535de9d927adb43509edb3962f9537a1062a33fd7bbc8e08b5bd430	6dd75d2a04faa96231e524c6a067776f43061bee64a60faea8ea473e8fa01ca1	6dd75d2a04faa96231e524c6a067776f43061bee64a60faea8ea473e8fa01ca1	PASS
12	stage1_B	native_action_stage1_2026-07-18/arm_B/cold_output/cas_csn_decomposition.py	native_action_stage1_2026-07-18/arm_B/cold_output/cas_csn_decomposition_out.txt	ALGEBRA_RERUN_OUTPUTS/12_stage1_B_cas_csn_decomposition_out.txt	PASS	0	0	PASS	eb5a9be865b783420f8ba4c921fbc165e4f0f0b5a51746ae16bab6a075d35fc0	81f878bc221c7a6543c3b715ee55a91aab389ebb5620e04eb70a427e0d677a54	81f878bc221c7a6543c3b715ee55a91aab389ebb5620e04eb70a427e0d677a54	PASS
13	stage1_B	native_action_stage1_2026-07-18/arm_B/cold_output/cas_dual_reciprocity_uv.py	native_action_stage1_2026-07-18/arm_B/cold_output/cas_dual_reciprocity_uv_out.txt	ALGEBRA_RERUN_OUTPUTS/13_stage1_B_cas_dual_reciprocity_uv_out.txt	PASS	0	0	PASS	09141dabeaebd21495d07e08edb7aacf784ab25554ab2b4b2b37f001e2f09718	7c5e68116f616d74201dca16dd1f93fb8bacc7297656548a83cbfd1e4452de61	7c5e68116f616d74201dca16dd1f93fb8bacc7297656548a83cbfd1e4452de61	PASS
14	stage1_B	native_action_stage1_2026-07-18/arm_B/cold_output/cas_exponential_composition.py	native_action_stage1_2026-07-18/arm_B/cold_output/cas_exponential_composition_out.txt	ALGEBRA_RERUN_OUTPUTS/14_stage1_B_cas_exponential_composition_out.txt	PASS	0	0	PASS	4b8d4996cc411a78853a9f176f2beaf5bbe1dc46195efc70853a7f71e8751d39	fe0f185dd8cfae003f0c884118e1b715e64ad8db54c1d3db6e3137ceda9b2c37	fe0f185dd8cfae003f0c884118e1b715e64ad8db54c1d3db6e3137ceda9b2c37	PASS
