id	object	status	exact_scope_or_premises	affirmative_authority	what_is_not_claimed	closure_needed
S01	Positional dilation	FOUNDING	Owner-stated H2 hierarchy	C1 dated 2026-07-17	Not re-derived or demoted	Owner only
S02	Reciprocal-c Identity	FOUNDING	Coequal conversion directions	C1 dated 2026-07-17	Does not alone imply uv=1 or a metric	Owner only
S03	Dual UDT Reciprocity	FOUNDING	Supplied faithful contragredient pairing	C1 dated 2026-07-17	Not a theorem of c alone	Owner only
S04	Common-Scale Neutrality	FOUNDING	Pre-scale common positive rescaling is calibration	C1 dated 2026-07-17	Does not choose a representative or action	Owner only
S05	Realized nonzero dilation	OBSERVED	Realized universe only; phi=0 remains mathematical	C1 dated 2026-07-17	Not derived from composition	No mathematical closure required
S06	Determinant-one reciprocal comparison uv=1	DERIVED	P^T K P=K in the supplied dual-pair formalization	Independent A/B; Arm C; current algebra replay	Not uniqueness of every possible formalization	A different formalization would need separate audit
S07	Reciprocal exponential comparison	DERIVED / CONDITIONAL	Positive additive relative depth; composition; reversal; a stated regularity axiom; chosen sign/unit	Independent A/B; Arm C; current algebra replay	Does not derive positional dilation or nontriviality	Specify the exact regularity theorem for theorem-level publication
S08	Reciprocal Lorentzian metric block	CONDITIONAL	Chosen Lorentzian quadratic readout; CSN representative; sign/unit; slot assignment	C1 plus A/B/C	Not the full metric and not CSN-invariant	Derive readout; representative; transverse block; and slot ontology
S09	Static seal parity	CANONIZED / BINDING	Finite mirrored cell; static phi sector; phi=0 and normal derivative free	C1 current restatement	Does not select other-field data; primitive; or charge	Complete boundary variation
S10	Off-shell fields and reciprocal constraint domain	OPEN	Metric-only; metric-plus-phi; coframe; multiplier; hard constraint; unrestricted/readout routes all live	A/B/C current audit	No equivalence among routes	Native configuration-space rule and equivalence theorem where claimed
S11	Metric-only local parity-even lowest curvature-square bulk	UNIQUE-CONDITIONAL	Four dimensions; exact local CSN/Weyl; local diffeomorphism covariance; unrestricted metric-only variation; polynomial parity-even bulk; lowest nontrivial curvature-square inventory	Arm C current counter-derivation; 24-script replay	Not a unique complete action; boundary; normalization; matter; solution; or stability	Derive every class premise and complete finite-cell action
S12	C-squared bulk equation	UNIQUE-CONDITIONAL	Same S11 premises; modulo Euler/topological and boundary terms	Arm C current audit; unique-action algebra replay	Does not make WR-L selected; charged; or stable	Boundary/corner completion; reciprocal implementation; compatible source; nontrivial global solution
S13	Bach equation	UNIQUE-CONDITIONAL	Unrestricted variation of the S11 C-squared bulk	Arm C current audit	Not valid after unproved early reciprocal restriction	Variation-domain selection and boundary completion
S14	Einstein-Hilbert/Lovelock bulk	CONDITIONAL	Post-scale representative; unrestricted metric-only local 4D covariance; at-most-second-order equations; Lovelock minimality	A/B/C current classification	Not exact pre-scale CSN and not forced UDT	Representative/scale emergence; Lambda/G; boundary/corners; source; solution
S15	Round-S2 carrier	WORKING / POSIT / CONDITIONAL	Reopened historical carrier used only as a test branch	C1 current owner ledger; A/B/C	Not selected or emerged from positional dilation	Carrier derivation or explicit future adoption
S16	Static S2 E2+E4 functional	CONDITIONAL / CHOSE	Flat static round-S2 branch with open coefficient origin	C1 current packet	Not a four-dimensional action or mass	Native carrier and coefficient/scale origin
S17	Minimal covariant S2 completion	CONDITIONAL	Chosen (-,+,+,+) signature; overall minus action sign; sqrt(|g|); Lorentz covariance; minimal physical-metric coupling; unrestricted metric variation	Stage-II B correction; Arm C; algebra replay	Not CSN-complete with constant L2; not unique	Post-scale or compensator rule; boundary; solution; stability
