kind	label	path	expected_sha256	actual_sha256	expected_entries	actual_entries	internal_failures	result
package_manifest	stage1_A	native_action_stage1_2026-07-18/arm_A/SHA256SUMS.txt	d72e8d6e1b4bc8682bd5518264a1a43a3b5f7b3b246b3d218ea6bfecc6927d19	d72e8d6e1b4bc8682bd5518264a1a43a3b5f7b3b246b3d218ea6bfecc6927d19	29	29		PASS
package_manifest	stage1_B	native_action_stage1_2026-07-18/arm_B/SHA256SUMS.txt	a99937a8fbba57ac24f490c2974937718f7dfbc2f2f7dd7c960d57fc5e839b92	a99937a8fbba57ac24f490c2974937718f7dfbc2f2f7dd7c960d57fc5e839b92	15	15		PASS
package_manifest	stage2_A	native_action_stage2_2026-07-18/arm_A/SHA256SUMS.txt	ad63ffacdd5282a35fe0aef62269464d987aa61b710a4d393d95836234fd670a	ad63ffacdd5282a35fe0aef62269464d987aa61b710a4d393d95836234fd670a	13	13		PASS
package_manifest	stage2_B	native_action_stage2_2026-07-18/arm_B/SHA256SUMS.txt	30b2a3863f1d16e3b3507b5d0bf10a6b5b59c1e54d769cacc53127cc676d6d45	30b2a3863f1d16e3b3507b5d0bf10a6b5b59c1e54d769cacc53127cc676d6d45	13	13		PASS
package_manifest	arm_C	native_action_arm_c_2026-07-18/SHA256SUMS.txt	99fc0d6c26aff24e43b8636d74f80e3486c56131590552308b47c1d107ed500f	99fc0d6c26aff24e43b8636d74f80e3486c56131590552308b47c1d107ed500f	21	21		PASS
source_anchor	controller	UDT_NATIVE_ACTION_DERIVATION_DISPATCH.md	9b7c172a395084bf9a7fede33a261de7a61ca7704c3650e9b7828f9ec814b668	9b7c172a395084bf9a7fede33a261de7a61ca7704c3650e9b7828f9ec814b668				PASS
source_anchor	C0	UDT_NATIVE_ACTION_COLD_ARM_DISPATCH.md	6e977717ca028cabaa198dd14a6a97b3b15740e45485d0ab735f3df0326df192	6e977717ca028cabaa198dd14a6a97b3b15740e45485d0ab735f3df0326df192				PASS
source_anchor	C1	UDT_NATIVE_ACTION_COLD_PACKET.md	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0				PASS
source_anchor	arm_C_input_manifest	UDT_NATIVE_ACTION_ARM_C_INPUT_SHA256SUMS_2026-07-18.txt	010e7922423ab724467d94f6408425905fb872c5ccaebc5fa5941fc66080f2dc	010e7922423ab724467d94f6408425905fb872c5ccaebc5fa5941fc66080f2dc				PASS
source_anchor	A1_A6_manifest	UDT_NATIVE_ACTION_STAGE2_A1_A6_SHA256SUMS_2026-07-18.txt	85776969410e6dc8bee6b1aa901331dcc139e718dbdfd28c593df3f2054408b7	85776969410e6dc8bee6b1aa901331dcc139e718dbdfd28c593df3f2054408b7				PASS
source_anchor	preregistration	UDT_NATIVE_ACTION_FINAL_ADJUDICATION_PREREG_2026-07-18.md	b8d4bd4bb48cfcfb51bc85fb82d6fdd816b6e6585dd1600fdea3093e39dba457	b8d4bd4bb48cfcfb51bc85fb82d6fdd816b6e6585dd1600fdea3093e39dba457				PASS
