current_path	blob_oid	sha256	size_bytes	last_commit	role	load_bearing_use
UDT_NATIVE_ACTION_COLD_PACKET.md	dbe0292e446291cdc620abfb261447cb9f7d969f	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0	13221	c5732bedb7adb337e57cee72e1ea6fce481984e3	FOUNDATION	exact C0/C1 slot and global limits
UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	db2959c45beb48f7417b211039dd8e8c71d2f1ef	4bb0da9098da0a9970602e2449615eef151796b0d7fe7a9978f4b66145748a34	2886	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	FOUNDATION	positive common-scale equivalence
UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	5e2a9692a18dac25f4c8f5ace643fd11e7427e65	ce14075bad1ff4b6ea9b41e35dc6b63dfc5a9ae13478bd57c80b1502f33fb540	2693	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	FOUNDATION	global admissibility wording and limits
CANON.md	a67e518b623c8715679b26d5736c7409e3ffcae3	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314	35011	564ac41c15bb39b778d5b3181eefaf9e903bb275	FINITE_CELL_AUTHORITY	finite mirrored cell and static phi seal data only
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	d6a53296e4827b9e522a602659179f229ddee288	b267fab1bb1b0b356e88315712f6ec6d9925732238e5a7ab90f6af59c25f59ec	13432	9f1a64af0eb7a9c8aa8e8698c40c84df39d0c9c7	FRONTIER	controlling pre-audit status
native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	776220ebee57c9a55e82db8cf1dc832d951be0d6	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea	10290	2934c5378fdffd239f86dc270184c3190c41b881	PRIOR_AUDIT	celestial S2 fiber and section gate
null_section_hopfion_metric_audit_2026-07-19/AUDIT_REPORT.md	bab9635818253250df63aec8102cb7e2b85cd70e	af15bf24f994ae43f6d0e54e07b83d83e977aed9fbe88462f582edec89cef618	16135	cc7b08381281fa104661df5b6af9fb030cabac95	PRIOR_AUDIT	reciprocal Hopf block and soldering counterexample
null_section_hopfion_metric_audit_2026-07-19/DERIVATION_RESULT.json	66c465e87795b1e181d39124c6e89f37334bcb60	eb7cc8e5a5fd757cb67046113d453d645eb3fed68fc34f75900057b9881f5ac7	6252	cc7b08381281fa104661df5b6af9fb030cabac95	PRIOR_ALGEBRA	exact Hopf coordinate identities
angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	4104ed440be3efa52456bad89baef710e99ffa67	4e1178a7993a6f3f3e94713df27d0ab8c140b96ef613c5fa09099af72941cb8b	16110	671206e94b9a842a919b014c1dc47ef0713e2964	PRIOR_AUDIT	conditional toric theorem and ordered gates
angular_toric_closure_selector_2026-07-19/STATUS_LEDGER.tsv	80b0ce7857cd2936b7f32f55aeee9dac5a0a5e83	d39b40f919c4f1b23b7785c2d5ce0b3cb325620eea7463eff4182082d2211f90	6049	671206e94b9a842a919b014c1dc47ef0713e2964	PRIOR_LEDGER	premise-stamped current theorem
angular_toric_closure_selector_2026-07-19/CANDIDATE_FAMILY.tsv	e1bdeb3ee4c03c4ba67366ef4d97a2e212692e06	752adf109a54aaf7e738abdf3eef0f123dc278cd2b35aca65bcf7bddcc11dd10	3521	671206e94b9a842a919b014c1dc47ef0713e2964	PRIOR_CENSUS	toric counterfamilies
reciprocal_line_realization_selector_2026-07-18/DERIVATION_REPORT.md	16626fe67c98c8ea01a80fdd2f81ba8017dc170b	e05cc6b0f124419104dde530305e1cd3779b5e3f7136f59e2000af67812a948e	14772	b3cd93bd92960b89935b9946b88f2e6017195c99	PRIOR_SELECTOR	metric-only line naturality theorem
reciprocal_line_realization_selector_2026-07-18/STATUS_LEDGER.tsv	d2aa2e58060007126b74d962337aba0cf50e34c9	b3a0edea452a7873b8bf8a7aeacaa4339a620f7901e673f942a8319dc6023faa	4473	b3cd93bd92960b89935b9946b88f2e6017195c99	PRIOR_LEDGER	type and realization statuses
