claim_id	layer	object	status	basis	dependency_or_limit	maximum_claim
R01	FOUNDATION	reciprocal exponential comparison pair	DERIVED_CONDITIONAL	dual Reciprocity plus composition regularity give opposite exponential weights	founding realization is temporal/parallel and slot identification remains premise-stamped	reciprocal two-weight structure is available for realization tests
R02	VECTOR_REPRESENTATION	direct four-dimensional block extension	TRANSVERSE_IDENTITY	block diag(exp(-phi),exp(phi),1,1) preserves the Lorentz-signature pairing	one faithful extension is not a uniqueness theorem; other structured embeddings require premises	direct extension does not produce a transverse reciprocal pair
R03	NATURALITY	isotropic transverse plane plus scalar phi	NO_NONZERO_EQUIVARIANT_TF_TENSOR	the SO2-invariant subspace of symmetric trace-free two-tensors is zero	requires no additional director derivative tensor or broken transverse isotropy	a scalar alone cannot choose reciprocal shear axes
R04	HODGE	oriented transverse data	AREA_ONLY	star of the longitudinal two-form is the transverse area form	area and orientation do not split the plane into ordered lines	Hodge duality supplies no transverse pair or periods
R05	DERIVATIVE_GEOMETRY	projected Hessian curvature or shear axes	CONDITIONAL_STRATIFIED	nondegenerate symmetric tensors can select eigenlines on declared strata	operator choice CSN behavior degeneracies exponential eigenvalues and closed orbits remain open	metric derivatives are candidate realization data not a universal selector
R06	GLOBALITY	periodic circle orbits	NOT_LOCAL_METRIC_DATA	locally identical flat transverse metrics admit nonperiodic and torus globalizations; irrational-slope reciprocal eigenlines on T2 have dense nonclosed leaves	period lattice commuting complete generators and integral slopes are global inputs	C0/C1 local algebra and even derived axes do not establish periods
R07	COUNTERMODEL	finite disk transverse cell	KINEMATICALLY_COMPATIBLE	diag(-exp(-2kr),exp(2kr),1,1) on finite mirrored depth times D2 has odd phi and no reciprocal transverse pair	no complete action boundary functional or bootstrap admissibility map exists to certify a realized universe	current foundation wording does not exclude the bounded nontoric family
R08	COUNTERMODEL	finite S2 transverse cell	KINEMATICALLY_COMPATIBLE	finite mirrored depth times round S2 is compact but S2 has no free effective T2 action	same complete-solution caveat as R07	finite compactness does not imply a transverse torus
R09	CELESTIAL	projective null-direction fiber	CONDITIONAL_DERIVED_FIBER	under inherited conditional 4D conformal Lorentzian readout nonzero null rays project to S2	no selected section connection physical field or boundary	retains the prior conditional celestial fiber result
R10	SPIN_REPRESENTATION	reciprocal diagonal SL2C subgroup	EXACT_CONDITIONAL_CORRESPONDENCE	diag(exp(-a),exp(a)) has determinant one and shifts the complex-component magnitude ratio reciprocally	requires a type-correct embedding of the internal pair into the Lorentz spin representation; phase-twisted embeddings share the same metric magnitudes unless the real positive map is required	standard representation theorem not yet a foundation-level realization map
