source_id	path	sha256_at_base	role	adjudication
S01	CURRENT_SCIENTIFIC_PREMISES.md	a22f1462aca930996d22b1148f85ce827f596f35fdbd118366c8f236688a6094	controlling premise prose	RETAIN_LOAD_BEARING
S02	CURRENT_SCIENTIFIC_PREMISES.tsv	8d8efc54b1c2e8cf83e0da8ef7c52dc22e9a44900a1e58d2280be1dc3417bdfb	controlling premise registry	RETAIN_LOAD_BEARING
S03	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	3c7fed27fae474c8718ffe8f09dad858c12b0aba068494e2a8248fe19f642783	founded phi and extension status	RETAIN_LOAD_BEARING
S04	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	7a4fba1c6f9d02eb7ca12ac953d04e1c04e2b7271598dc99e51db5baeddedb08	complete-coframe extension classes	RETAIN_LOAD_BEARING
S05	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/DERIVATION_RESULT.json	25b4fd3b9a904c992b3b05a6f7480c8151c5d56c09b440d79074d22b96aff0b9	machine-readable founded derivation	RETAIN_LOAD_BEARING
S06	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/derive_extension_class.py	35860f84a3947f99ea9e44e68e9883738021f2ddccbc360181f8a4c9d72c994a	primary founded derivation code	RETAIN_METHOD
S07	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/INDEPENDENT_RESULT.json	61228b57ee0a51f6185b0222227ac1e3f8bb600e5e8767bbefcd060412a40e88	independent founded derivation result	RETAIN_INDEPENDENCE
S08	udt_factorized_whole_spacetime_skeleton_2026-08-04/WHOLE_SPACETIME_SKELETON.md	e47706635621068564dbbf40338eb7a59eb37e6fa3a0d96b5c59d7a390e50eb4	registered factorized architecture	RETAIN_LOAD_BEARING
S09	udt_query_bundle_section_descent_audit_2026-08-04/AUDIT_REPORT.md	3fd6b915bfe02ebb6418a242654d8d05bba28f8c1de69fd983d19875e824ee39	query-depth ownership status	RETAIN_LOAD_BEARING
S10	udt_query_bundle_section_descent_audit_2026-08-04/EXACT_DERIVATION.md	9a16e39b6d8e6a78881b4090b72a746f505ff2b5aed9ef3eb12aa0840ab8198c	query/descent exact derivation	RETAIN_LOAD_BEARING
S11	udt_query_bundle_section_descent_audit_2026-08-04/STATUS_LEDGER.tsv	f38016e0f114e716c15aaa592f0c6b2dce5aadd99d5e4790f21238f0420bd5ee	query/descent statuses	RETAIN_LOAD_BEARING
S12	udt_full_coframe_first_jet_stratified_transition_atlas_2026-08-04/AUDIT_REPORT.md	7b3cc8044e36ab451b6c1dc07e6830334bb6d288e77fb95a86926eadc337223a	complete first-jet atlas	RETAIN_LOAD_BEARING
S13	udt_full_coframe_first_jet_stratified_transition_atlas_2026-08-04/EXACT_DERIVATION.md	0fe738597c746b4072eb555de7a6034857d05f05fac3df0f3a570a107134e257	first-jet exact derivation	RETAIN_LOAD_BEARING
S14	udt_full_coframe_first_jet_stratified_transition_atlas_2026-08-04/RESULT.json	41fc6442977b1a5e36a53ba2640e2e918a64bd94c8403c513f31e0a58f7c2799	first-jet machine result	RETAIN_LOAD_BEARING
S15	udt_full_coframe_first_jet_stratified_transition_atlas_2026-08-04/PREMISE_LEDGER.tsv	bce6a10d1ffbfd5817772ba7fcba2495b41ac1c06ed5a884abf4da6c4fc40f2a	first-jet premise ledger	RETAIN_LOAD_BEARING
S16	udt_second_jet_curvature_solder_atlas_2026-08-04/AUDIT_REPORT.md	d9d5c9e609eaba018cb3b5a41f9482b381ac3f0eb5c0944544ab74b542ceaea5	parent second-jet result	RETAIN_LOAD_BEARING
S17	udt_second_jet_curvature_solder_atlas_2026-08-04/EXACT_DERIVATION.md	87dacc657f426d321f4dbc3186adb5d2f886bbddc138638f69fa5d0c531dd9b9	parent second-jet exact derivation	RETAIN_LOAD_BEARING
S18	udt_second_jet_curvature_solder_atlas_2026-08-04/RESULT.json	6abb5be4ce8de8d1c099889cdf1b7f96684ab610dced0b39c780dc85714a8d65	parent second-jet machine result	RETAIN_LOAD_BEARING
S19	udt_second_jet_curvature_solder_atlas_2026-08-04/PREMISE_LEDGER.tsv	9ac955275c2a486bc4436321114915d7790c893e02036978e2a221339198ae1e	parent second-jet premises	RETAIN_LOAD_BEARING
S20	udt_second_jet_curvature_solder_atlas_2026-08-04/JOINT_OWNERSHIP_LEDGER.tsv	34a00fa3a37d5f36a71ffc3a4bda6be6d0b84e02e8871c625919c14c1941a295	parent separate-axis caveat	RETAIN_LOAD_BEARING
S21	udt_complete_coframe_extension_solvability_audit_2026-08-04/AUDIT_REPORT.md	14a936317d1559d55494717fddde408e2c8c334dc793879e579db6a0987eced9	complete extension solvability	RETAIN_CONTEXT
S22	udt_complete_coframe_extension_solvability_audit_2026-08-04/EXACT_DERIVATION.md	79d07c9fea46ef2b00757f412c5701ec3e748b6bfde5a5d137423379f4e06f0d	complete extension derivation	RETAIN_CONTEXT
S23	udt_metric_natural_reciprocal_split_selector_audit_2026-08-04/AUDIT_REPORT.md	31e8073c54dbbde639bf2b659bf516fbc42a1a7ff3e219af0c9f4734800611c8	metric-natural split obstruction	RETAIN_CONTEXT
S24	udt_full_coframe_response_selection_audit_2026-08-04/AUDIT_REPORT.md	aefdacb0527e965298d7f0404fef32b1854145686ad139da8d127ae0ba5dbe0d	response selection obstruction	RETAIN_CONTEXT
S25	udt_full_coframe_response_selection_audit_2026-08-04/EXACT_DERIVATION.md	33653be7774232ca7b3bf79cec4d1f6fc8fd3a398598b288768e63d2b5292454	response selection derivation	RETAIN_CONTEXT
S26	udt_reciprocal_path_composition_residual_audit_2026-08-04/AUDIT_REPORT.md	896e30366445ffddee6bcbbbf27092bcf2bbdd442ee2e4bd55127c346c00d2c2	path composition status	RETAIN_CONTEXT
S27	udt_native_law_home_codomain_ownership_audit_2026-08-04/AUDIT_REPORT.md	c77b8db2cd0737bfde8f7fa1bfe2672068202ef2cabba6dcfcd5cb7cc9e55a70	native-law ownership status	RETAIN_CONTEXT
S28	udt_global_local_reconstruction_audit_2026-08-04/AUDIT_REPORT.md	e867bf678ec421ab60d33548b3ad34e6f3224b7b41f718ccf401dc66f372cfee	global-local reconstruction status	RETAIN_CONTEXT
