catch_id	description	caught
C01	delete realization family	true
C02	promote supplied chart to selected section	true
C03	erase reference factorization kernel	true
C04	promote independent scalar to native	true
C05	freeze one depth Hessian universe	true
C06	change a family curvature rank	true
C07	omit nonzero-null causal stratum	true
C08	claim first-jet rank dependence	true
C09	promote existence to unique selection	true
C10	promote local algebra to physical time	true
C11	promote local algebra to bootstrap closure	true
C12	drift a fixed source hash	true
C13	delete assignment-open premise	true
C14	delete ownership operation	true
C15	falsely identify phi from coframe	true
C16	erase independent-scalar untyped status	true
