requirement	J1	J2	reciprocal_mean	triangular_group	native_complete_status
R1_DOMAIN_OUTPUT	PASS_BOUNDED_ANALYTIC_FAMILY	PASS_LOCAL_COFIELD_ONLY	PASS_RECIPROCAL_SUBGROUP_ONLY	PASS_IN_CHOSEN_COMPLETE_COFRAME_CHART	OPEN
R2_VERTEX_RECOVERY	PASS	PASS	PASS	PASS_FOR_IDENTITY_BASED_LOG_MEAN	CONSTRAINT_ONLY
R3_RELABELING_NATURALITY	PASS_WITH_MATCHED_GENERATOR_RELABELING	PASS	PASS	BINARY_PRODUCT_ORDERED; LOG_MEAN_SYMMETRIC_IN_CHART	CONSTRAINT_ONLY
R4_COMMON_COVARIANCE	NOT_DERIVED_OUTSIDE_FROZEN_GENERATOR_CHART	NOT_DERIVED_OUTSIDE_TRIANGULAR_LATENT_CHART	PASS_FOR_ALIGNED_RECIPROCAL_ACTION	FAILS_OR_UNDEFINED_OUTSIDE_CHOSEN_SOLDERING_AND_SECTION	OPEN
R5_REPRESENTATIVE_INDEPENDENCE	FAIL_OR_UNDEFINED_WITHOUT_RELATIVE_GAUGE	FAIL_OR_UNDEFINED_WITHOUT_RELATIVE_GAUGE	PASS_FOR_INDEPENDENT_CSN_SHIFTS_OF_DIAGONAL_PAIR	FAIL_OR_UNDEFINED_UNDER_INDEPENDENT_LOCAL_LORENTZ_GAUGES	OPEN_FOR_FULL_COFRAME
R6_CSN_COMPATIBILITY	NOT_ESTABLISHED_FOR_COMPLETE_GENERATOR	PASS_RECIPROCAL_DEPTH_QUOTIENT; COMMON_REPRESENTATIVE_CHOSEN	PASS	CENTRAL_COMMON_SCALE; QUOTIENT_COMPATIBLE_IN_CHART	PARTIAL_ONLY
R7_RECIPROCITY_COMPATIBILITY	NOT_DERIVED_FOR_COMPLETE_FIELDS	PASS_ONLY_FOR_LINEAR_LOG_DEPTH_SUBSECTOR	PASS	CONTAINS_RECIPROCAL_SUBGROUP; FULL_EXTENSION_NOT_DERIVED	PARTIAL_ONLY
R8_FACE_EDGE_CONSISTENCY	PASS_WITHIN_ITS_OWN_RULE	PASS_WITHIN_ITS_OWN_RULE	PASS	PASS_FOR_ONE_FIXED_GROUP_MEAN_RULE	DOES_NOT_ENSURE_UNIQUENESS
R9_SCALAR_INTEGRITY	PASS_WITHIN_FROZEN_POLYNOMIAL_FAMILY	NOT_ASSERTED_BEYOND_LOCAL_COVECTOR	NO_COMPLETE_SCALAR_RULE	NO_PHI_OR_DPHI_COMPOSITION	OPEN
R10_FINITE_CELL_COMPATIBILITY	NO_GLOBAL_CELL_OR_SEAL_ACTION_LOADED	NO_GLOBAL_CELL_OR_SEAL_ACTION_LOADED	SEAL_LOCAL_RECIPROCAL_PARITY_ONLY	NO_SELECTED_GLOBAL_REFERENCE_OR_COMPLETE_SEAL_LIFT	OPEN
R11_OPERATIONAL_BOOTSTRAP	ABSENT	ABSENT	ABSENT	ABSENT	OPEN
