candidate	domain	formula_or_operation	extra_structure	status	complete_coframe_ruling
RECIPROCAL_LOGARITHMIC_MEAN	aligned positive determinant-one reciprocal subgroup	P_bar=exp(sum_i w_i log(P_i))=P(sum_i w_i phi_i)	common event/domain; chosen sign/unit of phi; supplied weights	DERIVED_ALGEBRAIC_IDENTITY_GIVEN_CHOSEN_WEIGHTS_AND_ALIGNED_LOG_COORDINATE	DOES_NOT_COMPOSE_ANGULAR_SHIFT_SCALAR_OR_COMMON_SCALE_SECTORS
J1_GENERATOR_COEFFICIENT_BARYCENTRIC	frozen polynomial generators plus marked coordinate chords	mix coordinates and coefficient tensors then evaluate	generator basis; polynomial family; marked points; common chart	CHOSE_ANALYTIC_CONFIGURATION_CHART	NOT_SELECTED_BY_REGISTERED_PREMISES
J2_EVALUATED_COFIELD_BARYCENTRIC	ten latent triangular-coframe fields plus four dphi components	evaluate endpoints then linearly mix latent fields and covector components	triangular gauge; common coordinates; field parameterization	CHOSE_LOCAL_COFIELD_CHART	NOT_GLOBAL_SCALAR_INTEGRABILITY_OR_GAUGE_INDEPENDENT
COMPLETE_TRIANGULAR_COFRAME_GROUP	registered ten-field exponential triangular coframe chart	E1*E2 with semidirect shift law; weighted option exp(sum_i w_i log(E_i))	type-correct relative base/internal identification; selected representative section or genuinely local-Lorentz-equivariant quotient operation; selected weighted multi-input rule; compatible phi/dphi rule	DERIVED_CHART_GROUP_CLOSURE; CHOSE_AS_PHYSICAL_COMPOSITION	DOES_NOT_DESCEND_THROUGH_UNSELECTED_LOCAL_LORENTZ_AND_CHART_REPRESENTATIVES
RAW_AFFINE_COFRAME_MEAN	coframe matrices in one chosen trivialization	sum_i w_i E_i	relative gauge/trivialization identification	REFUTED_AS_REPRESENTATIVE_INDEPENDENT	SAME_METRIC_GAUGES_CAN_HAVE_SINGULAR_MIDPOINT
AFFINE_METRIC_MEAN	metric components in one chart	sum_i w_i g_i	point/chart identification and a Lorentzian-domain prescription	REFUTED_AS_UNCONDITIONALLY_LORENTZIAN	LORENTZIAN_ENDPOINTS_CAN_HAVE_DEGENERATE_MIDPOINT
RELATIVE_FRAME_LOG_OR_GEODESIC	identified frame bundle or metric configuration space	choose base; log relative maps; exponentiate weighted tangent	relative transport; connection; log branch; base/symmetrization	OPEN_EXTRA_STRUCTURE_AND_NOT_GLOBAL	SOME_LORENTZIAN_PAIRS_HAVE_NO_REAL_RELATIVE_LOG
QUOTIENT_FRECHET_OR_KARCHER_BARYCENTER	physical configuration quotient	minimize weighted squared distance	native distance/connection; measure; existence and uniqueness branch	OPEN_EXTRA_STRUCTURE	NOT_CURRENTLY_SUPPLIED
COCYCLE_OR_SEAM_GLUE	overlapping charts on one supplied bundle	identify representatives by transition functions	cover; incidence; complete lift	DERIVED_PARTIAL_GLUE_NOT_COMPOSITION	CATEGORY_ERROR_AS_BARYCENTER
ACTION_OR_BOOTSTRAP_SELECTED_PATH	off_shell configuration histories	extremize functional or solve operational closure equation	native functional/EOM; variation domain; boundary data	OPEN_NOT_SUPPLIED	CURRENT_BOOTSTRAP_IS_ONLY_ON_SHELL_FILTER
