catch_id	result	caught	scope
M01_NON_LORENTZ_GAUGE	PASS	AssertionError	RECORD_INTEGRITY_MUTATION
M02_NONSINGULAR_MIDPOINT_CLAIM	PASS	AssertionError	RECORD_INTEGRITY_MUTATION
M03_BUBBLE_NOT_EDGE_ZERO	PASS	AssertionError	RECORD_INTEGRITY_MUTATION
M04_J1_PROMOTED	PASS	AssertionError	RECORD_INTEGRITY_MUTATION
M05_J2_PROMOTED	PASS	AssertionError	RECORD_INTEGRITY_MUTATION
M06_MISSING_EXTRA_STRUCTURE	PASS	AssertionError	RECORD_INTEGRITY_MUTATION
M07_SOURCE_HASH_MUTATION	PASS	AssertionError	RECORD_INTEGRITY_MUTATION
M08_MAXIMUM_CONCLUSION_OVERCLAIM	PASS	AssertionError	RECORD_INTEGRITY_MUTATION
M09_MISSING_CANDIDATE	PASS	AssertionError	RECORD_INTEGRITY_MUTATION
M10_BOOTSTRAP_PROMOTED_TO_MAP	PASS	AssertionError	RECORD_INTEGRITY_MUTATION
M11_RECIPROCAL_SCOPE_PROMOTED	PASS	AssertionError	RECORD_INTEGRITY_MUTATION
M12_DUPLICATE_REQUIREMENT	PASS	AssertionError	RECORD_INTEGRITY_MUTATION
M13_FALSE_GLOBAL_REAL_LOG	PASS	AssertionError	RECORD_INTEGRITY_MUTATION
M14_TRIANGULAR_GROUP_PROMOTED_NATIVE	PASS	AssertionError	RECORD_INTEGRITY_MUTATION
M15_TRIANGULAR_GROUP_FALSE_GAUGE_DESCENT	PASS	AssertionError	RECORD_INTEGRITY_MUTATION
M16_BEHAVIORAL_SOURCE_RESULT_MUTATION	PASS	AssertionError	RECORD_INTEGRITY_MUTATION
