premise_id	original_result	fidelity_disposition	category	required_registry_ids	statement_sha256	assessment_path	assessment_sha256	scope_owner	qualification
G383	CP1	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G313	2ecaf2ad273f0975e90347b8f75eabc4cbe7921a7bd5883bb9e5d713fb3bff0b	udt_reviewed_backlog_banking_2026-09-10/review_older_geometry/ADDITIONAL_READINESS.json	de6f77aa3329b9aae0f6e3a2e484087f943371ebce6da82e24252aa00d2b2c90	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G384	HB2	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G315,G330,G331,G332,G337	e8ad8a738788dd1dc800c7fe70b34e42bc4fbea971a22eeb155e5523745ca453	udt_reviewed_backlog_banking_2026-09-10/review_older_geometry/CORE_READINESS.json	254004f3db733f7ebe7ae7709b23c7352003c8b4714fbfd594b551960a142279	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G385	HB3	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G315,G330,G331,G332,G384	a9f218fa8eeb6ea997d361cb606616f16092799712b7405f0e73e43c2dc02f5f	udt_reviewed_backlog_banking_2026-09-10/review_older_geometry/CORE_READINESS.json	254004f3db733f7ebe7ae7709b23c7352003c8b4714fbfd594b551960a142279	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G386	BI2	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G315,G330,G376	8f8ab66a9710e85c39574ae578a56872a75039cc8067b9432165dcc1387b8fd3	udt_reviewed_backlog_banking_2026-09-10/review_older_geometry/CORE_READINESS.json	254004f3db733f7ebe7ae7709b23c7352003c8b4714fbfd594b551960a142279	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G387	BI3	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G315,G330,G337,G376	a229964c66ff08ed05ef93e753db26b9bfddcffc2c3423620843dc7037b966b0	udt_reviewed_backlog_banking_2026-09-10/review_older_geometry/CORE_READINESS.json	254004f3db733f7ebe7ae7709b23c7352003c8b4714fbfd594b551960a142279	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G388	NR1	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G303,G315,G324,G327	f8b5012bf94d65ee7a243e575ce9ecdb805df5d50146b6d95f06aa211d2ad98b	udt_reviewed_backlog_banking_2026-09-10/review_older_geometry/CORE_READINESS.json	254004f3db733f7ebe7ae7709b23c7352003c8b4714fbfd594b551960a142279	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G389	NR2	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G303,G315,G324,G327,G388	67c7016ff88635478be0fa7cc8b006ebc5ff2b1eb24ddbb7a3ee90cc3a3d21cb	udt_reviewed_backlog_banking_2026-09-10/review_older_geometry/CORE_READINESS.json	254004f3db733f7ebe7ae7709b23c7352003c8b4714fbfd594b551960a142279	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G390	LG1	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G303,G315,G324	08200c407dd01ff08260a5702d7832c6957565255f5038f1d2732077acd9b59d	udt_reviewed_backlog_banking_2026-09-10/review_older_geometry/CORE_READINESS.json	254004f3db733f7ebe7ae7709b23c7352003c8b4714fbfd594b551960a142279	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G391	LG2	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G303,G315,G324,G390	9ff04e6f1e6d9e6ae3f5f0ddbd41c1581cf346aa5cdd51875f6ec35c9f644db7	udt_reviewed_backlog_banking_2026-09-10/review_older_geometry/CORE_READINESS.json	254004f3db733f7ebe7ae7709b23c7352003c8b4714fbfd594b551960a142279	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G392	LE1	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G303,G315,G324,G391	54799c182937650f5f7e1ecbff98751ef069f51bbed8f48b7f461f1142c7eee3	udt_reviewed_backlog_banking_2026-09-10/review_older_geometry/CORE_READINESS.json	254004f3db733f7ebe7ae7709b23c7352003c8b4714fbfd594b551960a142279	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G393	SE1	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G303,G315,G392	4041e065e7e97dedd31c6eadb8b4683a8da5d1217f4bc7a015bb4ea631be4f71	udt_reviewed_backlog_banking_2026-09-10/review_older_geometry/CORE_READINESS.json	254004f3db733f7ebe7ae7709b23c7352003c8b4714fbfd594b551960a142279	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G394	NE1	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G303,G315,G327	b13964dfe2d24c07c080a09044f835b7f6ff0b9bab2195cee3b9b7a91c68f28d	udt_reviewed_backlog_banking_2026-09-10/review_older_geometry/CORE_READINESS.json	254004f3db733f7ebe7ae7709b23c7352003c8b4714fbfd594b551960a142279	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G395	ND1	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G260,G311,G312	c413efd570107103bf35edb0eda9e11ac854b0f4936f7457b015e06f364414d0	udt_reviewed_backlog_banking_2026-09-10/review_response/RESPONSE_CANDIDATES.json	88fa7d1fef5871d30a7b14d9484bff70ae95208d059d007518038962233de4a7	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G396	ND2	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G260,G311,G312,G395	cb6b30b6ecca7305f3d0284e45741c4de5e64e07cdfe5ccb7cf161450a41f5da	udt_reviewed_backlog_banking_2026-09-10/review_response/RESPONSE_CANDIDATES.json	88fa7d1fef5871d30a7b14d9484bff70ae95208d059d007518038962233de4a7	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G397	QC1	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G260,G312	0db249a243271a8b710aa482324c0bebb53a889fcd4f88892b1eae836376352f	udt_reviewed_backlog_banking_2026-09-10/review_response/RESPONSE_CANDIDATES.json	88fa7d1fef5871d30a7b14d9484bff70ae95208d059d007518038962233de4a7	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G398	QC2	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G260,G312,G397	27c0fc4703bc68a4324720987ef3e4bfb5b27eddbee345aedc12f3d622963ab1	udt_reviewed_backlog_banking_2026-09-10/review_response/RESPONSE_CANDIDATES.json	88fa7d1fef5871d30a7b14d9484bff70ae95208d059d007518038962233de4a7	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G399	GL1	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G301,G311,G312	a4abc01f5b8be5d64d497972ad73e077287136496b5ed57b0ee1629820567d3f	udt_reviewed_backlog_banking_2026-09-10/review_response/RESPONSE_CANDIDATES.json	88fa7d1fef5871d30a7b14d9484bff70ae95208d059d007518038962233de4a7	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G400	GL2	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G301,G311,G312,G399,G395	a85a0f608523c4250f1db4023580dc9117c4e82fa8461f65aba6ebbadccc8407	udt_reviewed_backlog_banking_2026-09-10/review_response/RESPONSE_CANDIDATES.json	88fa7d1fef5871d30a7b14d9484bff70ae95208d059d007518038962233de4a7	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
G401	RF1	VERIFIED_WITH_CAVEATS_EXACT_INTEGRATION_FIDELITY	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	G301,G311,G312	23b698f2673c729552007aa1820774d428487f6e255e44e096c0a5593e1da941	udt_reviewed_backlog_banking_2026-09-10/review_response/RESPONSE_CANDIDATES.json	88fa7d1fef5871d30a7b14d9484bff70ae95208d059d007518038962233de4a7	ENTIRE original pinned candidate/review/repair and BANKED_CLAIMS scope	Parent final full395/status/preservation/publication gates pending; not new scientific proof/adoption/canon
