id	object_or_choice	owner_or_status	use_and_scope	omission_or_limit
P1	smooth time-oriented 4D Lorentzian metric; signature -+++	G348 supplied geometric domain	metric contractions; Levi-Civita; quotient screen	no metric development or field equation selected
P2	smooth nonzero future null congruence on open neighborhood	supplied query data; free-and-explored across compatible and twisting controls	test dTheta=alpha ell_flat with alpha>0	whole congruence not supplied by one ray; no population
P3	source-vertex finite null map	G349 accepted bounded source scope	contrast scope; spherical control only	arbitrary twisting congruence not a G349 wavefront
P4	conserved finite nonnegative countably additive label measure	G351 OWNER_ADOPTED_PROVISIONAL_PREMISE	conditional same measure on source-free cuts	does not fix support magnitude shape or inter-phase constancy
P5	clock-rate per proper time per metric sheet area	G352 OWNER_ADOPTED_PROVISIONAL_PREMISE	conditional Gamma=(omega/DeltaTheta)s/J	no detector energy or physical content selected
P6	continuous phase intensity; common spacing; product measure	G352 CHOSE_BOUNDED_MATHEMATICAL_REALIZATION	local existence of implementation tested	not owner adoption of product or atomic-count averaging
P7	phase future sign; positive spacing; ac positive density ratio domain	pinned-by-THEORY only in premise-relative sense: G352 EXACT_DERIVATION sections 1-2	reproduce accepted mathematical query convention	citation does not make provisional premise or chosen realization native canon
P8	local slice labels cross-phase identification cuts observers	free-and-explored supplied query data	flow construction with compact regular subpatch	no uniqueness or preferred observer; passive relabeling distinguished
P9	phase scaling and nonlinear f	free-and-explored; G352 affine gauge retained	check residual normalization and profile freedom	fully fixed normalized k requires stronger closure; nonlinear f not fixed-spacing gauge
P10	zero singular and phase-dependent measures	free-and-explored controls	zero retained; singular density excluded; phase-family contrast	outside-product control not adopted law; no cross-label physics
P11	positive screen rank; bounded phase; compact label patch	explicit mathematical domain restrictions	finite measures and local regular density	no caustic global gluing completeness or infinite-volume result
P12	Frobenius flow theorem Poincare lemma Hessian identity	standard mathematical methods with local smooth hypotheses	candidate analytic local criterion and construction	methods not physical premises; general argument not certified by finite examples
P13	Minkowski plane scaled plane twisting field and spherical cones	exact witness choices; not theory pins	compatible and obstructed cases kept; direct metric tests	no typicality selection or all-metrics census
P14	unit-square patch radii 2 and 3 rational boost	exact mathematical test controls; no physical BC or scale	nontrivial area frequency and same-total measure examples	arbitrary test values never interpreted as observed or UDT-selected
P15	r as affine flow parameter	mathematical coordinate not physical evolution solve	local ray labels constant along flow	no matter time development or relaxation
P16	review and promotion	candidate only; same-context review	preserve argument checks and omissions	separate substantive review outstanding; no accepted dependency
