variation_id	variation	role	local_formula_or_condition	status	gauge_or_physical_note	dropped_or_open	controlling_source
V01	coordinate infinitesimal generated by xi	PRESENTATION_GAUGE	delta_g=Lie_xi_g and induced changes of all tensor slots	DERIVED_GAUGE_TYPE	not a physical mode count	boundary action and gauge fixing open	udt_global_functional_dof_constraint_rank_audit_2026-07-26/LOCAL_PRESENTATION_RANK.tsv
V02	local Lorentz coframe infinitesimal lambda	PRESENTATION_GAUGE	delta_theta=lambda theta with lambda eta-skew and delta_g=0	DERIVED_GAUGE_TYPE	changes coframe representative only	global frame transitions retained	udt_complete_coframe_native_selector_audit_2026-07-26/AUDIT_REPORT.md
V03	local screen O2 rotation	PRESENTATION_GAUGE	delta_D=r D with r skew while delta(DT_D)=0	DERIVED_GAUGE_TYPE	fourth screen-coframe response is not a metric direction	nontrivial screen bundle retained	udt_general_screen_complete_cell_atlas_2026-07-28/EXACT_DERIVATION.md
V04	angular-screen metric variation	LOCAL_CONFIGURATION_TANGENT	delta_D D_inverse in upper-triangular chart spans three local metric directions	DERIVED_CHART_TANGENT	not three propagating modes	physical response and constraints open	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv
V05	base-angular mixing variation	LOCAL_CONFIGURATION_TANGENT	lower block of delta(E)E_inverse equals D delta(S) A_inverse and spans four directions	DERIVED_CHART_TANGENT	not four propagating modes	physical response and constraints open	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv
V06	local founded-depth potential variation	RECIPROCAL_ASSIGNMENT_TANGENT_OPEN	delta_A A_inverse=H delta_phi only after a fixed local realization is supplied	OPEN_PHYSICAL_ASSIGNMENT	phi is not an independent eleventh field	observer path assignment overlap and chain rule open	CURRENT_SCIENTIFIC_PREMISES.tsv
V07	vertical observer-ruler pair-frame change	OBSERVER_QUERY_NOT_FIELD_VARIATION	(u,n) changes inside regular ordered pair-frame fiber	DERIVED_QUERY_TYPE	query architecture does not add a field variation	realized-field architecture is separate	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/EXACT_DERIVATION.md
V08	global reciprocal section variation	RECIPROCAL_ASSIGNMENT_TANGENT_OPEN	delta_s is a section of the pulled-back vertical tangent bundle when a global section exists	CONDITIONAL_UNTYPED_PHYSICAL	would be physical only in A02 or derived in A03	native ownership and section existence open	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/STATUS_LEDGER.tsv
V09	fixed-transition extension variation	LOCAL_CONFIGURATION_TANGENT	e_j=Ad(L_ij)e_i when delta_L=delta_R=0	DERIVED_COMPATIBILITY	local chart tangents glue tensorially	physical response open	udt_extension_bundle_globalization_variation_audit_2026-08-04/EXACT_DERIVATION.md
V10	transition gauge coboundary	PRESENTATION_GAUGE	ell_ij and r_ij induced by local frame changes satisfy linearized cocycle	DERIVED_GAUGE_TYPE	changes trivialization not bundle isomorphism class	boundary restrictions open	udt_extension_bundle_globalization_variation_audit_2026-08-04/EXACT_DERIVATION.md
V11	continuous transition or monodromy modulus	TRANSITION_OR_GLOBAL_MODULUS_TANGENT	linearized cocycle ell_ik=ell_jk+Ad(L_jk)ell_ij and analog for R	AVAILABLE_CONDITIONAL	may be physical global modulus after quotient by coboundaries	actual cover and completion family open	udt_extension_bundle_globalization_variation_audit_2026-08-04/EXACT_DERIVATION.md
V12	discrete topology orientation or Z2 class change	DISCRETE_SECTOR_CHANGE_NOT_TANGENT	no infinitesimal within a fixed bundle isomorphism class	DERIVED_TYPE_DISTINCTION	must be enumerated as another sector not varied continuously	sector selection open	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv
V13	boundary seal corner and polarization variation	BOUNDARY_CONFIGURATION_TANGENT	must preserve declared join while allowing all differentiable boundary data	OPEN_MULTIPLE_CLASSES	static delta_phi_zero is not a complete tangent rule	boundary functional and native polarization open	udt_global_coframe_cocycle_audit_2026-07-20/TANGENT_CLASSIFICATION.tsv
V14	observer path or endpoint query variation	OBSERVER_QUERY_NOT_FIELD_VARIATION	change gamma p or q in typed comparison category	DERIVED_QUERY_TYPE	does not modify either observer local physics	physical path ontology open	udt_complete_physical_comparison_map_audit_2026-07-27/AXIOM_LEDGER.tsv
V15	EH or Bach metric variation	CONDITIONAL_ACTION_VARIATION_ONLY	variation domain supplied by the respective conditional action lane	CONDITIONAL_NOT_NATIVE	cannot define parent UDT variation domain	physical applicability open	CURRENT_SCIENTIFIC_PREMISES.tsv
V16	S2_L2plusL4 carrier variation	CONDITIONAL_ACTION_VARIATION_ONLY	map variation in posited carrier with finite-box boundary	CONDITIONAL_CARRIER_BRANCH	not a complete metric variation or native carrier	carrier emergence and parent source open	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md
V17	crossing s_phi_zero or projector-rank stratum	LOCAL_CONFIGURATION_TANGENT	an ambient configuration path may cross while the normalized projector chart degenerates; it is not a tangent within the fixed-rank bundle tile	AMBIENT_TANGENT__NOT_FIXED_RANK_TILE_TANGENT	the physical configuration is not filtered out but requires a stratified atlas	stratified transition law and native equation open	udt_extension_bundle_globalization_variation_audit_2026-08-04/EXACT_DERIVATION.md
V18	time-live perturbation	BLOCKED_UNTYPED	no native evolved variables constraints or boundary flux supplied	OPEN_NOT_ACTIVATED	not rejected physics; merely undefined domain	native law and initial-value structure required	udt_time_live_characteristic_flux_audit_2026-07-21/AUDIT_REPORT.md
