obstruction_id	object_or_join	result	status	exact_reason	what_is_not_required	remaining_open	controlling_source
B01	regular ordered pair-frame query bundle	associated bundle exists on every supplied regular Lorentzian metric	DERIVED_BUNDLE_CONTAINER_NO_SECTION_IMPLIED	local frames glue by Lorentz conjugation and paths plus vertical resets compose	a global observer or ruler field	physical query semantics and signed depth	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/AUDIT_REPORT.md
B02	realized reciprocal pair field over M	global section of ordered pair-frame or equivalent reduction may not exist and is not selected	OPEN_TOPOLOGICAL_AND_PHYSICAL_REDUCTION	bundle existence does not imply a section	parallelism or a global coframe	topological obstruction class and physical ownership	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/EXACT_DERIVATION.md
B03	complete seven-direction extension fiber over a supplied pair	fiber is screen positive-metric data times a four-dimensional mixing vector space	DERIVED_CONTRACTIBLE_LOCAL_FIBER	SPD2 is convex and Hom2x2 is a vector space	zero mixing isotropy or spectator selection	global transition action and physical ownership	udt_extension_bundle_globalization_variation_audit_2026-08-04/EXACT_DERIVATION.md
B04	positive screen metric on a rank-two screen bundle	global sections exist by convex partition-of-unity gluing	DERIVED_NO_ADDITIONAL_EXISTENCE_OBSTRUCTION	positive-definite forms are convex and local forms glue with nonnegative weights	a global screen frame	which screen metric solves a native law	udt_extension_bundle_globalization_variation_audit_2026-08-04/EXACT_DERIVATION.md
B05	mixing bundle Hom(N,Q)	zero section always exists and arbitrary sections are legitimate configuration data	DERIVED_NO_ADDITIONAL_EXISTENCE_OBSTRUCTION	Hom is a vector bundle with a canonical zero section	physical zero mixing or a preferred nonzero section	physical ownership and native equation	udt_extension_bundle_globalization_variation_audit_2026-08-04/EXACT_DERIVATION.md
B06	positive-triangular screen matrix D_i	Cholesky or polar representative is local chart data and may fail to be one global matrix	LOCAL_REPRESENTATIVE_ONLY	nontrivial screen frames change D_i while the screen metric remains global	a global triangular gauge	compensating overlap gauge and transition moduli	udt_extension_bundle_globalization_variation_audit_2026-08-04/EXACT_DERIVATION.md
B07	global complete coframe	global coframe is a stronger parallelizability witness not required for local coframe/metric gluing	CONDITIONAL_STRONG_WITNESS	metrics use local coframes and Lorentz transitions	a global tetrad section	which completion manifolds admit it	udt_general_screen_complete_cell_atlas_2026-07-28/AUDIT_REPORT.md
B08	global reciprocal depth scalar	founded algebra does not supply a physical global scalar assignment	OPEN_ASSIGNMENT	abstract additive depth and local potential do not create event/path mapping or overlap law	an independent scalar field	stationary or other metric-native depth realization	udt_founding_reciprocity_object_audit_2026-07-27/AUDIT_REPORT.md
B09	unoriented dphi projector under constant channel reversal	projector and causal scalar survive dphi_to_minus_dphi on nonnull fixed-rank strata	DERIVED_CONDITIONAL_TRANSITION_INVARIANT	sign cancels in dphi tensor dphi and in g_inverse(dphi,dphi)	an oriented depth line or global time function	physical reversal lift and null/zero strata	udt_temporal_soldering_atlas_2026-07-22/STATUS_LEDGER.tsv
B10	physical reciprocal reversal seam	abstract F_b normalizer exists but is not ordinary Lorentz transport or a selected metric isometry	CONDITIONAL_PHYSICAL_LIFT	current diagonal readout does not admit the constant swap as a positive-CSN isometry	mirror closure or quotient selection	full readout angular lift cover and boundary law	udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md
B11	parallel reciprocal or pair-screen splitting	parallelism is not a founding requirement and can fail on valid configurations	NOT_REQUIRED__BRANCH_CONDITIONAL	covariance only requires equivariance; S3 contact term obstructs parallel pair-screen split	zero holonomy or endpoint-only semantics	whether a native law selects a reduced-holonomy branch	udt_complete_coframe_native_selector_audit_2026-07-26/AUDIT_REPORT.md
B12	completion topology and boundary glue	transition algebra constrains a supplied cover but does not create the cover incidence or boundary law	OPEN_GLOBAL_COMPLETION	multiple cap lens torus mirror nonorientable and stratified families survive	a preferred S3 or external edge	actual joined metrics transition moduli and boundary conditions	udt_global_coframe_cocycle_audit_2026-07-20/STATUS_LEDGER.tsv
B13	physical variation domain	configuration containers and tangent formulas exist but ontology does not say what is varied	OPEN_ONTOLOGY_FORK	observer query variables metric coordinates realized pair fields and boundaries have different roles	a selected action before the domain is typed	query-bundle versus realized-field architecture	udt_native_stability_configuration_space_audit_2026-08-01/AUDIT_REPORT.md
B14	native law	globalization imposes identities and compatibility only	OPEN_UNCHANGED	bundle naturality places no equation on g	EH Bach carrier action or nablaX_zero	covariant equation or response on selected domain	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/AUDIT_REPORT.md
