identity_id	identity	status	scope	what_it_does_not_supply	controlling_source
I01	E_j=L_ij E_i R_ij_inverse	DERIVED_ALGEBRAIC	physical and reference coframe overlap maps	actual cover or physical transitions	udt_extension_bundle_globalization_variation_audit_2026-08-04/EXACT_DERIVATION.md
I02	L_ik=L_jk L_ij_and_R_ik=R_jk R_ij_imply_two_sided_triple_overlap_consistency	DERIVED_ALGEBRAIC	composable i_to_j_to_k overlaps	selected bundle topology	udt_extension_bundle_globalization_variation_audit_2026-08-04/EXACT_DERIVATION.md
I03	delta(E)E_inverse=[[delta(A)A_inverse,0],[D_delta(S)A_inverse,delta(D)D_inverse]]	DERIVED_EXACT	registered block extension chart	physical variation ownership	udt_extension_bundle_globalization_variation_audit_2026-08-04/EXACT_DERIVATION.md
I04	e_j=ell_ij+Ad(L_ij)e_i-Ad(E_j)r_ij	DERIVED_EXACT	varying two-sided overlap with e=delta(E)E_inverse ell=delta(L)L_inverse r=delta(R)R_inverse	field equation or boundary condition	udt_extension_bundle_globalization_variation_audit_2026-08-04/EXACT_DERIVATION.md
I05	ell_ik=ell_jk+Ad(L_jk)ell_ij	DERIVED_EXACT	linearized left transition cocycle	physical transition modulus	udt_extension_bundle_globalization_variation_audit_2026-08-04/EXACT_DERIVATION.md
I06	r_ik=r_jk+Ad(R_jk)r_ij	DERIVED_EXACT	linearized reference transition cocycle	physical transition modulus	udt_extension_bundle_globalization_variation_audit_2026-08-04/EXACT_DERIVATION.md
I07	G_a_G_d=G_ad_and_F_b_F_c=G_b_over_c	DERIVED_EXACT	constant real reciprocal transition algebra	physical metric reversal lift	udt_global_coframe_cocycle_audit_2026-07-20/COCYCLE_CLASSIFICATION.tsv
I08	F_b_D(phi)_F_b_inverse=D(-phi)	DERIVED_EXACT	abstract reciprocal pair algebra	ordinary Lorentz transport or physical seam	udt_global_coframe_cocycle_audit_2026-07-20/COCYCLE_CLASSIFICATION.tsv
I09	reciprocal_transition_product_required_to_equal_identity_has_even_F_parity_while_noncontractible_loop_monodromy_may_be_odd	DERIVED_EXACT	Z2-graded reciprocal cocycle and identity-required triple-overlap closure	cover incidence or global Z2 class	udt_extension_bundle_globalization_variation_audit_2026-08-04/EXACT_DERIVATION.md
I10	h_screen=D_transpose_D_is_invariant_under_left_O2_screen_frame_rotation	DERIVED_EXACT	local screen coframe	global screen frame	udt_general_screen_complete_cell_atlas_2026-07-28/EXACT_DERIVATION.md
I11	SPD_screen_forms_are_convex_under_positive_partition_weights	DERIVED_STANDARD_BUNDLE_FACT	smooth rank-two real screen bundle over paracompact base	selected screen metric or field equation	udt_extension_bundle_globalization_variation_audit_2026-08-04/EXACT_DERIVATION.md
I12	zero_is_a_global_section_of_Hom_N_Q	DERIVED_STANDARD_BUNDLE_FACT	any supplied smooth reciprocal and screen vector bundles	physical zero mixing	udt_extension_bundle_globalization_variation_audit_2026-08-04/EXACT_DERIVATION.md
I13	dphi_to_minus_dphi_leaves_s_phi_and_P_phi_invariant	DERIVED_EXACT	nonnull fixed-rank local phi realization	oriented depth or physical reversal seam	udt_temporal_soldering_atlas_2026-07-22/STATUS_LEDGER.tsv
I14	global_pair_frame_query_bundle_does_not_require_global_pair_section	DERIVED_TYPE_DISTINCTION	regular supplied Lorentzian metric	physical observer-ruler field	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/STATUS_LEDGER.tsv
I15	bundle_naturality_imposes_no_field_equation_on_g	DERIVED_NEGATIVE_SCOPE	all above algebraic and geometric compatibility identities	native action response or dynamics	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/AUDIT_REPORT.md
