source_id	path	role	source_ref	git_blob	sha256	size
S01	CURRENT_SCIENTIFIC_PREMISES.tsv	G52 precedence and calibration guards	3330601b9fd04adc9a9f78e13e5756bd868ba146:CURRENT_SCIENTIFIC_PREMISES.tsv	22c787f5b05a692c005d1f0a6d95bf7b56ee1316	678b2730fa1db139b1076462e898b0ab5365ec754f73aef5471f69dcfaa47475	40555
S02	udt_r17_stationary_local_one_form_selection_audit_2026-08-10/AUDIT_REPORT.md	current local one-form ruling	3330601b9fd04adc9a9f78e13e5756bd868ba146:udt_r17_stationary_local_one_form_selection_audit_2026-08-10/AUDIT_REPORT.md	664c93bc230f066d8e77b1f3711b5a5a19d6f44f	b0d2d14c6353f88da85663d2d41b4dfb1ac0e9bb9a6c014c2adae7a315f40271	3315
S03	udt_r17_stationary_local_one_form_selection_audit_2026-08-10/EXACT_DERIVATION.md	one-form algebra and constructive families	3330601b9fd04adc9a9f78e13e5756bd868ba146:udt_r17_stationary_local_one_form_selection_audit_2026-08-10/EXACT_DERIVATION.md	d134e6f8b1783a0800387c5cfa356c4e569744f3	7311c57cdabf6fd3f77b1e522684a6fd32c9e180bbd6d583a3bc8b0c9d4f574b	11992
S04	udt_r17_stationary_local_one_form_selection_audit_2026-08-10/ONE_FORM_CLASSIFICATION.tsv	candidate one-form census	3330601b9fd04adc9a9f78e13e5756bd868ba146:udt_r17_stationary_local_one_form_selection_audit_2026-08-10/ONE_FORM_CLASSIFICATION.tsv	0ee2b6e620f5246ec8e10ad6fda7460327392b50	b50e9588f77865e2f79203e9df25ecf98ff3f051a13d1ba6aeb4bfbb755a812e	2034
S05	udt_r17_depth_holonomy_joint_invariant_audit_2026-08-10/AUDIT_REPORT.md	depth-holonomy joint ruling	3330601b9fd04adc9a9f78e13e5756bd868ba146:udt_r17_depth_holonomy_joint_invariant_audit_2026-08-10/AUDIT_REPORT.md	7edc7decac98608160b264822dd46edb3e5de5ab	8226eb912a0cc2cfa48ab0bdabecb3dce1842e077223087a1da99ad24986db38	3447
S06	udt_r17_depth_holonomy_joint_invariant_audit_2026-08-10/EXACT_DERIVATION.md	typed product groupoid and scalar shadow	3330601b9fd04adc9a9f78e13e5756bd868ba146:udt_r17_depth_holonomy_joint_invariant_audit_2026-08-10/EXACT_DERIVATION.md	98e04830bddd70eb59c1d3536d0b71c0f4dfa42f	78a044ee9e1f0df4f5e0673c3b8867984cd8f11070780f728f1056d204311ec6	11963
S07	udt_r17_path_labelled_connection_decomposition_audit_2026-08-10/EXACT_DERIVATION.md	complete projected connection and path functor	3330601b9fd04adc9a9f78e13e5756bd868ba146:udt_r17_path_labelled_connection_decomposition_audit_2026-08-10/EXACT_DERIVATION.md	bacc1cdfdf8d39a74b89cf61a17f34208dbf06c4	f789f2196b451a0e9d9d530d7b436800ec3ea17c273a410ffc56c1e03a12aa50	7502
S08	udt_r17_pair_leaf_normal_holonomy_audit_2026-08-10/EXACT_DERIVATION.md	leafwise connection and holonomy	3330601b9fd04adc9a9f78e13e5756bd868ba146:udt_r17_pair_leaf_normal_holonomy_audit_2026-08-10/EXACT_DERIVATION.md	e29c93192c53f770644b9ad412551f2f1230d6cf	bc12d74d4f28bacb9764f26604bb667085dd2d359f6fdb19059bf715d09e07f6	5976
S09	udt_r17_intrinsic_pair_foliation_integrability_audit_2026-08-10/EXACT_DERIVATION.md	intrinsic pair leaves and delta_K	3330601b9fd04adc9a9f78e13e5756bd868ba146:udt_r17_intrinsic_pair_foliation_integrability_audit_2026-08-10/EXACT_DERIVATION.md	a83304a2e34f1b11603677ad78163f0b10932b77	c041ccf8a718d44728abe2f617767b8553e3d2795aa9988945d93035ff0b7ec2	7677
S10	udt_r17_magnitude_to_grading_selection_audit_2026-08-10/EXACT_DERIVATION.md	complete coframe grading and screen isotropy	3330601b9fd04adc9a9f78e13e5756bd868ba146:udt_r17_magnitude_to_grading_selection_audit_2026-08-10/EXACT_DERIVATION.md	ff51b1a7e8b91fa6a87c0c67f7751cb977b95f12	fd140c5452faa49021f748e8a27384ba07dabb83dda0c4166ffb3f931cbf9d80	7900
S11	udt_reciprocal_scalar_calibration_bitorsor_descent_audit_2026-08-10/EXACT_DERIVATION.md	scalar gauge descent and zero isometric calibration	3330601b9fd04adc9a9f78e13e5756bd868ba146:udt_reciprocal_scalar_calibration_bitorsor_descent_audit_2026-08-10/EXACT_DERIVATION.md	fed12c71b30a3a1a1bb412e882643ef3135eca9d	6fd2a2d4167b92ac62b060479fa8d6e5faf0f080a1f6a63b861cfff8f095b412	7055
S12	udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/EXACT_DERIVATION.md	alignment bitorsor and balanced composition	3330601b9fd04adc9a9f78e13e5756bd868ba146:udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/EXACT_DERIVATION.md	688656b59fd2d2883a8c5edd30ef4f2c9d895259	925ca9fce8872392240fe390f2c10ec81685fea7e289d2286b1b8d3fa49dba87	11131
