test_id	claim_under_test	fail_condition	maximum_surviving_conclusion
F01	minimal_channel_inventory	missing_or_duplicate_candidate_or_hidden_source	INCOMPLETE_MAP
F02	irreducible_channel_quotient	retained_entry_is_gauge_or_reconstructible	WITHDRAW_ENTRY
F03	typed_composition	any_retained_channel_lacks_identity_inverse_or_composition	NO_COMPLETE_ASSEMBLY
F04	three_observer_closure	direct_and_composite_typing_do_not_match	PATH_LABELLED_OR_PARTIAL_ONLY
F05	scalar_compression	inequivalent_typed_states_share_all_proposed_scalar_outputs	SCALAR_INCOMPLETE
F06	alpha_beta_as_channels	arbitrary_c_survives_without_owner	CANDIDATE_READOUT_FAMILY_ONLY
F07	regime_atlas	physical_labels_require_hand_threshold_or_switch	ALGEBRAIC_STRATA_ONLY
F08	c_E_role	calibration_used_to_select_angular_or_mixing_structure	CALIBRATION_MISUSED
F09	G_or_m_e_role	anchor_used_before_native_mass_readout_exists	ANCHOR_INACTIVE
F10	conductor_ownership	bootstrap_action_or_global_rule_is_assumed	OWNER_OPEN
F11	metric_purity	GR_QM_SM_or_external_dynamics_enter_derivation	INVALID_IMPORT
F12	scope	result_promotes_action_source_matter_c_eff_Xmax_CMB_or_signalling	DOWNSTREAM_OVERCLAIM
F13	independence	verification_reuses_controller_logic_or_outputs	VERIFIED_WITH_CAVEATS_ONLY
F14	external_review	load_bearing_result_lacks_fresh_manifest_confined_review	LEAD_ONLY
