claim_id	claim	status	exact_scope	open_scope
S01	regular_pair_metric_three_channel_decomposition	DERIVED	unique_kappa_phi_beta_on_h00_negative_det_negative	degenerate_null_pair_cells
S02	common_scale_channel	DERIVED_CONDITIONAL	kappa_equals_log_sigma_on_supplied_calibrated_pair_metric	physical_observability_and_dynamics
S03	reciprocal_depth_channel	DERIVED_CONDITIONAL	phi_unique_reciprocal_coordinate_on_supplied_calibrated_pair_metric	physical_pair_map_and_universal_c_eff
S04	shift_channel_independence	DERIVED_CONSTRUCTIVE	flat_event_pairing_family_same_kappa_phi_different_beta	physical_query_selection
S05	angular_transport_independence	DERIVED_CONSTRUCTIVE	zero_depth_nontrivial_normal_curvature_or_holonomy	physical_path_and_observer_arrow
S06	matched_density_composition	DERIVED	Delta_kappa_and_Delta_phi_add_on_matched_pair_states	independently_rebuilt_unmatched_tapes
S07	minimal_state_decorated_assembly	DERIVED_CONDITIONAL	banked_pair_metric_plus_normal_transport_layers_on_regular_stationary_R17	full_pair_embedding_extrinsic_data_and_complete_physical_arrow
S08	complete_screen_weight_as_independent_channel	REFUTED_IN_BOUNDED_ARENA	reconstructed_from_Delta_phi_U_lambda_and_variance	other_complete_branches
S09	G52_alpha_beta_families_as_core_channels	NOT_SELECTED	unselected_scalarizations_with_free_c	explicit_query_or_on_shell_global_owner
S10	strain_spectral_scalar_as_compositional_channel	REFUTED	general_noncomposition_from_prior_audits	diagnostic_use_on_regular_strata
S11	geometric_channel_activity_strata	DERIVED	10_regular_and_degenerate_activity_classes	physical_scale_regime_identification
S12	micro_ordinary_cosmological_regime_map	OPEN	no_hand_threshold_allowed	on_shell_profile_pair_map_and_scale_relation
S13	c_E	OBSERVED_CALIBRATION	pair_tape_clock_length_and_terminal_reciprocal_reference	complete_physical_placement
S14	G_obs_and_m_e	INACTIVE_CALIBRATION_CANDIDATES	no_native_mass_readout_used	future_mass_normalization_after_native_branch
S15	conductor_owner	OPEN	query_metric_and_possible_on_shell_global_roles_separated	native_selection_law
S16	downstream_action_source_matter_bootstrap_physics	OPEN_NOT_DERIVED	outside_audit	complete_UDT_closure
