channel_id	candidate	candidate_codomain	composition_question	pre_outcome
C01	endpoint_reciprocal_depth_delta_K	R_additive_or_endpoint_coboundary	exact_addition_and_reversal	UNSEEN
C02	projected_normal_holonomy	SO2_path_groupoid	path_concatenation_loop_and_open_path_typing	UNSEEN
C03	screen_alignment_bitorsor	SO2_torsor_or_groupoid_morphism	balanced_three_observer_composition	UNSEEN
C04	vertical_reciprocal_grading	positive_scale_or_GL2_reciprocal_class	whether_it_is_state_metric_or_arrow	UNSEEN
C05	unit_clock_and_twist_ruler_forms	orientation_typed_covectors	whether_geometric_forms_are_readout_channels	UNSEEN
C06	Hstar_dphi_and_JHstar_dphi	screen_covector_pair	gauge_orientation_and_integrability	UNSEEN
C07	alpha_c_nonclosed_family	path_integral_real_readouts	coefficient_and_path_dependence	UNSEEN
C08	beta_c_exact_family	endpoint_real_coboundaries	coefficient_and_calibration_dependence	UNSEEN
C09	complete_strain_and_mixing_invariants	conjugacy_invariant_scalar_or_tensor	failure_or_survival_under_composition	UNSEEN
C10	normal_connection_potential	local_so2_connection_representative	gauge_vs_relative_transgression	UNSEEN
C11	normal_curvature	so2_valued_two_form	channel_state_or_obstruction_data	UNSEEN
C12	branch_lambda_and_rank_strata	discrete_or_stratified_labels	objects_domains_or_observables	UNSEEN
C13	causal_type_and_norm_of_dphi	stratification_data	regime_axis_without_physical_scale_label	UNSEEN
C14	mixing_defect_mu	invariant_scalar_or_tensor	independent_channel_vs_parameter	UNSEEN
C15	complete_relation_family_type	path_endpoint_or_set_valued_groupoid	whether_R17_assembly_is_one_member	UNSEEN
C16	observer_query_projection	map_from_complete_output_to_readout	founded_owned_or_new_measurement_premise	UNSEEN
