stratum_id	geometric_condition	active_channels	physical_regime
S00	coincidence_on_calibrated_pair_map	none__sigma1_phi0_beta0_Uidentity	OPEN
S01	pure_reciprocal_pair_metric	phi	OPEN
S02	common_scale_only_pair_metric	kappa	OPEN
S03	flat_event_pairing_shift_family	beta	OPEN
S04	zero_endpoint_depth_nontrivial_normal_loop	U_holonomy	OPEN
S05	Hstar_dphi_zero_pair_pure	kappa_phi_beta_and_U_possible__G52_screen_gradient_readouts_zero	OPEN
S06	regular_complete_pair_mixing	kappa_phi_beta_and_U_possible	OPEN
S07	flat_normal_connection	kappa_phi_beta__local_U_path_independent__wound_U_may_survive	OPEN
S08	generic_full_SO2_normal_holonomy	kappa_phi_beta_and_path_U	OPEN
S09	h00_zero_or_det_h_zero_or_pair_rank_loss	regular_decomposition_fails_or_diverges	OPEN_DEGENERATE
