equivalence_id	relation	quotient_status	guard
E01	local_screen_SO2_change_of_frame	QUOTIENT_GAUGE	retain_loop_and_relative_path_holonomy
E02	coordinate_or_coframe_presentation_with_same_metric_and_typed_query	QUOTIENT_PRESENTATION	preserve_endpoint_frame_covariance
E03	orientation_reversal	LOCAL_SYSTEM_NOT_QUOTIENT	track_sign_or_conjugation
E04	exact_endpoint_coboundary	NOT_AUTOMATICALLY_EQUIVALENT	may_change_calibrated_endpoint_readout
E05	nonclosed_forms_with_same_pair_leaf_restriction	NOT_EQUIVALENT	retain_path_information
E06	SO2_holonomy_and_real_depth	DISTINCT_TYPES	no_arbitrary_scalar_sum
E07	connection_potential_representatives	QUOTIENT_UP_TO_GAUGE	curvature_and_relative_transport_retained
E08	strain_spectral_readout_and_groupoid_cocycle	DISTINCT_UNLESS_COMPOSITION_PROVED	no_class_function_promotion
E09	branch_or_rank_strata	OBJECT_DOMAIN_DATA	no_observable_promotion
E10	observational_unit_rescaling	CALIBRATION_NOT_CHANNEL_SELECTION	stamp_anchor_and_keep_dimensionless_structure
