premise_id	premise	status	provenance	allowed_use
P01	regular_stationary_R17_C01_C06_coframes	pinned-by-THEORY	SOURCE_MANIFEST_S02_S10	bounded_configuration_arena
P02	endpoint_depth_delta_K_and_dphi	pinned-by-THEORY	SOURCE_MANIFEST_S02_S03_S05_S09	reciprocal_channel_input
P03	path_labelled_normal_SO2_connection_holonomy	pinned-by-THEORY	SOURCE_MANIFEST_S07_S08	angular_channel_input
P04	screen_alignment_bitorsor_and_gauge_descent	pinned-by-THEORY	SOURCE_MANIFEST_S11_S12	presentation_and_composition_input
P05	complete_coframe_vertical_grading	pinned-by-THEORY	SOURCE_MANIFEST_S10	grading_input_not_physical_arrow
P06	G52_local_one_form_families	pinned-by-THEORY	SOURCE_MANIFEST_S02_S03_S04	classification_inputs_not_selected_channels
P07	ordered_observer_query	OPEN	SOURCE_MANIFEST_S18	projection_owner_must_not_be_invented
P08	physical_path_and_nonisometric_arrow	OPEN	CURRENT_SCIENTIFIC_PREMISES_G52	must_not_be_inferred
P09	c_E	pinned-by-OBSERVATION	SOURCE_MANIFEST_S15_S19	reciprocal_calibration_only
P10	G_obs	pinned-by-OBSERVATION	CURRENT_SCIENTIFIC_PREMISES_G06	inactive_without_native_mass_readout
P11	electron_mass_m_e	free-and-unapplied_OBSERVED_CALIBRATION_CANDIDATE	CHARLES_2026_08_10	future_normalization_only
P12	hbar	EXCLUDED	NO_CURRENT_DISPATCH	no_import
P13	micro_ordinary_cosmological_labels	OPEN	NO_DERIVED_SCALE_MAP	must_not_be_assigned_to_algebraic_strata
P14	action_source_bootstrap_conductor	OPEN	CURRENT_SCIENTIFIC_PREMISES_G12_G16_G21_G27	candidate_owner_only_not_input
P15	protected_curvature_atlas	EXCLUDED	AGENTS_AND_LIVE_GUARD	must_not_read_modify_stage_or_cite
