mutation_id	mutation	expected	result	status
M01	drop_pair_metric_parent	REJECT	REJECTED	PASS
M02	drop_common_scale	REJECT	REJECTED	PASS
M03	drop_reciprocal_depth	REJECT	REJECTED	PASS
M04	drop_shift	REJECT	REJECTED	PASS
M05	drop_angular_transport	REJECT	REJECTED	PASS
M06	drop_object_typing	REJECT	REJECTED	PASS
M07	promote_alpha_family	REJECT	REJECTED	PASS
M08	promote_beta_family	REJECT	REJECTED	PASS
M09	promote_strain_character	REJECT	REJECTED	PASS
M10	promote_connection_potential	REJECT	REJECTED	PASS
M11	assign_physical_regimes	REJECT	REJECTED	PASS
M12	use_cE_as_selector	REJECT	REJECTED	PASS
M13	activate_G_without_mass	REJECT	REJECTED	PASS
M14	activate_electron_mass	REJECT	REJECTED	PASS
M15	import_hbar	REJECT	REJECTED	PASS
M16	invent_conductor	REJECT	REJECTED	PASS
M17	promote_physical_arrow	REJECT	REJECTED	PASS
M18	promote_universal_ceff	REJECT	REJECTED	PASS
M19	restore_strong_CSN	REJECT	REJECTED	PASS
M20	infer_downstream_physics	REJECT	REJECTED	PASS
M21	widen_to_all_branches	REJECT	REJECTED	PASS
