id	object	inputs	output	status	physical_owner	open_gate
D01	reciprocal_clock_ruler_conversion	c_E	L=c_E*T;T=L/c_E	FOUNDATIONAL_PROPOSAL_PLUS_OBSERVED_CALIBRATION	FOUNDATION	local_signal_or_dynamics_not_implied
D02	dual_reciprocity	D01;K	P_transpose*K*P=K	POSIT	FOUNDATION	ordinary_covariant_alternative_remains_falsifier
D03	reciprocal_product	D02	u*v=1	DERIVED	FOUNDATION	none_inside_declared_diagonal_pair
D04	additive_character	D03;continuous_composition;reversal;nontriviality;chosen_sign_and_unit	D(delta)=diag(exp(-delta),exp(delta))	DERIVED	FOUNDATION	physical_map_to_delta
D05	founding_metric	D04;supplied_pointwise_phi_presentation;local_Lorentzian_quadratic_readout;spherical_areal_sector	ds2=-exp(-2phi)c_E2dt2+exp(2phi)dr2+r2dOmega2	CONDITIONAL_DERIVED_READOUT	NONE__DECLARED_LOCAL_READOUT_ONLY	realized_profile_and_complete_extension
D06	complete_coframe_extension	D04;SUPPLIED_REGULAR_PAIR_ADAPTED_2PLUS2_SPLIT	all_ten_metric_components	DEFINED_COMPLETE_CONFIGURATION_CHART__FINITE_JET_OPEN_ON_DECLARED_COMPONENT	NO_PHYSICAL_HISTORY_OWNER	complete_extension_and_history_selection
D07	time_live_compatibility	D06	Maurer_Cartan_and_metric_kinematics_on_declared_chart	DERIVED_IDENTITIES	GEOMETRY_ON_DECLARED_CHART	no_nonidentity_history_law
D08	observer_query	observer_germs;event_pairing;calibration;route_policy	pair_immersion_F	CONDITIONAL_SUPPLIED	NO_UNIVERSAL_OWNER	query_semantics_or_global_relation_family
D09	pair_metric	D06;D08	h=F_pullback_g	DERIVED_CONDITIONAL	NONE__CONDITIONAL_ON_SUPPLIED_QUERY	regularity_and_global_branch
D10	terminal_pair_depth	D09	phi_pair=quarter_log_minus_det_h_over_h00_squared	DERIVED_CONDITIONAL	NONE__CONDITIONAL_ON_SUPPLIED_QUERY	physical_query_assignment
D11	terminal_ceff	D10;c_E	c_eff_pair_over_c_E=exp(-2phi_pair)	DERIVED_CONDITIONAL	NONE__CONDITIONAL_ON_SUPPLIED_QUERY	not_local_signal_speed_or_universal_arrow
D12	screen_response	D08;metric;Jacobi_and_screen_transport	M=U_inverse_D	DERIVED_CONDITIONAL	NONE__CONDITIONAL_ON_SUPPLIED_QUERY	physical_observable_and_source_state
D13	Xmax_gate	physical_nonnegative_separation;ordered_depth	s_to_Xmax_implies_abs_delta_to_infinity	WORKING_FOUNDATIONAL_FRAME	OWNER_RATIFIED_SEMANTICS	separation_depth_realization;value;all_frame_theorem
D14	SNe_P1	D10;observed_z;conditional_area_flux_readout	observed_low_z_compatibility	OBSERVED_CONDITIONAL	NONE__OBSERVED_DATA_PLUS_CONDITIONAL_READOUT	complete_SNe_query_and_native_profile
D15	CMB_response	D12;global_sky_relation	conditional_scale_shear_rotation_and_branch_data	DERIVED_CONDITIONAL	NONE__CONDITIONAL_ON_SUPPLIED_QUERY	source_covariance;observable;profile;endpoint;scale
D16	G75_family	chosen_stationary_axial_envelope	591_center_regular_controls	CHOSE_CONTROL	NONE_PHYSICAL	profile_endpoint_scale_source
D17	G83_AM_continuation	D16;positive_lapse_zero_search	stationary_asymptote_candidate	FREE_AND_EXPLORED	NONE_PHYSICAL	physical_relation_and_Xmax_join
D18	G84_completion	D17;minimal_doubled_simply_connected_candidate	round_S3_spatial_candidate_and_zero_mixing_hyperboloid	CONDITIONAL_GEOMETRY	NONE_PHYSICAL	topology;mixing;observer_class;scale
D19	G85_completions	D18;complete_metric_channels	shift_lift_taper_regular_witnesses	DERIVED_KINEMATIC_WITNESSES	NONE_PHYSICAL	native_history_or_global_relation_rule
D20	G86_owner_audit	D13;D19;current_premises	zero_owned_selectors	INTERNALLY_VERIFIED_BOUNDED_LEAD	NONE__BOUNDED_PREMISE_CENSUS	external_semantic_review_and_program_pivot
D21	history_query_relation_total_space	candidate_histories;typed_query_classes;admissible_relation_realizations	C=triples_g_Q_F	PROPOSED_TYPE_REFRAME	NO_CURRENT_OWNER	factorized_vs_joint_selection
