candidate_id	quotient	group_law	first_response	second_jet	finite_metric	flag	global	classified
Q01	PASS	FAIL_CONTROL	NOT_FIXED	NOT_FIXED	SET_VALUED	NOT_NEEDED	OPEN	YES
Q02	PASS	PASS	SET_VALUED	SET_VALUED	SET_VALUED	NOT_NEEDED	OPEN	YES
Q03	PASS	PASS	PASS	SET_VALUED	SET_VALUED	NOT_SELECTED	OPEN	YES
Q04	CONDITIONAL	PASS	PASS	CONDITIONAL	CONDITIONAL	NOT_NEEDED	OPEN	YES
Q05	PASS	PASS	PASS	PASS	PASS	ASSUMED_UPPER	OPEN	YES
Q06	PASS	PASS	PASS	PASS	PASS	ASSUMED_LOWER	OPEN	YES
Q07	PASS	PASS	PASS	PASS	PASS	NOT_NEEDED	OPEN	YES
Q08	PASS	PASS	PASS	DIFFERENT	DIFFERENT	NOT_NEEDED	OPEN	YES
Q09	PASS	PASS	PASS	DIFFERENT	DIFFERENT	NOT_NEEDED	OPEN	YES
Q10	PASS	FAIL	PASS	PASS	PASS	FUNCTIONAL_FRAME	OPEN	YES
Q11	PASS	PASS	SET_VALUED	SET_VALUED	SET_VALUED	NOT_NEEDED	OPEN	YES
Q12	LOCAL_ONLY	CONDITIONAL	SET_VALUED	SET_VALUED	SET_VALUED	OPEN	OPEN	YES
