object	status	scope_or_premise	remaining_open
founded_reciprocal_pair_finite_action	DERIVED	active_two_channel_foundation	none_within_pair
exact_complete_quotient_semantics	OPEN	registered_candidate_only	physical_reason_complete_coframe_is_this_quotient
block_lower_finite_normal_form	DERIVED_IF_EXACT_QUOTIENT	local_regular_split	global_subbundle_and_transitions
constant_complete_generator	DERIVED_IF_COMPLETE_GROUP_LAW	regular_one_parameter_representation	whether_complete_group_law_is_physical
complete_group_generator_class	DERIVED_CLASSIFICATION	8_parameter_C_K_family	member_selection
complete_first_metric_response	DERIVED_QUERY_BUNDLE	7_parameter_affine_response	physical response section
fixed_response_finite_lift	SET_VALUED	1_parameter_w_family	rotation_or_flag law
positive_triangular_seven_parameter_chart	CONDITIONAL	chosen_ordered_screen_flag	metric_does_not_select_flag
screen_rotation_as_metric_gauge	DERIVED_SCOPED	C=0_and_S=lambda_I_only	generic_branch_is_inequivalent
self_adjoint_complete_lift	CONDITIONAL	quotient_member_only_if_C=0	no_mixing_not_derived
global_screen_flag	OPEN	finite_cell_bundle	transition_and_monodromy law
physical_observer_path_section	OPEN	not supplied	UDT_authoritative realization
action_source_boundary_carrier_bootstrap_Xmax_mass_dynamics	OPEN	excluded_downstream_objects	complete_native derivation
