source_id	path	sha256
S01	CURRENT_SCIENTIFIC_PREMISES.tsv	c05647b1498073b79f2cad56608befd43cb8f0052ea286a39cdb30a00c236ddf
S02	udt_native_reciprocal_comparison_bundle_audit_2026-07-27/EXACT_DERIVATION.md	3a81c5c5b6c23218d9bfe26135c6b8225e0e41235aac712dfbdae5b53b4006fe
S03	udt_native_reciprocal_comparison_bundle_audit_2026-07-27/DERIVATION_RESULT.json	c6b20209ea7ef06b9f225f3450f827c14215b527b1d28ec11fc6ef0e38f3a93f
S04	udt_native_reciprocal_comparison_bundle_audit_2026-07-27/NEXT_STEP.md	8a69150143767ba85fbd7a63161fc51a6cf5b118bcc6389a89dc36b7a5a6d25d
S05	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	3c7fed27fae474c8718ffe8f09dad858c12b0aba068494e2a8248fe19f642783
S06	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	7a4fba1c6f9d02eb7ca12ac953d04e1c04e2b7271598dc99e51db5baeddedb08
S07	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/derive_extension_class.py	35860f84a3947f99ea9e44e68e9883738021f2ddccbc360181f8a4c9d72c994a
S08	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/EXACT_DERIVATION.md	d2386f376d1303cef78294ff5a154a8a5cb3b33942e783342b13a237225b4135
S09	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/EXACT_DERIVATION.md	44859e5a05c723071b7e0a5aa5f3074ffe54a1726011cd6ce4e4b7e2fe99aa56
S10	udt_metric_natural_complete_extension_selector_audit_2026-07-27/EXACT_DERIVATION.md	15341969195924fa578a9c3a83f56c8270c093c03622f7ee233de51358b5b2d3
