source_id	path	role	source_ref	git_blob	sha256	size
S01	CURRENT_SCIENTIFIC_PREMISES.tsv	G41-G47 precedence and scope guards	a85f93f4cd648881831ce1ffb4673cbfbe7d22c7:CURRENT_SCIENTIFIC_PREMISES.tsv	84b0522fc2f679c3c7d22674df441a0d0e487236	390febbba81f0a66edc7fcc3ac78b5ea0c0489f98d7d17af01626143f3482a76	33045
S02	udt_r17_intrinsic_pair_foliation_integrability_audit_2026-08-10/AUDIT_REPORT.md	controlling pair-foliation result	a85f93f4cd648881831ce1ffb4673cbfbe7d22c7:udt_r17_intrinsic_pair_foliation_integrability_audit_2026-08-10/AUDIT_REPORT.md	46bc41a58eb48cebb7cb4154b5efbd89bfc2ad2e	7259611af38f9b4f374d22390f1b5580044d211d2b117701fb007affc64f8944	2679
S03	udt_r17_intrinsic_pair_foliation_integrability_audit_2026-08-10/EXACT_DERIVATION.md	dual frame brackets leaves and normal seam	a85f93f4cd648881831ce1ffb4673cbfbe7d22c7:udt_r17_intrinsic_pair_foliation_integrability_audit_2026-08-10/EXACT_DERIVATION.md	a83304a2e34f1b11603677ad78163f0b10932b77	c041ccf8a718d44728abe2f617767b8553e3d2795aa9988945d93035ff0b7ec2	7677
S04	udt_r17_magnitude_to_grading_selection_audit_2026-08-10/EXACT_DERIVATION.md	conditional vertical metric class	a85f93f4cd648881831ce1ffb4673cbfbe7d22c7:udt_r17_magnitude_to_grading_selection_audit_2026-08-10/EXACT_DERIVATION.md	ff51b1a7e8b91fa6a87c0c67f7751cb977b95f12	fd140c5452faa49021f748e8a27384ba07dabb83dda0c4166ffb3f931cbf9d80	7900
S05	udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/PREREGISTRATION.md	frozen global profile and coframe	a85f93f4cd648881831ce1ffb4673cbfbe7d22c7:udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/PREREGISTRATION.md	0c290488e5d4199450efa4c86eeaa103bb6d2524	61e4f4a76ef7f79b44897abf609af185daf31c30c6990d0ec605eac72bc1e14d	5431
S06	udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/CANDIDATE_UNIVERSE.tsv	C01-C06 parameter identities	a85f93f4cd648881831ce1ffb4673cbfbe7d22c7:udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/CANDIDATE_UNIVERSE.tsv	5028e027756c3299db9b7443dac82a4f63e81cf2	284b39437d484df81eb990651d7910eb48f4dda71820683d1a9c3f3da4c46ae3	358
S07	udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27/EXACT_DERIVATION.md	projected screen connection and ambient-holonomy separation	a85f93f4cd648881831ce1ffb4673cbfbe7d22c7:udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27/EXACT_DERIVATION.md	9f6e9b3b1227e71c707d6ff5606aec83efcce943	ee019298dda60e8d98da6a4e439be397c0b77ed796ed5f3070501445956922a4	8535
S08	udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/EXACT_DERIVATION.md	ambient holonomy control	a85f93f4cd648881831ce1ffb4673cbfbe7d22c7:udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/EXACT_DERIVATION.md	87c65b8ae7de2ff8928882970d5662adfc158d57	8e3de52c571b953ca878c6459235ff1487fb4d16029a33e7cb279cead980170b	4912
S09	udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/EXACT_DERIVATION.md	screen alignment bitorsor and path labels	a85f93f4cd648881831ce1ffb4673cbfbe7d22c7:udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/EXACT_DERIVATION.md	688656b59fd2d2883a8c5edd30ef4f2c9d895259	925ca9fce8872392240fe390f2c10ec81685fea7e289d2286b1b8d3fa49dba87	11131
S10	udt_reciprocal_scalar_calibration_bitorsor_descent_audit_2026-08-10/EXACT_DERIVATION.md	representative-free scalar descent	a85f93f4cd648881831ce1ffb4673cbfbe7d22c7:udt_reciprocal_scalar_calibration_bitorsor_descent_audit_2026-08-10/EXACT_DERIVATION.md	fed12c71b30a3a1a1bb412e882643ef3135eca9d	6fd2a2d4167b92ac62b060479fa8d6e5faf0f080a1f6a63b861cfff8f095b412	7055
S11	udt_three_observer_overlap_calibration_carry_audit_2026-08-10/EXACT_DERIVATION.md	composition versus path independence	a85f93f4cd648881831ce1ffb4673cbfbe7d22c7:udt_three_observer_overlap_calibration_carry_audit_2026-08-10/EXACT_DERIVATION.md	3867fe6bbe43bf3df5f1d5887a2719da6af889d1	c691c14076f179c8765f9261521a4f9e2c21ab1e1c3817dfb199085098d13d1c	10789
S12	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md	terminal pair-depth boundary	a85f93f4cd648881831ce1ffb4673cbfbe7d22c7:udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md	aa58f76fa4758e961e133f283894a4d6414b1495	fa0e31b16df98c3af3cf4aec878c4369642945ce35de20ab8e13b91eaf135e7a	15088
