claim_id	claim	status	scope_or_reason
S01	E_equals_span_T_Z_integrates_to_R_x_S1_pair_leaves	DERIVED_CONDITIONAL	supplied regular stationary R17_W01 coframes
S02	H_equals_span_e2_e3_is_metric_normal_bundle	DERIVED_CONDITIONAL	same supplied family
S03	projected_Levi_Civita_normal_connection_coefficients	DERIVED_CONDITIONAL	metric_owned_after_pair_distribution_is_fixed
S04	leaf_normal_curvature_formula	DERIVED_CONDITIONAL	arbitrary_smooth_stationary_phi_and_both_MC_signs
S05	lambda_minus_one_flat_normal_connection_stratum	DERIVED_CONDITIONAL	all_stationary_phi_but_winding_holonomy_may_survive
S06	lambda_zero_Hopf_basic_normal_metric_stratum	DERIVED_CONDITIONAL	all_stationary_phi
S07	O2_representative_free_holonomy_conjugacy_and_curvature_square	DERIVED_CONDITIONAL	closed_leaf_loops
S08	one_lambda_or_branch_selected	OPEN	two_distinct_geometric_roles_do_not_supply_selector
S09	one_leaf_path_or_winding_selected	OPEN	no_query_selector_derived
S10	cross_leaf_horizontal_lift_after_base_path_is_supplied	DERIVED_CONDITIONAL	Ehresmann_H_distribution_on_spatial_Hopf_bundle
S11	unique_cross_leaf_base_path	OPEN	metric_tested_here_does_not_select_it
S12	projected_normal_connection_is_physical_observer_arrow	OPEN	ownership_not_derived
S13	mixed_geometry_c_eff_rule	OPEN	physical_arrow_and_calibration_carry_remain_open
S14	action_source_matter_bootstrap_Xmax_CMB_signalling_dynamics	OPEN_EXCLUDED	not_tested_or_inferred
