catch_id	mutation	result	reason
M01	missing_center	CAUGHT	center identity/order
M02	duplicate_center	CAUGHT	center identity/order
M03	zero_clock_determinant	CAUGHT	zero clock certificate
M04	zero_center_response	CAUGHT	zero center response
M05	functional_neighborhood_removed	CAUGHT	not functional-open
M06	full_screen_candidate_removed	CAUGHT	full screen omitted
M07	two_shear_omitted	CAUGHT	two shear omitted
M08	gauge_called_metric_mode	CAUGHT	gauge typing
M09	wall_removed	CAUGHT	wall census
M10	certificate_wall_called_no_clock	CAUGHT	certificate conflation
M11	local_wall_called_global	CAUGHT	local/global conflation
M12	action_injected	CAUGHT	forbidden promotion action_used
M13	carrier_injected	CAUGHT	forbidden promotion carrier_used
M14	bootstrap_injected	CAUGHT	forbidden promotion bootstrap_used
M15	on_shell_promoted	CAUGHT	forbidden promotion on_shell_claimed
M16	universal_wording	CAUGHT	scope wording
M17	equal_screen_formula_changed	CAUGHT	equal formula
M18	S1_zero_erased	CAUGHT	S1 zero erased
M19	S2_zero_erased	CAUGHT	S2 wall
M20	two_shear_line_changed	CAUGHT	two shear wall
M21	W23_formula_removed	CAUGHT	local formula set
M22	component_used_as_complete_gate	CAUGHT	complete response gate
M23	independent_replay_failed	CAUGHT	independent status
M24	external_review_falsely_closed	CAUGHT	external review promotion
