id	claim_or_guard	must_fail_or_narrow_if	maximum_surviving_read
F01	all_six_centers_included	any_C01_C06_missing	NO_COMPLETE_CENTER_CENSUS
F02	clock_certificate_open	center_determinant_zero_or_noncontinuous_under_C3_metric_jets	CENTER_OR_OPENNESS_CLAIM_FAILS
F03	twist_ruler_global	a_kappa_zero_or_detP_zero_or_twist_line_not_global	RULER_GATE_FAILS
F04	full_screen_released	area_or_either_metric_shear_omitted	FULL_SCREEN_NEIGHBORHOOD_FAILS
F05	gauge_not_metric	O2_left_rotation_changes_h=P_T_P	SCREEN_TYPING_FAILS
F06	global_configuration_open	detP_or_finite_phi_not_controlled_in_C0	ONLY_LOCAL_JET_RESULT
F07	relative_curvature_open	center_Omega_rel_zero_or_not_continuous_in_first_jets	RESPONSE_NEIGHBORHOOD_FAILS
F08	component_vs_complete_wall	one_component_zero_called_Omega_rel_zero_without_full_matrix_check	WALL_CLASSIFICATION_FAILS
F09	certificate_vs_property_wall	det_gradI_zero_called_no_intrinsic_clock	NEGATIVE_OVERCLAIM_FAILS
F10	no_action_or_carrier	positive_result_uses_S2_or_L2_plus_L4	NATIVE_GEOMETRY_CLAIM_FAILS
F11	no_bootstrap_selection	off_shell_configuration_promoted_by_working_bootstrap	ON_SHELL_CLAIM_FAILS
F12	bounded_scope	stationary_block_screen_S3_result_called_universal_UDT	UNIVERSAL_WORDING_FAILS
F13	independent_replay	second_implementation_imports_production_or_disagrees	VERIFICATION_GATE_FAILS
F14	wall_retention	twist_off;detP;slice;certificate;response_wall_missing	ATLAS_INCOMPLETE
F15	fresh_external_review	not_authorized_or_not_passed	GRADE_REMAINS_VERIFIED_WITH_CAVEATS

