premise_id	object	status	use	not_supplied
P01	founded_phi_identity_and_pair_action	pinned-by-THEORY	clock_ruler_weights	profile_equation_or_observer_path_assignment
P02	c_E	pinned-by-OBSERVED_UNITS	clock calibration	branch or scale selection
P03	stationary_R_times_S3_twisted_family	pinned-by-CHOSE_EXISTENCE_CONTROL	bounded complete configuration family	selected universe or on_shell branch
P04	global_Maurer_Cartan_sigma123	pinned-by-CHOSE_EXISTENCE_CONTROL	global coframe and nonzero kappa	other topologies
P05	phi_smooth_C3_neighborhood	free-and-explored	curvature-certificate deformation	field equation or preferred profile
P06	P_smooth_GL2_C3_neighborhood	free-and-explored	area;two shears;gauge;global screen	pair_screen_off_block metrics
P07	O2_left_screen_rotation	free-and-explored_COFAME_GAUGE	gauge control	extra metric degree
P08	a_equal_1_over_64	pinned-by-REGISTERED_CENTER	primary neighborhood center	physical twist amplitude
P09	a_twist_off	free-and-retained_CONTROL	ruler failure wall	physical no_twist branch
P10	lambda_mu_nu	free-and-explored	exact subfamily charts	coefficient selection
P11	north_event	pinned-by-REGISTERED_CERTIFICATE	local sufficient witness	preferred point
P12	I1_I2_I3	pinned-by-METRIC_GEOMETRY	sufficient intrinsic_clock certificate	necessary universal selector
P13	positive_displayed_slice	free-and-characterized	Riemannian_slice stratum	four_metric existence condition
P14	copresence	WORKING_INTERPRETIVE_FRAME	not used in algebra	operational access or signaling
P15	S2_carrier	POSIT_EXCLUDED	none	carrier emergence
P16	L2_plus_L4	CONDITIONAL_EXCLUDED	none	action selection or coefficient
P17	bootstrap	WORKING_ON_SHELL_ADMISSIBILITY_EXCLUDED_FROM_MAP	none	local equation or configuration filter
P18	action_source_boundary_density_mass_stability	OPEN_EXCLUDED	none	complete physics
P19	fresh_external_semantic_review	OPEN_NOT_AUTHORIZED	grade caveat	settled semantic verdict

