criterion	covered_now	dropped_or_open
FIELDS	stationary_phi_and_full_block_screen_P_on_registered_pair_coframe	time_dependence;pair_screen_off_blocks;other_metric_fields;matter
ACTION_TERMS	none_configuration_geometry_only	complete_action_all_terms
FULL_EQUATIONS	none_off_shell_map	all_variations_and_on_shell_selection
DOMAIN_COORDINATES	global_R_times_S3_stationary_complete_coframe	other_topologies;nonstationary_charts
BOUNDARY_REGULARITY	global_smooth_S3_descent_and_metric_slice_walls	physical_finite_cell_boundary_law
TOPOLOGICAL_SECTOR	registered_S3_existence_family	all_other_completion_classes
DYNAMICAL_CHARACTER	stationary_only	time_live_and_dynamic
BRANCH_BIFURCATION	local_neighborhood_and_named_exact_subfamilies	global_on_shell_branch_catalog
STABILITY_SPECTRUM	not_tested	all_stability
REGIME_VALIDITY	bounded_stationary_complete_offshell_family	universal_UDT_and_physical_regimes
