id	object	status	meaning	open_scope	forbidden_promotion
P01	Xmax_limit_role	WORKING_FOUNDATIONAL_FRAME	frame-shared observer-pair positional-dilation asymptote	metric derivation of complete realization and invariance theorem	optional analogy; material wall; preferred center; ordinary radial edge
P02	reciprocal_character	DERIVED_ON_SUPPLIED_DEPTH	D(delta)=diag(exp(-delta),exp(+delta))	physical observer/event/path assignment	treating the supplied input as the missing law
P03	pair_separation	OPEN_REALIZATION	nonnegative symmetric magnitude kept distinct from signed depth	native complete-metric functional; angular/path/global data	identifying signed delta with nonnegative distance
P04	asymptotic_gate	OWNER_REQUIRED_CANDIDATE_GATE	s approaches Xmax from below implies absolute delta and comparison dilation diverge	converse; monotonicity; regularity; exact rate	selecting tanh fractional-linear WR-L or another profile from endpoint behavior
P05	frame_sharing	WORKING_INTENT__THEOREM_OPEN	Xmax is one limit for admissible observational frames	full transformation composition and acceleration/global proof	claiming the theorem already derived
P06	local_physics	RETAINED_FRAME_PRINCIPLE	dilation is an inter-frame comparison and does not alter local physics	complete nonstationary realization	local clock or matter mechanism inferred from remote comparison
P07	cE	OBSERVED_CALIBRATION_ANCHOR	ordinary-regime clock-distance calibration	complete native placement and transition to extremes	importing SR or GR dynamics as UDT derivation
P08	WRL_X_join	OPEN	local supplied WR-L X is a conditional asymptotic candidate	global observer-pair realization and diameter join	WRL X equals global Xmax by notation
P09	numerical_Xmax	OPEN	value must emerge from complete metric/bootstrap and native mass structure if the hypothesis closes	coefficient; total mass; density; angular modulation	fitting importing or dimensional circularity
P10	boundary_completion	OPEN_UNCHANGED	limit definition supplies no boundary functional	domain variation data surface term charge and global completion	turning Xmax into a wall seal edge or GHY-like term
