path	base_sha256	current_sha256	mutation_class
AGENTS.md	bd6e757b1d3ca323208df0cf93540d431a0c34ac51fd2f1cf6d3a93b5c181933	ca754afde36a0ff6cb6ffc47a65ed9c1d19889334ccbd7a1f82b5d636a46bb95	EXACT_STATUS_OR_WORKFLOW_POINTER_SUBSTITUTION
CURRENT_SCIENTIFIC_PREMISES.md	ae51ad32e0aeb7ea8c1a1581d687490c212ee8fa963c76d33e015315bf47ac45	d24e7a8ec84424948364e7149599272ff43969f69aa582a1eadf2d8c3be0cf03	EXACT_STATUS_OR_WORKFLOW_POINTER_SUBSTITUTION
CURRENT_SCIENTIFIC_PREMISES.tsv	b68c898c72f960d2e5d61215aa406089f93461b39b9add447c15fc8356b1da37	03bd2568c859f339c8b43c78e4e4b6fbf56ac2b8ae413e8bd75b442ad2fc25a5	EXACT_STATUS_OR_WORKFLOW_POINTER_SUBSTITUTION
HANDOFF.md	2fb41ac736a32c31f114054974a8f9dc5995411243fc186cd2f80f037845b11f	1f97f5b8e9ee09ca6620a8e1062ad3ad09d915d4f16ff3292e2086f61807a029	EXACT_STATUS_OR_WORKFLOW_POINTER_SUBSTITUTION
INDEX.md	115e271037331cf001d51d75f7bba03502eaad71b51ecb4b6766c77b86f0a07e	c1724f6a5ac973c52c855baea68545b5f762caa2050c076599322509f4bcb4d4	EXACT_STATUS_OR_WORKFLOW_POINTER_SUBSTITUTION
LIVE.md	ba543a24f38ccfe311034e23d036ed96dabf0cf00eca61feddb6e413d75157cd	eb3b859c7e736221d9c261a7b933729216babd8d66b193f09810ee05349adb0a	EXACT_STATUS_OR_WORKFLOW_POINTER_SUBSTITUTION
README.md	f5e9f9b344c635ba3fd13cb668016f5f864986648aaf1058b2ac78ec125e1304	846b16f6372c46b9f3f36b650f9f4e604a7481c3c8b35defc5ecb4a92e3382c0	EXACT_STATUS_OR_WORKFLOW_POINTER_SUBSTITUTION
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	d9e9cc527a0cb7c4358b7f109711a26b3d4abcd71b371bf02b0f5f5c4baaf92e	9128ddf72b32ef761295dcc6c370e7eb563ade8b34201c82f17989701887baef	EXACT_STATUS_OR_WORKFLOW_POINTER_SUBSTITUTION
research/README.md	0f27695e38daa26f358e97cef22fca791ccb9c763a23c88a0802324107341433	d0f6284a607e7d6f4c1cebcef3c65a75e6f8db5bdf4070a127443e97ac9e1b2c	EXACT_STATUS_OR_WORKFLOW_POINTER_SUBSTITUTION
verify_current_scientific_premises.py	fb38390ef8c4dd731b058d7f2f3b78ac78b647af311ed0d5c4e06107215a7414	0ed6c4c779819f4d1ef3b552cffcc00d723f789a9070d8949336e8dfcd6fa31d	EXACT_STATUS_OR_WORKFLOW_POINTER_SUBSTITUTION
